,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
194,spark_linear_gigantic,TPE_6_0.25,RANDOM,4.429279269981195,2.714339424207717e-06,12.0,wilcoxon,TPE_6_0.25
195,spark_linear_gigantic,TPE_6_0.25,RANDOM,4.957557926860682,2.993939973646093e-06,12.0,t-test,TPE_6_0.25
196,spark_linear_gigantic,BO_6_1.0_ET_LCB,RANDOM,1.5338749222892076,0.04810769336604566,12.0,wilcoxon,BO_6_1.0_ET_LCB
197,spark_linear_gigantic,BO_9_1.5_GBRT_LCB,RANDOM,2.850594518501516,0.0009363810386866664,12.0,wilcoxon,BO_9_1.5_GBRT_LCB
198,spark_linear_gigantic,BO_9_1.5_GBRT_LCB,RANDOM,2.1409881998350286,0.03475548083119292,12.0,t-test,BO_9_1.5_GBRT_LCB
199,spark_linear_gigantic,TPE_6_0.25,LHS,4.243146133343853,4.970409831471939e-06,12.0,wilcoxon,TPE_6_0.25
200,spark_linear_gigantic,TPE_6_0.25,LHS,4.8615979236665945,4.432892022314797e-06,12.0,t-test,TPE_6_0.25
201,spark_linear_gigantic,BO_9_1.5_GBRT_LCB,LHS,2.833359968812873,0.025103788286011734,12.0,wilcoxon,BO_9_1.5_GBRT_LCB
202,spark_linear_gigantic,BO_9_1.5_GBRT_LCB,LHS,2.118724333759957,0.03664222426658854,12.0,t-test,BO_9_1.5_GBRT_LCB
203,spark_linear_gigantic,TPE_6_0.25,HC_9_100,3.8088354811900547,6.277019605231049e-06,12.0,wilcoxon,TPE_6_0.25
204,spark_linear_gigantic,TPE_6_0.25,HC_9_100,4.643598853121984,1.0643445998753653e-05,12.0,t-test,TPE_6_0.25
205,spark_linear_gigantic,BO_9_1.5_GBRT_LCB,HC_9_100,2.588629363234146,0.00025934055224644063,12.0,wilcoxon,BO_9_1.5_GBRT_LCB
206,spark_linear_gigantic,BO_9_1.5_GBRT_LCB,HC_9_100,2.171043722998698,0.032342413567742506,12.0,t-test,BO_9_1.5_GBRT_LCB
207,spark_linear_gigantic,TPE_6_0.25,SA_3_0.5_100,3.9570526085123827,4.030778393717746e-05,12.0,wilcoxon,TPE_6_0.25
208,spark_linear_gigantic,TPE_6_0.25,SA_3_0.5_100,4.760147107834287,6.682084036260315e-06,12.0,t-test,TPE_6_0.25
