,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
0,spark_linear_huge,BO_3_1.0_GP_LCB,RANDOM,1.5821316614174075,0.02143386019963312,6.0,wilcoxon,BO_3_1.0_GP_LCB
1,spark_linear_huge,BO_3_1.0_GP_LCB,RANDOM,2.304258429231264,0.023319242525848185,6.0,t-test,BO_3_1.0_GP_LCB
2,spark_linear_huge,BO_3_1.0_GP_LCB,LHS,2.330111117904504,0.0032860564900050104,6.0,wilcoxon,BO_3_1.0_GP_LCB
3,spark_linear_huge,BO_3_1.0_GP_LCB,LHS,3.103150195027591,0.0025022675814850674,6.0,t-test,BO_3_1.0_GP_LCB
4,spark_linear_huge,BO_3_1.0_GP_LCB,HC_9_100,1.5821316614174075,0.02143386019963312,6.0,wilcoxon,BO_3_1.0_GP_LCB
5,spark_linear_huge,BO_3_1.0_GP_LCB,HC_9_100,2.304258429231264,0.023319242525848185,6.0,t-test,BO_3_1.0_GP_LCB
6,spark_linear_huge,BO_3_1.0_GP_LCB,SA_3_0.5_100,2.1198496117030623,0.00568823551654868,6.0,wilcoxon,BO_3_1.0_GP_LCB
7,spark_linear_huge,BO_3_1.0_GP_LCB,SA_3_0.5_100,2.894503035944269,0.004681421076021137,6.0,t-test,BO_3_1.0_GP_LCB
8,spark_linear_huge,BO_3_1.0_GP_LCB,TPE_6_0.25,1.5821316614174075,0.02143386019963312,6.0,wilcoxon,BO_3_1.0_GP_LCB
9,spark_linear_huge,BO_3_1.0_GP_LCB,TPE_6_0.25,2.304258429231264,0.023319242525848185,6.0,t-test,BO_3_1.0_GP_LCB
10,spark_linear_huge,BO_3_1.0_GP_LCB,BO_6_1.0_ET_LCB,1.5821316614174075,0.02143386019963312,6.0,wilcoxon,BO_3_1.0_GP_LCB
11,spark_linear_huge,BO_3_1.0_GP_LCB,BO_6_1.0_ET_LCB,2.304258429231264,0.023319242525848185,6.0,t-test,BO_3_1.0_GP_LCB
12,spark_linear_huge,BO_3_1.0_GP_LCB,BO_9_1.5_GBRT_LCB,1.5821316614174075,0.02143386019963312,6.0,wilcoxon,BO_3_1.0_GP_LCB
13,spark_linear_huge,BO_3_1.0_GP_LCB,BO_9_1.5_GBRT_LCB,2.304258429231264,0.023319242525848185,6.0,t-test,BO_3_1.0_GP_LCB
14,spark_linear_huge,BO_9_1.0_RF_LCB,BO_3_1.0_GP_LCB,-1.5821316614174075,0.02143386019963312,6.0,wilcoxon,BO_3_1.0_GP_LCB
15,spark_linear_huge,BO_9_1.0_RF_LCB,BO_3_1.0_GP_LCB,-2.304258429231264,0.023319242525848185,6.0,t-test,BO_3_1.0_GP_LCB
16,spark_linear_huge,TPE_6_0.25,RANDOM,3.829516940816426,8.780868745942529e-05,12.0,wilcoxon,TPE_6_0.25
17,spark_linear_huge,TPE_6_0.25,RANDOM,3.9460175865610516,0.00014949468749189736,12.0,t-test,TPE_6_0.25
18,spark_linear_huge,BO_9_1.5_GBRT_LCB,RANDOM,0.7135103571098111,0.022089535016443482,12.0,wilcoxon,BO_9_1.5_GBRT_LCB
19,spark_linear_huge,BO_3_1.0_GP_LCB,RANDOM,6.176862608409573,3.5888462861235445e-08,12.0,wilcoxon,BO_3_1.0_GP_LCB
20,spark_linear_huge,BO_3_1.0_GP_LCB,RANDOM,7.320792796781789,6.919041403884038e-11,12.0,t-test,BO_3_1.0_GP_LCB
21,spark_linear_huge,TPE_6_0.25,LHS,3.5330826861717703,0.0007369599997319927,12.0,wilcoxon,TPE_6_0.25
22,spark_linear_huge,TPE_6_0.25,LHS,3.59373827866262,0.0005121408927863341,12.0,t-test,TPE_6_0.25
23,spark_linear_huge,BO_3_1.0_GP_LCB,LHS,5.956260372394945,6.298701679586762e-07,12.0,wilcoxon,BO_3_1.0_GP_LCB
24,spark_linear_huge,BO_3_1.0_GP_LCB,LHS,6.911660282238012,4.888282521026351e-10,12.0,t-test,BO_3_1.0_GP_LCB
25,spark_linear_huge,TPE_6_0.25,HC_9_100,4.642987686120366,6.223106911700212e-06,12.0,wilcoxon,TPE_6_0.25
26,spark_linear_huge,TPE_6_0.25,HC_9_100,4.939066690835543,3.2301734761662475e-06,12.0,t-test,TPE_6_0.25
27,spark_linear_huge,BO_6_1.0_ET_LCB,HC_9_100,1.5821316614174075,0.03824634436454235,12.0,wilcoxon,BO_6_1.0_ET_LCB
28,spark_linear_huge,BO_9_1.5_GBRT_LCB,HC_9_100,1.716561148988821,0.00041929444810053065,12.0,wilcoxon,BO_9_1.5_GBRT_LCB
29,spark_linear_huge,BO_3_1.0_GP_LCB,HC_9_100,6.714580558695228,1.733283457096179e-08,12.0,wilcoxon,BO_3_1.0_GP_LCB
30,spark_linear_huge,BO_3_1.0_GP_LCB,HC_9_100,8.350804558887074,4.500857829595605e-13,12.0,t-test,BO_3_1.0_GP_LCB
31,spark_linear_huge,BO_9_1.0_RF_LCB,HC_9_100,1.2305468477690946,0.014888682178607273,12.0,wilcoxon,BO_9_1.0_RF_LCB
32,spark_linear_huge,TPE_6_0.25,SA_3_0.5_100,3.684746723431827,4.2174950215414755e-05,12.0,wilcoxon,TPE_6_0.25
33,spark_linear_huge,TPE_6_0.25,SA_3_0.5_100,4.357059655273608,3.249834431916884e-05,12.0,t-test,TPE_6_0.25
34,spark_linear_huge,BO_9_1.5_GBRT_LCB,SA_3_0.5_100,1.4408083539705365,0.024682871061857896,12.0,wilcoxon,BO_9_1.5_GBRT_LCB
35,spark_linear_huge,BO_9_1.5_GBRT_LCB,SA_3_0.5_100,2.290805927237346,0.024116898940886488,12.0,t-test,BO_9_1.5_GBRT_LCB
36,spark_linear_huge,BO_3_1.0_GP_LCB,SA_3_0.5_100,5.521949720241147,9.417696097394858e-08,12.0,wilcoxon,BO_3_1.0_GP_LCB
37,spark_linear_huge,BO_3_1.0_GP_LCB,SA_3_0.5_100,6.224146608763914,1.2019986432410108e-08,12.0,t-test,BO_3_1.0_GP_LCB
38,spark_linear_huge,BO_6_1.0_ET_LCB,TPE_6_0.25,-2.4679875154136464,0.002282880645415028,12.0,wilcoxon,TPE_6_0.25
39,spark_linear_huge,BO_6_1.0_ET_LCB,TPE_6_0.25,-3.040439468322875,0.0030300797271159623,12.0,t-test,TPE_6_0.25
40,spark_linear_huge,BO_9_1.5_GBRT_LCB,TPE_6_0.25,-3.2159669719007433,0.0016561512212112399,12.0,wilcoxon,TPE_6_0.25
41,spark_linear_huge,BO_9_1.5_GBRT_LCB,TPE_6_0.25,-3.1134768616835484,0.0024240176917528877,12.0,t-test,TPE_6_0.25
42,spark_linear_huge,BO_3_1.0_GP_LCB,TPE_6_0.25,2.867829068190159,0.0046172611865374115,12.0,wilcoxon,BO_3_1.0_GP_LCB
43,spark_linear_huge,BO_3_1.0_GP_LCB,TPE_6_0.25,3.241843075988408,0.0016234579421127704,12.0,t-test,BO_3_1.0_GP_LCB
44,spark_linear_huge,BO_9_1.0_RF_LCB,TPE_6_0.25,-3.2125200619630148,0.0004479307344517949,12.0,wilcoxon,TPE_6_0.25
45,spark_linear_huge,BO_9_1.0_RF_LCB,TPE_6_0.25,-3.540011113321461,0.000613886890853208,12.0,t-test,TPE_6_0.25
46,spark_linear_huge,BO_3_1.0_GP_LCB,BO_6_1.0_ET_LCB,4.591284037054437,4.700538346689737e-06,12.0,wilcoxon,BO_3_1.0_GP_LCB
47,spark_linear_huge,BO_3_1.0_GP_LCB,BO_6_1.0_ET_LCB,5.739985297784644,1.0594780226533535e-07,12.0,t-test,BO_3_1.0_GP_LCB
48,spark_linear_huge,BO_3_1.0_GP_LCB,BO_9_1.5_GBRT_LCB,5.670166847563475,4.7234872107207365e-07,12.0,wilcoxon,BO_3_1.0_GP_LCB
49,spark_linear_huge,BO_3_1.0_GP_LCB,BO_9_1.5_GBRT_LCB,6.46926310725083,3.890116261016539e-09,12.0,t-test,BO_3_1.0_GP_LCB
50,spark_linear_huge,BO_9_1.0_RF_LCB,BO_3_1.0_GP_LCB,-5.449564611548848,5.44224479586544e-07,12.0,wilcoxon,BO_3_1.0_GP_LCB
