,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
662,spark_rf_huge,BO_3_1.0_GP_LCB,RANDOM,2.5920762731718745,0.009837970455455545,6.0,wilcoxon,BO_3_1.0_GP_LCB
663,spark_rf_huge,BO_3_1.0_GP_LCB,RANDOM,2.3222448022365874,0.022289127413326885,6.0,t-test,BO_3_1.0_GP_LCB
664,spark_rf_huge,BO_3_1.0_GP_LCB,LHS,3.388312468787171,0.0032434861412055146,6.0,wilcoxon,BO_3_1.0_GP_LCB
665,spark_rf_huge,BO_3_1.0_GP_LCB,LHS,3.2211760381677337,0.0017329684790811529,6.0,t-test,BO_3_1.0_GP_LCB
666,spark_rf_huge,BO_3_1.0_GP_LCB,HC_9_100,2.5920762731718745,0.009837970455455545,6.0,wilcoxon,BO_3_1.0_GP_LCB
667,spark_rf_huge,BO_3_1.0_GP_LCB,HC_9_100,2.3222448022365874,0.022289127413326885,6.0,t-test,BO_3_1.0_GP_LCB
668,spark_rf_huge,BO_3_1.0_GP_LCB,SA_3_0.5_100,3.488272856981299,2.6841780872119112e-05,6.0,wilcoxon,BO_3_1.0_GP_LCB
669,spark_rf_huge,BO_3_1.0_GP_LCB,SA_3_0.5_100,3.6178163889034165,0.000471920760768162,6.0,t-test,BO_3_1.0_GP_LCB
670,spark_rf_huge,BO_3_1.0_GP_LCB,TPE_6_0.25,2.5920762731718745,0.009837970455455545,6.0,wilcoxon,BO_3_1.0_GP_LCB
671,spark_rf_huge,BO_3_1.0_GP_LCB,TPE_6_0.25,2.3222448022365874,0.022289127413326885,6.0,t-test,BO_3_1.0_GP_LCB
672,spark_rf_huge,BO_3_1.0_GP_LCB,BO_6_1.0_ET_LCB,2.5920762731718745,0.009837970455455545,6.0,wilcoxon,BO_3_1.0_GP_LCB
673,spark_rf_huge,BO_3_1.0_GP_LCB,BO_6_1.0_ET_LCB,2.3222448022365874,0.022289127413326885,6.0,t-test,BO_3_1.0_GP_LCB
674,spark_rf_huge,BO_3_1.0_GP_LCB,BO_9_1.5_GBRT_LCB,2.5920762731718745,0.009837970455455545,6.0,wilcoxon,BO_3_1.0_GP_LCB
675,spark_rf_huge,BO_3_1.0_GP_LCB,BO_9_1.5_GBRT_LCB,2.3222448022365874,0.022289127413326885,6.0,t-test,BO_3_1.0_GP_LCB
676,spark_rf_huge,BO_9_1.0_RF_LCB,BO_3_1.0_GP_LCB,-2.5920762731718745,0.009837970455455545,6.0,wilcoxon,BO_3_1.0_GP_LCB
677,spark_rf_huge,BO_9_1.0_RF_LCB,BO_3_1.0_GP_LCB,-2.3222448022365874,0.022289127413326885,6.0,t-test,BO_3_1.0_GP_LCB
678,spark_rf_huge,SA_3_0.5_100,RANDOM,-2.223256909834919,0.0049234421714647895,12.0,wilcoxon,RANDOM
679,spark_rf_huge,SA_3_0.5_100,RANDOM,-2.8844343413102425,0.004821443692533463,12.0,t-test,RANDOM
680,spark_rf_huge,TPE_6_0.25,RANDOM,2.112955791827605,0.003854236286879128,12.0,wilcoxon,TPE_6_0.25
681,spark_rf_huge,BO_6_1.0_ET_LCB,RANDOM,4.446513819669838,3.253492954034574e-05,12.0,wilcoxon,BO_6_1.0_ET_LCB
682,spark_rf_huge,BO_6_1.0_ET_LCB,RANDOM,3.877847667697834,0.00019080449013982037,12.0,t-test,BO_6_1.0_ET_LCB
683,spark_rf_huge,BO_9_1.5_GBRT_LCB,RANDOM,4.2293584935929385,9.32640620201659e-06,12.0,wilcoxon,BO_9_1.5_GBRT_LCB
684,spark_rf_huge,BO_9_1.5_GBRT_LCB,RANDOM,3.994861479407664,0.00012531184717149812,12.0,t-test,BO_9_1.5_GBRT_LCB
685,spark_rf_huge,BO_3_1.0_GP_LCB,RANDOM,7.004120993464427,1.3190123786676591e-08,12.0,wilcoxon,BO_3_1.0_GP_LCB
686,spark_rf_huge,BO_3_1.0_GP_LCB,RANDOM,7.970360340430823,2.934354543172249e-12,12.0,t-test,BO_3_1.0_GP_LCB
687,spark_rf_huge,BO_9_1.0_RF_LCB,RANDOM,2.826466148937416,0.0005720059134333096,12.0,wilcoxon,BO_9_1.0_RF_LCB
688,spark_rf_huge,BO_9_1.0_RF_LCB,RANDOM,2.4374136360534706,0.0165954372521289,12.0,t-test,BO_9_1.0_RF_LCB
689,spark_rf_huge,SA_3_0.5_100,LHS,-2.1577656210180765,0.015991179443675063,12.0,wilcoxon,LHS
690,spark_rf_huge,SA_3_0.5_100,LHS,-2.5696622247360885,0.011686129107025272,12.0,t-test,LHS
691,spark_rf_huge,TPE_6_0.25,LHS,1.8061808073697636,0.049861705284555434,12.0,wilcoxon,TPE_6_0.25
692,spark_rf_huge,BO_6_1.0_ET_LCB,LHS,3.9880747979519398,0.00017132481730125075,12.0,wilcoxon,BO_6_1.0_ET_LCB
693,spark_rf_huge,BO_6_1.0_ET_LCB,LHS,3.621570005883805,0.0004659268834029357,12.0,t-test,BO_6_1.0_ET_LCB
694,spark_rf_huge,BO_9_1.5_GBRT_LCB,LHS,3.7192158228091126,0.0005876505618058054,12.0,wilcoxon,BO_9_1.5_GBRT_LCB
695,spark_rf_huge,BO_9_1.5_GBRT_LCB,LHS,3.6942760822738028,0.0003631240278012603,12.0,t-test,BO_9_1.5_GBRT_LCB
696,spark_rf_huge,BO_3_1.0_GP_LCB,LHS,6.373336474860101,1.1980633235529804e-06,12.0,wilcoxon,BO_3_1.0_GP_LCB
697,spark_rf_huge,BO_3_1.0_GP_LCB,LHS,6.924874447506001,4.5915042645391297e-10,12.0,t-test,BO_3_1.0_GP_LCB
698,spark_rf_huge,BO_9_1.0_RF_LCB,LHS,2.4817751551645606,0.01697505497735089,12.0,wilcoxon,BO_9_1.0_RF_LCB
699,spark_rf_huge,BO_9_1.0_RF_LCB,LHS,2.3477872914748517,0.020895336748522914,12.0,t-test,BO_9_1.0_RF_LCB
700,spark_rf_huge,SA_3_0.5_100,HC_9_100,-2.1646594408935336,0.004916901219745343,12.0,wilcoxon,HC_9_100
701,spark_rf_huge,SA_3_0.5_100,HC_9_100,-2.674228424675482,0.008776866992783074,12.0,t-test,HC_9_100
702,spark_rf_huge,TPE_6_0.25,HC_9_100,1.8613313663734206,0.005073873161775816,12.0,wilcoxon,TPE_6_0.25
703,spark_rf_huge,BO_6_1.0_ET_LCB,HC_9_100,4.191442484277925,5.047009256996777e-05,12.0,wilcoxon,BO_6_1.0_ET_LCB
704,spark_rf_huge,BO_6_1.0_ET_LCB,HC_9_100,3.7309397078210513,0.00031984107089818865,12.0,t-test,BO_6_1.0_ET_LCB
705,spark_rf_huge,BO_9_1.5_GBRT_LCB,HC_9_100,3.946711878699197,9.810003903119299e-05,12.0,wilcoxon,BO_9_1.5_GBRT_LCB
706,spark_rf_huge,BO_9_1.5_GBRT_LCB,HC_9_100,3.8189184441324318,0.00023509527124728602,12.0,t-test,BO_9_1.5_GBRT_LCB
707,spark_rf_huge,BO_3_1.0_GP_LCB,HC_9_100,6.786965667387528,4.5058938918242094e-08,12.0,wilcoxon,BO_3_1.0_GP_LCB
708,spark_rf_huge,BO_3_1.0_GP_LCB,HC_9_100,7.3002782753607365,7.637313793888874e-11,12.0,t-test,BO_3_1.0_GP_LCB
709,spark_rf_huge,BO_9_1.0_RF_LCB,HC_9_100,2.564500993670046,0.0015677121921243164,12.0,wilcoxon,BO_9_1.0_RF_LCB
710,spark_rf_huge,BO_9_1.0_RF_LCB,HC_9_100,2.397398857548595,0.018406875074527766,12.0,t-test,BO_9_1.0_RF_LCB
711,spark_rf_huge,TPE_6_0.25,SA_3_0.5_100,3.6192554346149843,4.7213305992469275e-05,12.0,wilcoxon,TPE_6_0.25
712,spark_rf_huge,TPE_6_0.25,SA_3_0.5_100,4.250939099852461,4.861548251018324e-05,12.0,t-test,TPE_6_0.25
713,spark_rf_huge,BO_6_1.0_ET_LCB,SA_3_0.5_100,5.246196925222863,1.8231386889028967e-07,12.0,wilcoxon,BO_6_1.0_ET_LCB
