,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
345,spark_lda_huge,BO_3_0.05_GBRT_PI,RANDOM,2.081933602388048,0.04125025317370887,6.0,wilcoxon,BO_3_0.05_GBRT_PI
346,spark_lda_huge,BO_3_0.05_GBRT_PI,RANDOM,2.0565846577775644,0.04238369213385599,6.0,t-test,BO_3_0.05_GBRT_PI
347,spark_lda_huge,BO_3_0.05_GBRT_PI,LHS,2.5610540837323175,0.015855107909904357,6.0,wilcoxon,BO_3_0.05_GBRT_PI
348,spark_lda_huge,BO_3_0.05_GBRT_PI,LHS,2.32772715562991,0.021983234349170468,6.0,t-test,BO_3_0.05_GBRT_PI
349,spark_lda_huge,BO_3_0.05_GBRT_PI,HC_9_500,2.081933602388048,0.04125025317370887,6.0,wilcoxon,BO_3_0.05_GBRT_PI
350,spark_lda_huge,BO_3_0.05_GBRT_PI,HC_9_500,2.0565846577775644,0.04238369213385599,6.0,t-test,BO_3_0.05_GBRT_PI
351,spark_lda_huge,BO_3_0.05_GBRT_PI,SA_6_0.5_50,2.081933602388048,0.04125025317370887,6.0,wilcoxon,BO_3_0.05_GBRT_PI
352,spark_lda_huge,BO_3_0.05_GBRT_PI,SA_6_0.5_50,2.0565846577775644,0.04238369213385599,6.0,t-test,BO_3_0.05_GBRT_PI
353,spark_lda_huge,BO_3_0.05_GBRT_PI,TPE_9_0.4,2.081933602388048,0.04125025317370887,6.0,wilcoxon,BO_3_0.05_GBRT_PI
354,spark_lda_huge,BO_3_0.05_GBRT_PI,TPE_9_0.4,2.0565846577775644,0.04238369213385599,6.0,t-test,BO_3_0.05_GBRT_PI
355,spark_lda_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.9333203570070014,0.0016753004048487396,6.0,wilcoxon,BO_3_0.05_GBRT_PI
356,spark_lda_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.7925240428463285,0.006289181604509526,6.0,t-test,BO_3_0.05_GBRT_PI
357,spark_lda_huge,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-1.7269018788020067,0.03600124077267512,6.0,wilcoxon,BO_3_0.05_GBRT_PI
358,spark_lda_huge,BO_3_0.05_GBRT_PI,RANDOM,3.0125992855747583,0.00558001773326692,12.0,wilcoxon,BO_3_0.05_GBRT_PI
359,spark_lda_huge,BO_3_0.05_GBRT_PI,RANDOM,3.076614695517311,0.0027142271848982725,12.0,t-test,BO_3_0.05_GBRT_PI
360,spark_lda_huge,BO_3_0.2_RF_PI,RANDOM,1.8820128259997917,0.04555347304543774,12.0,wilcoxon,BO_3_0.2_RF_PI
361,spark_lda_huge,BO_3_0.05_GBRT_PI,LHS,2.8057846893110447,0.003638616260759488,12.0,wilcoxon,BO_3_0.05_GBRT_PI
