,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
0,spark_linear_huge,BO_3_0.1_ET_PI,RANDOM,-1.1236926396995093,0.03460246283803436,6.0,wilcoxon,RANDOM
1,spark_linear_huge,BO_3_0.1_ET_PI,RANDOM,-2.136617291571187,0.03511910257612586,6.0,t-test,RANDOM
2,spark_linear_huge,BO_3_0.05_GBRT_PI,RANDOM,2.7988908694355876,0.001043352214162569,6.0,wilcoxon,BO_3_0.05_GBRT_PI
3,spark_linear_huge,BO_3_0.05_GBRT_PI,RANDOM,3.005751744742077,0.0033646018327442686,6.0,t-test,BO_3_0.05_GBRT_PI
4,spark_linear_huge,BO_3_0.05_GBRT_PI,LHS,1.747583338428378,0.01696893045835827,6.0,wilcoxon,BO_3_0.05_GBRT_PI
5,spark_linear_huge,BO_3_0.05_GBRT_PI,LHS,2.605921547888185,0.010591192195662678,6.0,t-test,BO_3_0.05_GBRT_PI
6,spark_linear_huge,BO_3_0.1_ET_PI,HC_9_500,-1.1236926396995093,0.03460246283803436,6.0,wilcoxon,HC_9_500
7,spark_linear_huge,BO_3_0.1_ET_PI,HC_9_500,-2.136617291571187,0.03511910257612586,6.0,t-test,HC_9_500
8,spark_linear_huge,BO_3_0.05_GBRT_PI,HC_9_500,2.7988908694355876,0.001043352214162569,6.0,wilcoxon,BO_3_0.05_GBRT_PI
9,spark_linear_huge,BO_3_0.05_GBRT_PI,HC_9_500,3.005751744742077,0.0033646018327442686,6.0,t-test,BO_3_0.05_GBRT_PI
10,spark_linear_huge,BO_3_0.1_ET_PI,SA_6_0.5_50,-1.1236926396995093,0.03460246283803436,6.0,wilcoxon,SA_6_0.5_50
11,spark_linear_huge,BO_3_0.1_ET_PI,SA_6_0.5_50,-2.136617291571187,0.03511910257612586,6.0,t-test,SA_6_0.5_50
12,spark_linear_huge,BO_3_0.05_GBRT_PI,SA_6_0.5_50,2.7988908694355876,0.001043352214162569,6.0,wilcoxon,BO_3_0.05_GBRT_PI
13,spark_linear_huge,BO_3_0.05_GBRT_PI,SA_6_0.5_50,3.005751744742077,0.0033646018327442686,6.0,t-test,BO_3_0.05_GBRT_PI
14,spark_linear_huge,BO_3_0.1_ET_PI,TPE_9_0.4,-1.1236926396995093,0.03460246283803436,6.0,wilcoxon,TPE_9_0.4
15,spark_linear_huge,BO_3_0.1_ET_PI,TPE_9_0.4,-2.136617291571187,0.03511910257612586,6.0,t-test,TPE_9_0.4
