,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
314,spark_lda_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.2887481986517613,0.006401700026555162,6.0,wilcoxon,BO_3_0.1_GBRT_PI
315,spark_lda_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.3066860687334705,0.02317780060225545,6.0,t-test,BO_3_0.1_GBRT_PI
316,spark_lda_huge,BO_3_0.1_1.96_GP_GP_HEDGE,BO_3_0.1_ET_PI,1.7234549688642782,0.03957889722232374,6.0,wilcoxon,BO_3_0.1_1.96_GP_GP_HEDGE
317,spark_lda_huge,BO_3_0.1_GBRT_PI,RANDOM,2.7782094098092163,0.01352207643093497,12.0,wilcoxon,BO_3_0.1_GBRT_PI
318,spark_lda_huge,BO_3_0.1_GBRT_PI,RANDOM,2.5947614312482106,0.01091790207008094,12.0,t-test,BO_3_0.1_GBRT_PI
319,spark_lda_huge,BO_3_0.1_GBRT_PI,LHS,2.5438195340436747,0.03708462692223006,12.0,wilcoxon,BO_3_0.1_GBRT_PI
320,spark_lda_huge,BO_3_0.1_GBRT_PI,LHS,2.613554532779573,0.010372849877811329,12.0,t-test,BO_3_0.1_GBRT_PI
321,spark_lda_huge,BO_3_0.1_GBRT_PI,HC_9_50,2.6093108228605173,0.015374207516029876,12.0,wilcoxon,BO_3_0.1_GBRT_PI
322,spark_lda_huge,BO_3_0.1_GBRT_PI,HC_9_50,2.5994577412855726,0.01077932612827518,12.0,t-test,BO_3_0.1_GBRT_PI
323,spark_lda_huge,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.681695931552817,0.013313162697951594,12.0,wilcoxon,BO_3_0.1_GBRT_PI
324,spark_lda_huge,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.6880465000400133,0.008446070343951178,12.0,t-test,BO_3_0.1_GBRT_PI
325,spark_lda_huge,BO_3_0.1_1.96_GP_GP_HEDGE,SA_9_0.9_50,2.178447080644448,0.04596235734288137,12.0,wilcoxon,BO_3_0.1_1.96_GP_GP_HEDGE
326,spark_lda_huge,BO_3_0.1_GBRT_PI,TPE_9_0.4,2.046310271699236,0.04340390488204173,12.0,t-test,BO_3_0.1_GBRT_PI
327,spark_lda_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.8402537886883303,0.009562570314555789,12.0,wilcoxon,BO_3_0.1_GBRT_PI
328,spark_lda_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.9572419019639753,0.0038898872546970667,12.0,t-test,BO_3_0.1_GBRT_PI
329,spark_lda_huge,BO_3_0.1_RF_PI,BO_3_0.1_ET_PI,1.661410589985164,0.03940132354800745,12.0,wilcoxon,BO_3_0.1_RF_PI
330,spark_lda_huge,BO_3_0.1_GBRT_PI,RANDOM,3.377971738973985,0.00145809057837772,18.0,wilcoxon,BO_3_0.1_GBRT_PI
331,spark_lda_huge,BO_3_0.1_GBRT_PI,RANDOM,3.4646948907554878,0.0007890332211066731,18.0,t-test,BO_3_0.1_GBRT_PI
332,spark_lda_huge,BO_3_0.1_1.96_GP_GP_HEDGE,RANDOM,2.69893048124146,0.02656273304722881,18.0,wilcoxon,BO_3_0.1_1.96_GP_GP_HEDGE
333,spark_lda_huge,BO_3_0.1_1.96_GP_GP_HEDGE,RANDOM,2.409837621324381,0.01782580486375553,18.0,t-test,BO_3_0.1_1.96_GP_GP_HEDGE
334,spark_lda_huge,BO_3_0.1_RF_PI,RANDOM,2.9505549066956442,0.015267280803553721,18.0,wilcoxon,BO_3_0.1_RF_PI
335,spark_lda_huge,BO_3_0.1_RF_PI,RANDOM,2.522133409398445,0.013275458431359532,18.0,t-test,BO_3_0.1_RF_PI
336,spark_lda_huge,BO_3_0.1_GBRT_PI,LHS,3.278011350779857,0.005083711037104643,18.0,wilcoxon,BO_3_0.1_GBRT_PI
337,spark_lda_huge,BO_3_0.1_GBRT_PI,LHS,3.202996341611862,0.0018349625824170023,18.0,t-test,BO_3_0.1_GBRT_PI
338,spark_lda_huge,BO_3_0.1_1.96_GP_GP_HEDGE,LHS,2.1354181501543947,0.03521943533960169,18.0,t-test,BO_3_0.1_1.96_GP_GP_HEDGE
339,spark_lda_huge,BO_3_0.1_RF_PI,LHS,2.8609352483147017,0.027734064655767044,18.0,wilcoxon,BO_3_0.1_RF_PI
340,spark_lda_huge,BO_3_0.1_RF_PI,LHS,2.2626583768322743,0.025863967743100822,18.0,t-test,BO_3_0.1_RF_PI
341,spark_lda_huge,BO_3_0.1_GBRT_PI,HC_9_50,2.7333995806187454,0.006820073978852714,18.0,wilcoxon,BO_3_0.1_GBRT_PI
342,spark_lda_huge,BO_3_0.1_GBRT_PI,HC_9_50,3.01646750654266,0.00325778233036174,18.0,t-test,BO_3_0.1_GBRT_PI
343,spark_lda_huge,BO_3_0.1_1.96_GP_GP_HEDGE,HC_9_50,2.099168152076691,0.031089195448593898,18.0,wilcoxon,BO_3_0.1_1.96_GP_GP_HEDGE
344,spark_lda_huge,BO_3_0.1_1.96_GP_GP_HEDGE,HC_9_50,2.0888555713731494,0.03931216340471974,18.0,t-test,BO_3_0.1_1.96_GP_GP_HEDGE
345,spark_lda_huge,BO_3_0.1_RF_PI,HC_9_50,2.217147003773122,0.028924234572811243,18.0,t-test,BO_3_0.1_RF_PI
346,spark_lda_huge,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.4886689750400177,0.016366450321911193,18.0,wilcoxon,BO_3_0.1_GBRT_PI
347,spark_lda_huge,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.7934233988443555,0.006273027926387693,18.0,t-test,BO_3_0.1_GBRT_PI
348,spark_lda_huge,BO_3_0.1_GBRT_PI,TPE_9_0.4,3.040174565076587,0.0030968838448681537,18.0,wilcoxon,BO_3_0.1_GBRT_PI
349,spark_lda_huge,BO_3_0.1_GBRT_PI,TPE_9_0.4,3.005118930115861,0.003371010170840354,18.0,t-test,BO_3_0.1_GBRT_PI
350,spark_lda_huge,BO_3_0.1_RF_PI,TPE_9_0.4,2.022117888133995,0.045889634362601114,18.0,t-test,BO_3_0.1_RF_PI
351,spark_lda_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.69893048124146,0.0039008861287939236,18.0,wilcoxon,BO_3_0.1_GBRT_PI
352,spark_lda_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,3.1226752013941943,0.002356238537708012,18.0,t-test,BO_3_0.1_GBRT_PI
353,spark_lda_huge,BO_3_0.1_RF_PI,BO_3_0.1_ET_PI,2.2439383694612904,0.03494667286567205,18.0,wilcoxon,BO_3_0.1_RF_PI
354,spark_lda_huge,BO_3_0.1_GBRT_PI,RANDOM,3.3917593787248994,0.0016115896299592112,24.0,wilcoxon,BO_3_0.1_GBRT_PI
355,spark_lda_huge,BO_3_0.1_GBRT_PI,RANDOM,3.2323525336902104,0.0016729180853807249,24.0,t-test,BO_3_0.1_GBRT_PI
356,spark_lda_huge,BO_3_0.1_1.96_GP_GP_HEDGE,RANDOM,2.7678686799960306,0.029513995134027145,24.0,wilcoxon,BO_3_0.1_1.96_GP_GP_HEDGE
357,spark_lda_huge,BO_3_0.1_1.96_GP_GP_HEDGE,RANDOM,2.4085533942826443,0.01788503207562394,24.0,t-test,BO_3_0.1_1.96_GP_GP_HEDGE
358,spark_lda_huge,BO_3_0.1_RF_PI,RANDOM,2.929873447069273,0.012272661909982592,24.0,wilcoxon,BO_3_0.1_RF_PI
359,spark_lda_huge,BO_3_0.1_RF_PI,RANDOM,2.68473517367415,0.008524293513922199,24.0,t-test,BO_3_0.1_RF_PI
