,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
147,spark_linear_gigantic,BO_3_0.1_GBRT_PI,RANDOM,2.4266245961609036,0.003933492397198134,6.0,wilcoxon,BO_3_0.1_GBRT_PI
148,spark_linear_gigantic,BO_3_0.1_GBRT_PI,RANDOM,2.278775497276367,0.024850479225752408,6.0,t-test,BO_3_0.1_GBRT_PI
149,spark_linear_gigantic,BO_3_0.1_GBRT_PI,LHS,2.850594518501516,0.008894064406931967,6.0,wilcoxon,BO_3_0.1_GBRT_PI
150,spark_linear_gigantic,BO_3_0.1_GBRT_PI,LHS,2.7115999000440754,0.007908215230998867,6.0,t-test,BO_3_0.1_GBRT_PI
151,spark_linear_gigantic,BO_3_0.1_GBRT_PI,HC_9_50,2.4266245961609036,0.003933492397198134,6.0,wilcoxon,BO_3_0.1_GBRT_PI
152,spark_linear_gigantic,BO_3_0.1_GBRT_PI,HC_9_50,2.278775497276367,0.024850479225752408,6.0,t-test,BO_3_0.1_GBRT_PI
153,spark_linear_gigantic,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.4266245961609036,0.003933492397198134,6.0,wilcoxon,BO_3_0.1_GBRT_PI
154,spark_linear_gigantic,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.278775497276367,0.024850479225752408,6.0,t-test,BO_3_0.1_GBRT_PI
155,spark_linear_gigantic,BO_3_0.1_GBRT_PI,TPE_9_0.4,2.4266245961609036,0.003933492397198134,6.0,wilcoxon,BO_3_0.1_GBRT_PI
156,spark_linear_gigantic,BO_3_0.1_GBRT_PI,TPE_9_0.4,2.278775497276367,0.024850479225752408,6.0,t-test,BO_3_0.1_GBRT_PI
157,spark_linear_gigantic,TPE_9_0.4,RANDOM,1.0582013508826669,0.037276926263702756,12.0,wilcoxon,TPE_9_0.4
158,spark_linear_gigantic,BO_3_0.1_GBRT_PI,RANDOM,4.625753136431722,3.144375270376467e-07,12.0,wilcoxon,BO_3_0.1_GBRT_PI
159,spark_linear_gigantic,BO_3_0.1_GBRT_PI,RANDOM,4.769224009888748,6.442434929361491e-06,12.0,t-test,BO_3_0.1_GBRT_PI
160,spark_linear_gigantic,BO_3_0.1_RF_PI,RANDOM,2.220215343767003,0.028708382497192965,12.0,t-test,BO_3_0.1_RF_PI
161,spark_linear_gigantic,BO_3_0.1_GBRT_PI,LHS,4.9221873910763785,1.1986207906823575e-05,12.0,wilcoxon,BO_3_0.1_GBRT_PI
162,spark_linear_gigantic,BO_3_0.1_GBRT_PI,LHS,5.056367986829394,1.9901935032410023e-06,12.0,t-test,BO_3_0.1_GBRT_PI
163,spark_linear_gigantic,BO_3_0.1_RF_PI,LHS,2.092274332201234,0.01629602588275339,12.0,wilcoxon,BO_3_0.1_RF_PI
164,spark_linear_gigantic,BO_3_0.1_RF_PI,LHS,2.594642987364168,0.010921417731040682,12.0,t-test,BO_3_0.1_RF_PI
165,spark_linear_gigantic,BO_3_0.1_GBRT_PI,HC_9_50,4.25003995321931,1.154820664287266e-05,12.0,wilcoxon,BO_3_0.1_GBRT_PI
166,spark_linear_gigantic,BO_3_0.1_GBRT_PI,HC_9_50,4.515513704306835,1.7619127484317335e-05,12.0,t-test,BO_3_0.1_GBRT_PI
167,spark_linear_gigantic,BO_3_0.1_GBRT_PI,SA_9_0.9_50,4.10526973583471,1.5091267233996693e-05,12.0,wilcoxon,BO_3_0.1_GBRT_PI
168,spark_linear_gigantic,BO_3_0.1_GBRT_PI,SA_9_0.9_50,4.3703041993330976,3.089237603520107e-05,12.0,t-test,BO_3_0.1_GBRT_PI
169,spark_linear_gigantic,BO_3_0.1_GBRT_PI,TPE_9_0.4,3.7778132917504976,0.00011282979035233573,12.0,wilcoxon,BO_3_0.1_GBRT_PI
170,spark_linear_gigantic,BO_3_0.1_GBRT_PI,TPE_9_0.4,3.955573348720245,0.00014443740710271818,12.0,t-test,BO_3_0.1_GBRT_PI
171,spark_linear_gigantic,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,3.178050962585729,0.0008610691522048282,12.0,wilcoxon,BO_3_0.1_GBRT_PI
172,spark_linear_gigantic,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,3.825243484615302,0.00022990896109213404,12.0,t-test,BO_3_0.1_GBRT_PI
173,spark_linear_gigantic,BO_3_0.1_1.96_GP_GP_HEDGE,BO_3_0.1_GBRT_PI,-2.843700698626059,0.0007068593510076141,12.0,wilcoxon,BO_3_0.1_GBRT_PI
174,spark_linear_gigantic,BO_3_0.1_1.96_GP_GP_HEDGE,BO_3_0.1_GBRT_PI,-2.884101876228752,0.004826132147616056,12.0,t-test,BO_3_0.1_GBRT_PI
175,spark_linear_gigantic,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-2.7471872203696592,0.005081455385906172,12.0,wilcoxon,BO_3_0.1_GBRT_PI
176,spark_linear_gigantic,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-3.2202397032486787,0.0017380896366096783,12.0,t-test,BO_3_0.1_GBRT_PI
177,spark_linear_gigantic,TPE_9_0.4,RANDOM,1.6028131210437788,0.03774564808690649,18.0,wilcoxon,TPE_9_0.4
178,spark_linear_gigantic,BO_3_0.1_ET_PI,RANDOM,4.15352647496291,9.876149754451732e-06,18.0,wilcoxon,BO_3_0.1_ET_PI
179,spark_linear_gigantic,BO_3_0.1_ET_PI,RANDOM,4.693045487992217,8.742819589235306e-06,18.0,t-test,BO_3_0.1_ET_PI
180,spark_linear_gigantic,BO_3_0.1_GBRT_PI,RANDOM,5.694295217127575,4.091919827554604e-08,18.0,wilcoxon,BO_3_0.1_GBRT_PI
181,spark_linear_gigantic,BO_3_0.1_GBRT_PI,RANDOM,6.130916437844902,1.8379817414067233e-08,18.0,t-test,BO_3_0.1_GBRT_PI
182,spark_linear_gigantic,BO_3_0.1_RF_PI,RANDOM,3.970840248263297,0.000564236861003141,18.0,wilcoxon,BO_3_0.1_RF_PI
183,spark_linear_gigantic,BO_3_0.1_RF_PI,RANDOM,3.96183093136471,0.0001412147262775021,18.0,t-test,BO_3_0.1_RF_PI
