,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
0,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,RANDOM,3.302139720343957,0.00033875257002868414,6.0,wilcoxon,BO_3_1.96_GP_LCB
1,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,RANDOM,3.6219994906485136,0.0004652456863299477,6.0,t-test,BO_3_1.96_GP_LCB
2,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,LHS,3.574445605424513,7.254050971391883e-05,6.0,wilcoxon,BO_3_1.96_GP_LCB
3,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,LHS,3.81003596807827,0.00024256706298084318,6.0,t-test,BO_3_1.96_GP_LCB
4,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,HC_9_50,3.302139720343957,0.00033875257002868414,6.0,wilcoxon,BO_3_1.96_GP_LCB
5,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,HC_9_50,3.6219994906485136,0.0004652456863299477,6.0,t-test,BO_3_1.96_GP_LCB
6,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,3.302139720343957,0.00033875257002868414,6.0,wilcoxon,BO_3_1.96_GP_LCB
7,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,3.6219994906485136,0.0004652456863299477,6.0,t-test,BO_3_1.96_GP_LCB
8,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,3.302139720343957,0.00033875257002868414,6.0,wilcoxon,BO_3_1.96_GP_LCB
9,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,3.6219994906485136,0.0004652456863299477,6.0,t-test,BO_3_1.96_GP_LCB
10,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,3.164263322834815,0.0005647894995709133,6.0,wilcoxon,BO_3_1.96_GP_LCB
11,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,3.463316208206768,0.0007926404996425932,6.0,t-test,BO_3_1.96_GP_LCB
12,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,1.926822655190263,0.011143537941671732,6.0,wilcoxon,BO_3_1.96_GP_LCB
13,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,2.493542296320294,0.014322509574666856,6.0,t-test,BO_3_1.96_GP_LCB
14,hadoop_pagerank_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-2.833359968812873,0.001855713049782633,6.0,wilcoxon,BO_3_1.96_GP_LCB
15,hadoop_pagerank_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-2.9851630124130404,0.0035789802877280183,6.0,t-test,BO_3_1.96_GP_LCB
16,hadoop_pagerank_huge,BO_3_0.1_GBRT_PI,RANDOM,4.746394984252222,5.489625176394758e-06,12.0,wilcoxon,BO_3_0.1_GBRT_PI
17,hadoop_pagerank_huge,BO_3_0.1_GBRT_PI,RANDOM,4.835012791027059,4.938432713633923e-06,12.0,t-test,BO_3_0.1_GBRT_PI
18,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,RANDOM,6.676664549380214,1.2343367474453937e-07,12.0,wilcoxon,BO_3_1.96_GP_LCB
19,hadoop_pagerank_huge,BO_3_1.96_GP_LCB,RANDOM,8.283630894163512,6.273286961718953e-13,12.0,t-test,BO_3_1.96_GP_LCB
20,hadoop_pagerank_huge,TPE_9_0.25,LHS,1.4339145340950794,0.03934998061792222,12.0,wilcoxon,TPE_9_0.25
21,hadoop_pagerank_huge,BO_3_0.1_ET_PI,LHS,1.7854993477433923,0.03338677415285016,12.0,wilcoxon,BO_3_0.1_ET_PI
