,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
592,hadoop_terasort_bigdata,LHS,RANDOM,-1.6131538508569645,0.011112115485508348,12.0,wilcoxon,RANDOM
593,hadoop_terasort_bigdata,HC_9_50,LHS,1.62349458067015,0.026155769375785693,12.0,wilcoxon,HC_9_50
594,hadoop_terasort_bigdata,SA_9_0.5_50,LHS,1.3891047049046081,0.04817994191943564,12.0,wilcoxon,SA_9_0.5_50
595,hadoop_terasort_bigdata,TPE_9_0.25,LHS,1.8889066458752488,0.008103369253744865,12.0,wilcoxon,TPE_9_0.25
596,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,LHS,1.3959985247800653,0.0428086949664585,12.0,wilcoxon,BO_3_0.1_GBRT_PI
597,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,LHS,1.9986252838716414,0.04841899114979005,12.0,t-test,BO_3_0.1_GBRT_PI
598,hadoop_terasort_bigdata,SA_9_0.5_50,RANDOM,-1.2236530278936375,0.016362179506649272,18.0,wilcoxon,RANDOM
599,hadoop_terasort_bigdata,TPE_9_0.25,HC_9_50,1.089223540322224,0.023934438715397556,18.0,wilcoxon,TPE_9_0.25
600,hadoop_terasort_bigdata,TPE_9_0.25,SA_9_0.5_50,1.7544771583038352,0.00286491305178407,18.0,wilcoxon,TPE_9_0.25
601,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.5_50,2.069600075283198,0.04112093063805233,18.0,t-test,BO_3_0.1_GBRT_PI
602,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,TPE_9_0.25,-2.9333203570070014,0.01839145935696722,18.0,wilcoxon,TPE_9_0.25
603,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,TPE_9_0.25,-2.0421835281846055,0.04381956777671047,18.0,t-test,TPE_9_0.25
604,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-1.6958796893624497,0.008071326160533816,18.0,wilcoxon,BO_3_0.1_GBRT_PI
605,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-2.3119833446012645,0.0228717877891544,18.0,t-test,BO_3_0.1_GBRT_PI
606,hadoop_terasort_bigdata,HC_9_50,RANDOM,-1.3580825154650513,0.022305551881961535,24.0,wilcoxon,HC_9_50
607,hadoop_terasort_bigdata,SA_9_0.5_50,RANDOM,-1.3029319564613944,0.004438623685247001,24.0,wilcoxon,SA_9_0.5_50
608,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,RANDOM,-3.3435026395966996,0.0033564409812210792,24.0,wilcoxon,RANDOM
609,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,RANDOM,-3.0747054959629803,0.002730102390377274,24.0,t-test,RANDOM
610,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,LHS,2.9160858073183586,0.0033833825550966994,24.0,wilcoxon,BO_3_0.1_GBRT_PI
611,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,LHS,3.3759854182501665,0.0010555772572357059,24.0,t-test,BO_3_0.1_GBRT_PI
612,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,LHS,-2.1818939905821764,0.041855938616001016,24.0,wilcoxon,LHS
613,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,2.688589751428274,0.004530057191583639,24.0,wilcoxon,BO_3_0.1_GBRT_PI
614,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,3.4242736269490512,0.0009014838146542767,24.0,t-test,BO_3_0.1_GBRT_PI
615,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.5_50,2.7609748601205735,0.0026590238737416033,24.0,wilcoxon,BO_3_0.1_GBRT_PI
616,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.5_50,3.4772596964130598,0.0007568633161191063,24.0,t-test,BO_3_0.1_GBRT_PI
617,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.25,2.3025358384026755,0.005948115643831096,24.0,wilcoxon,BO_3_0.1_GBRT_PI
618,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.25,2.7416457487741877,0.007267358076845169,24.0,t-test,BO_3_0.1_GBRT_PI
619,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,TPE_9_0.25,-2.595523183109603,0.03868368040753785,24.0,wilcoxon,TPE_9_0.25
620,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.261172919149933,0.013489539665454776,24.0,wilcoxon,BO_3_0.1_GBRT_PI
621,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.539778818009585,0.012664057569194954,24.0,t-test,BO_3_0.1_GBRT_PI
622,hadoop_terasort_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-1.7441364284906495,0.04243231075664021,24.0,wilcoxon,BO_3_0.1_GBRT_PI
623,hadoop_terasort_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.2694281925456425,0.02543392428285265,24.0,t-test,BO_3_0.1_GBRT_PI
624,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-4.436173089856652,1.8922991553529336e-05,24.0,wilcoxon,BO_3_0.1_GBRT_PI
625,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-5.089446273377966,1.7342715693382312e-06,24.0,t-test,BO_3_0.1_GBRT_PI
626,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-3.0884313042047866,0.019865980049820816,24.0,wilcoxon,BO_3_1.96_GP_LCB
627,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-2.0411615407864145,0.04392303233101326,24.0,t-test,BO_3_1.96_GP_LCB
628,hadoop_terasort_bigdata,HC_9_50,RANDOM,-2.3749209470949753,0.0010938617710409021,30.0,wilcoxon,HC_9_50
629,hadoop_terasort_bigdata,HC_9_50,RANDOM,-2.8256874454160754,0.00571801179977012,30.0,t-test,RANDOM
630,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,RANDOM,2.0052618447888255,0.047692683577909414,30.0,t-test,BO_3_0.1_GBRT_PI
631,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,RANDOM,-4.498217468735766,0.0002871742054823059,30.0,wilcoxon,RANDOM
632,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,RANDOM,-4.21477946320199,5.56907196871969e-05,30.0,t-test,RANDOM
633,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,LHS,3.084984394267058,0.0016953879174952525,30.0,wilcoxon,BO_3_0.1_GBRT_PI
634,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,LHS,3.727040538441444,0.00032419997631742394,30.0,t-test,BO_3_0.1_GBRT_PI
635,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,LHS,-2.771315589933759,0.011821748397712082,30.0,wilcoxon,LHS
636,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,LHS,-2.3794286929173474,0.01927606540473469,30.0,t-test,LHS
637,hadoop_terasort_bigdata,SA_9_0.5_50,HC_9_50,1.7441364284906495,0.014930364475585512,30.0,wilcoxon,SA_9_0.5_50
638,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,3.550317235860413,0.00015958821031936382,30.0,wilcoxon,BO_3_0.1_GBRT_PI
639,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,4.469267233313266,2.109380778511204e-05,30.0,t-test,BO_3_0.1_GBRT_PI
640,hadoop_terasort_bigdata,BO_3_1.96_GP_LCB,HC_9_50,2.123296521640791,0.02729663612811591,30.0,wilcoxon,BO_3_1.96_GP_LCB
641,hadoop_terasort_bigdata,BO_3_1.96_GP_LCB,HC_9_50,2.6186453067310613,0.01022949704641064,30.0,t-test,BO_3_1.96_GP_LCB
642,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.5_50,2.0888274222635053,0.011391517346921532,30.0,wilcoxon,BO_3_0.1_GBRT_PI
643,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.5_50,2.665748171748543,0.008985655568294332,30.0,t-test,BO_3_0.1_GBRT_PI
644,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,SA_9_0.5_50,-3.1608164128970864,0.007361592674860936,30.0,wilcoxon,SA_9_0.5_50
645,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,SA_9_0.5_50,-2.6351074723329853,0.009778107938909356,30.0,t-test,SA_9_0.5_50
646,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.25,2.850594518501516,0.0011809918487600225,30.0,wilcoxon,BO_3_0.1_GBRT_PI
647,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.25,3.5183321916642174,0.0006601200166224524,30.0,t-test,BO_3_0.1_GBRT_PI
648,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,TPE_9_0.25,-3.3366088197212425,0.008795233470478073,30.0,wilcoxon,TPE_9_0.25
649,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,TPE_9_0.25,-2.193002072023292,0.030672843045088532,30.0,t-test,TPE_9_0.25
650,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.788550139622402,0.002508690533759379,30.0,wilcoxon,BO_3_0.1_GBRT_PI
651,hadoop_terasort_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,3.252707039311146,0.0015685186963615197,30.0,t-test,BO_3_0.1_GBRT_PI
652,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_ET_PI,-2.385261676908161,0.023751382403295128,30.0,wilcoxon,BO_3_0.1_ET_PI
653,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_ET_PI,-2.3252779038021463,0.022119431420423392,30.0,t-test,BO_3_0.1_ET_PI
654,hadoop_terasort_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.1522647696979806,0.03383240755549885,30.0,t-test,BO_3_0.1_GBRT_PI
655,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-4.998019409706407,8.997130287476885e-06,30.0,wilcoxon,BO_3_0.1_GBRT_PI
656,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-6.211910462733667,1.2710800902009533e-08,30.0,t-test,BO_3_0.1_GBRT_PI
657,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-4.119057375585625,0.00020368383248059238,30.0,wilcoxon,BO_3_1.96_GP_LCB
658,hadoop_terasort_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-3.9127627018417384,0.00016844659476936418,30.0,t-test,BO_3_1.96_GP_LCB
