,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
824,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,RANDOM,3.1539225930216293,0.00025294863850735866,6.0,wilcoxon,BO_3_1.96_GP_LCB
825,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,RANDOM,3.3520143582745754,0.0011409574401010144,6.0,t-test,BO_3_1.96_GP_LCB
826,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,LHS,2.7678686799960306,0.010724945096261427,6.0,wilcoxon,BO_3_1.96_GP_LCB
827,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,LHS,2.7006393463575673,0.008154507777585387,6.0,t-test,BO_3_1.96_GP_LCB
828,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,HC_9_50,3.1539225930216293,0.00025294863850735866,6.0,wilcoxon,BO_3_1.96_GP_LCB
829,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,HC_9_50,3.3520143582745754,0.0011409574401010144,6.0,t-test,BO_3_1.96_GP_LCB
830,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,SA_9_0.5_50,3.1539225930216293,0.00025294863850735866,6.0,wilcoxon,BO_3_1.96_GP_LCB
831,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,SA_9_0.5_50,3.3520143582745754,0.0011409574401010144,6.0,t-test,BO_3_1.96_GP_LCB
832,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,TPE_9_0.25,3.1539225930216293,0.00025294863850735866,6.0,wilcoxon,BO_3_1.96_GP_LCB
833,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,TPE_9_0.25,3.3520143582745754,0.0011409574401010144,6.0,t-test,BO_3_1.96_GP_LCB
834,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,2.7540810402451164,0.0026010588079154796,6.0,wilcoxon,BO_3_1.96_GP_LCB
835,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,2.958087818988589,0.003880112917223458,6.0,t-test,BO_3_1.96_GP_LCB
836,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,2.612757732798246,0.001978233880444305,6.0,wilcoxon,BO_3_1.96_GP_LCB
837,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,2.7143264928208417,0.007848006535584701,6.0,t-test,BO_3_1.96_GP_LCB
838,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-2.354239487468604,0.010603306530063004,6.0,wilcoxon,BO_3_1.96_GP_LCB
839,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-2.453336770133583,0.015919998909792246,6.0,t-test,BO_3_1.96_GP_LCB
840,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,RANDOM,2.867829068190159,0.0014960601664254078,12.0,wilcoxon,BO_3_0.1_GBRT_PI
841,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,RANDOM,3.2440194019334276,0.0016123102197760555,12.0,t-test,BO_3_0.1_GBRT_PI
842,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,RANDOM,6.0700084003399875,1.3991443132034568e-07,12.0,wilcoxon,BO_3_1.96_GP_LCB
843,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,RANDOM,6.450972011072338,4.234125254796995e-09,12.0,t-test,BO_3_1.96_GP_LCB
844,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,RANDOM,1.7062204191756354,0.030680863170594284,12.0,wilcoxon,BO_3_0.1_RF_PI
845,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,LHS,3.443463027790828,0.0019501126611174092,12.0,wilcoxon,BO_3_0.1_GBRT_PI
846,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,LHS,3.4496073999152443,0.0008293645536565217,12.0,t-test,BO_3_0.1_GBRT_PI
847,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,LHS,6.5387881518710715,3.112482393794355e-08,12.0,wilcoxon,BO_3_1.96_GP_LCB
848,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,LHS,7.708041066372663,1.0589333105435894e-11,12.0,t-test,BO_3_1.96_GP_LCB
849,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,2.209469270084005,0.012138857516915085,12.0,wilcoxon,BO_3_0.1_GBRT_PI
850,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,2.6789028019808843,0.00866367208284265,12.0,t-test,BO_3_0.1_GBRT_PI
851,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,HC_9_50,5.601228648808904,2.907634659412665e-07,12.0,wilcoxon,BO_3_1.96_GP_LCB
852,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,HC_9_50,5.731109169409837,1.1018262040254877e-07,12.0,t-test,BO_3_1.96_GP_LCB
853,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.5_50,2.209469270084005,0.011610471830560758,12.0,wilcoxon,BO_3_0.1_GBRT_PI
854,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.5_50,2.698492541413413,0.008203556963266767,12.0,t-test,BO_3_0.1_GBRT_PI
855,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,SA_9_0.5_50,5.601228648808904,2.907634659412665e-07,12.0,wilcoxon,BO_3_1.96_GP_LCB
856,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,SA_9_0.5_50,5.706213551806816,1.2296767381155815e-07,12.0,t-test,BO_3_1.96_GP_LCB
857,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.25,2.274960558900847,0.013288448716530094,12.0,wilcoxon,BO_3_0.1_GBRT_PI
858,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.25,2.713358886787461,0.007869325348226786,12.0,t-test,BO_3_0.1_GBRT_PI
859,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,TPE_9_0.25,5.394414052545191,3.0509378535915124e-07,12.0,wilcoxon,BO_3_1.96_GP_LCB
860,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,TPE_9_0.25,5.782774770812055,8.767463507179121e-08,12.0,t-test,BO_3_1.96_GP_LCB
861,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,3.9122427793219114,8.662451325630073e-05,12.0,wilcoxon,BO_3_1.96_GP_LCB
862,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,4.6332027980570825,1.109121345608672e-05,12.0,t-test,BO_3_1.96_GP_LCB
863,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,3.6640652638054556,0.0004059597832076636,12.0,wilcoxon,BO_3_1.96_GP_LCB
864,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,3.967337938867094,0.00013843557599493622,12.0,t-test,BO_3_1.96_GP_LCB
865,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-4.567155667490337,2.0494137955684796e-05,12.0,wilcoxon,BO_3_1.96_GP_LCB
866,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-4.517852290143104,1.7458990694726994e-05,12.0,t-test,BO_3_1.96_GP_LCB
867,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,RANDOM,3.0574091147652296,0.006103878937022692,18.0,wilcoxon,BO_3_0.1_ET_PI
868,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,RANDOM,2.8433953055896146,0.005432868668799004,18.0,t-test,BO_3_0.1_ET_PI
869,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,RANDOM,3.8639860401937116,0.0003646831139651085,18.0,wilcoxon,BO_3_0.1_GBRT_PI
870,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,RANDOM,4.207717070905625,5.71837017277691e-05,18.0,t-test,BO_3_0.1_GBRT_PI
871,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,RANDOM,6.294057546292344,4.83188827615746e-08,18.0,wilcoxon,BO_3_1.96_GP_LCB
872,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,RANDOM,6.5732494184001515,2.399071773352497e-09,18.0,t-test,BO_3_1.96_GP_LCB
873,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,RANDOM,2.7265057607432883,0.01077142751993675,18.0,wilcoxon,BO_3_0.1_RF_PI
874,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,RANDOM,2.6612572471261107,0.009098039208374178,18.0,t-test,BO_3_0.1_RF_PI
875,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,LHS,3.667512173743184,0.0017256990232075392,18.0,wilcoxon,BO_3_0.1_ET_PI
876,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,LHS,3.1181664632947728,0.0023892385420718554,18.0,t-test,BO_3_0.1_ET_PI
877,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,LHS,4.32242506191161,2.9459774475380387e-05,18.0,wilcoxon,BO_3_0.1_GBRT_PI
