,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1875,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,RANDOM,-2.8161254191242304,0.000580295237578848,6.0,wilcoxon,RANDOM
1876,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,RANDOM,-3.497975532748615,0.0007065093828393858,6.0,t-test,RANDOM
1877,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,RANDOM,-1.4821712732232792,0.02701899854333463,6.0,wilcoxon,RANDOM
1878,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,LHS,-1.5580032918533075,0.01966398575768982,6.0,wilcoxon,LHS
1879,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,LHS,-2.5624716891180563,0.01191501305018717,6.0,t-test,LHS
1880,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,-2.8161254191242304,0.000580295237578848,6.0,wilcoxon,HC_9_50
1881,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,-3.497975532748615,0.0007065093828393858,6.0,t-test,HC_9_50
1882,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,HC_9_50,-1.4821712732232792,0.02701899854333463,6.0,wilcoxon,HC_9_50
1883,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.5_50,-2.8161254191242304,0.000580295237578848,6.0,wilcoxon,SA_9_0.5_50
1884,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.5_50,-3.497975532748615,0.0007065093828393858,6.0,t-test,SA_9_0.5_50
1885,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,SA_9_0.5_50,-1.4821712732232792,0.02701899854333463,6.0,wilcoxon,SA_9_0.5_50
1886,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.25,-2.8161254191242304,0.000580295237578848,6.0,wilcoxon,TPE_9_0.25
