,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1824,spark1.5_kmeans_huge,HC_9_50,RANDOM,-0.5583994099120262,0.044203982530305504,12.0,wilcoxon,RANDOM
1825,spark1.5_kmeans_huge,SA_9_0.5_50,RANDOM,-0.5583994099120262,0.044203982530305504,12.0,wilcoxon,RANDOM
1826,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,HC_9_50,2.345379612355047,0.021023343887850703,18.0,t-test,BO_3_0.1_RF_PI
1827,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,2.6093108228605173,0.04859404297480058,18.0,wilcoxon,BO_3_0.1_RF_PI
1828,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,2.4315288039651,0.016851459008333045,18.0,t-test,BO_3_0.1_RF_PI
1829,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,TPE_9_0.25,2.251843799884971,0.02656419850137778,18.0,t-test,BO_3_0.1_RF_PI
1830,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,2.5300318942927604,0.012414567212266818,18.0,wilcoxon,BO_3_0.1_RF_PI
1831,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,2.4296783410462774,0.016932688401503932,18.0,t-test,BO_3_0.1_RF_PI
1832,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,1.9130350154393487,0.03224394655343047,18.0,wilcoxon,BO_3_0.1_RF_PI
1833,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,2.068884454413824,0.04118951019662622,18.0,t-test,BO_3_0.1_RF_PI
1834,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,RANDOM,2.5369257141682175,0.007852744053594454,24.0,wilcoxon,BO_3_0.1_RF_PI
1835,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,RANDOM,3.04612231730717,0.002978305920212582,24.0,t-test,BO_3_0.1_RF_PI
1836,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,LHS,2.4266245961609036,0.011620825785496827,24.0,wilcoxon,BO_3_0.1_RF_PI
1837,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,LHS,2.7751541428199076,0.00660872005648553,24.0,t-test,BO_3_0.1_RF_PI
1838,spark1.5_kmeans_huge,SA_9_0.5_50,HC_9_50,1.1305864595749664,0.020676998192666215,24.0,wilcoxon,SA_9_0.5_50
1839,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,HC_9_50,3.574445605424513,0.0008661534497656188,24.0,wilcoxon,BO_3_0.1_RF_PI
1840,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,HC_9_50,4.116303038351523,8.033951528396859e-05,24.0,t-test,BO_3_0.1_RF_PI
1841,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,2.7023773911791884,0.010481068216140324,24.0,wilcoxon,BO_3_0.1_RF_PI
1842,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,3.0582775752387312,0.002870304419365761,24.0,t-test,BO_3_0.1_RF_PI
1843,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,TPE_9_0.25,3.622702344552713,0.000477465846150652,24.0,wilcoxon,BO_3_0.1_RF_PI
1844,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,TPE_9_0.25,4.309218326591853,3.89972603082302e-05,24.0,t-test,BO_3_0.1_RF_PI
1845,spark1.5_kmeans_huge,BO_3_0.1_RF_PI,BO_3_0.1_ET_PI,1.523534192476022,0.035145800237434265,24.0,wilcoxon,BO_3_0.1_RF_PI
