,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
2000,spark1.5_naive-bayes_huge,BO_3_0.1_ET_PI,RANDOM,-2.299088928464947,0.041035664135368556,6.0,wilcoxon,RANDOM
2001,spark1.5_naive-bayes_huge,BO_3_0.1_GBRT_PI,RANDOM,-2.092274332201234,0.012642988059885682,6.0,wilcoxon,RANDOM
2002,spark1.5_naive-bayes_huge,BO_3_0.1_RF_PI,RANDOM,-2.2198099998971905,0.02179911053878511,6.0,wilcoxon,RANDOM
2003,spark1.5_naive-bayes_huge,BO_3_0.1_ET_PI,HC_9_50,-2.299088928464947,0.041035664135368556,6.0,wilcoxon,HC_9_50
2004,spark1.5_naive-bayes_huge,BO_3_0.1_GBRT_PI,HC_9_50,-2.092274332201234,0.012642988059885682,6.0,wilcoxon,HC_9_50
2005,spark1.5_naive-bayes_huge,BO_3_0.1_RF_PI,HC_9_50,-2.2198099998971905,0.02179911053878511,6.0,wilcoxon,HC_9_50
2006,spark1.5_naive-bayes_huge,BO_3_0.1_ET_PI,SA_9_0.5_50,-2.299088928464947,0.041035664135368556,6.0,wilcoxon,SA_9_0.5_50
2007,spark1.5_naive-bayes_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,-2.092274332201234,0.012642988059885682,6.0,wilcoxon,SA_9_0.5_50
2008,spark1.5_naive-bayes_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,-2.2198099998971905,0.02179911053878511,6.0,wilcoxon,SA_9_0.5_50
2009,spark1.5_naive-bayes_huge,BO_3_0.1_ET_PI,TPE_9_0.25,-2.299088928464947,0.041035664135368556,6.0,wilcoxon,TPE_9_0.25
2010,spark1.5_naive-bayes_huge,BO_3_0.1_GBRT_PI,TPE_9_0.25,-2.092274332201234,0.012642988059885682,6.0,wilcoxon,TPE_9_0.25
2011,spark1.5_naive-bayes_huge,BO_3_0.1_RF_PI,TPE_9_0.25,-2.2198099998971905,0.02179911053878511,6.0,wilcoxon,TPE_9_0.25
2012,spark1.5_naive-bayes_huge,HC_9_50,RANDOM,-1.1478210092636092,0.008023449075958153,12.0,wilcoxon,HC_9_50
2013,spark1.5_naive-bayes_huge,SA_9_0.5_50,RANDOM,-1.1478210092636092,0.008023449075958153,12.0,wilcoxon,SA_9_0.5_50
2014,spark1.5_naive-bayes_huge,BO_3_0.1_GBRT_PI,RANDOM,-1.7613709781792923,0.038645321050264955,12.0,wilcoxon,RANDOM
2015,spark1.5_naive-bayes_huge,BO_3_1.96_GP_LCB,RANDOM,-3.505507406669942,0.0011454124304924192,12.0,wilcoxon,RANDOM
2016,spark1.5_naive-bayes_huge,BO_3_1.96_GP_LCB,RANDOM,-3.5335032703641516,0.0006274341470223391,12.0,t-test,RANDOM
2017,spark1.5_naive-bayes_huge,BO_3_0.1_RF_PI,RANDOM,-3.2366484315271147,0.0002194382526164999,12.0,wilcoxon,RANDOM
2018,spark1.5_naive-bayes_huge,BO_3_0.1_RF_PI,RANDOM,-3.5692681565498727,0.0005563258446267741,12.0,t-test,RANDOM
2019,spark1.5_naive-bayes_huge,BO_3_1.96_GP_LCB,LHS,-2.540372624105946,0.013965381851076647,12.0,wilcoxon,LHS
2020,spark1.5_naive-bayes_huge,BO_3_1.96_GP_LCB,LHS,-2.7288898885687836,0.007533420953664299,12.0,t-test,LHS
2021,spark1.5_naive-bayes_huge,BO_3_0.1_RF_PI,LHS,-2.2715136489631185,0.0138535288378227,12.0,wilcoxon,LHS
2022,spark1.5_naive-bayes_huge,BO_3_0.1_RF_PI,LHS,-2.8190757310907344,0.005827945541694233,12.0,t-test,LHS
2023,spark1.5_naive-bayes_huge,TPE_9_0.25,HC_9_50,0.5342710403479263,0.019531479675942848,12.0,wilcoxon,TPE_9_0.25
2024,spark1.5_naive-bayes_huge,TPE_9_0.25,SA_9_0.5_50,0.5342710403479263,0.019531479675942848,12.0,wilcoxon,TPE_9_0.25
2025,spark1.5_naive-bayes_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,-2.96089563650883,0.007494444729371732,12.0,wilcoxon,TPE_9_0.25
2026,spark1.5_naive-bayes_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,-2.7951156834467317,0.006242734920899615,12.0,t-test,TPE_9_0.25
2027,spark1.5_naive-bayes_huge,BO_3_0.1_RF_PI,TPE_9_0.25,-2.8161254191242304,0.002079664041085385,12.0,wilcoxon,TPE_9_0.25
