,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
2286,spark1.5_regression_bigdata,BO_3_0.1_GBRT_PI,LHS,-2.1508718011426193,0.021654354548001496,6.0,wilcoxon,LHS
2287,spark1.5_regression_bigdata,BO_3_0.1_GBRT_PI,LHS,-2.219003188787181,0.02879348650531872,6.0,t-test,LHS
2288,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,LHS,-2.6782490216150885,0.007128593942820546,6.0,wilcoxon,LHS
2289,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,LHS,-2.8002180194849435,0.006152207307999436,6.0,t-test,LHS
2290,spark1.5_regression_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,-1.6476229502342499,0.04733343248951544,6.0,wilcoxon,BO_3_0.1_ET_PI
2291,spark1.5_regression_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,-2.0241214309960283,0.045679247454251615,6.0,t-test,BO_3_0.1_ET_PI
2292,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_ET_PI,-2.050911412948491,0.0006094411052760197,6.0,wilcoxon,BO_3_0.1_ET_PI
2293,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_ET_PI,-2.641024996454132,0.009620306334246147,6.0,t-test,BO_3_0.1_ET_PI
2294,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,RANDOM,-1.7510302483661067,0.027492892737302953,12.0,wilcoxon,RANDOM
2295,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,RANDOM,-2.2530807102678847,0.026483276682166122,12.0,t-test,RANDOM
2296,spark1.5_regression_bigdata,BO_3_0.1_GBRT_PI,LHS,-2.3151371169881076,0.02269129805179543,12.0,t-test,LHS
2297,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,LHS,-2.8919574377542587,0.010513643420596207,12.0,wilcoxon,LHS
2298,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,LHS,-2.948508068781949,0.003992140198035291,12.0,t-test,LHS
2299,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,HC_9_50,-2.1267434315785194,0.011935231431513342,12.0,wilcoxon,HC_9_50
2300,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,HC_9_50,-2.4332177886719264,0.016777621329079444,12.0,t-test,HC_9_50
2301,spark1.5_regression_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.5_50,-2.002876472599148,0.047952661933268755,12.0,t-test,SA_9_0.5_50
2302,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,SA_9_0.5_50,-2.3266642079667754,0.004900701844030509,12.0,wilcoxon,SA_9_0.5_50
2303,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,SA_9_0.5_50,-2.6900201295694606,0.008399758045929259,12.0,t-test,SA_9_0.5_50
2304,spark1.5_regression_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.25,-1.5097465527251077,0.03464162391880311,12.0,wilcoxon,TPE_9_0.25
2305,spark1.5_regression_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.25,-2.0832753582941863,0.03982914669410452,12.0,t-test,TPE_9_0.25
2306,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,TPE_9_0.25,-2.581735543358689,0.0017600952867649704,12.0,wilcoxon,TPE_9_0.25
2307,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,TPE_9_0.25,-2.7541355097120785,0.007015168646222322,12.0,t-test,TPE_9_0.25
2308,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_ET_PI,-1.5890254812928646,0.037203967211752065,12.0,wilcoxon,BO_3_0.1_ET_PI
2309,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-1.5821316614174075,0.039076639542148586,12.0,wilcoxon,BO_3_1.96_GP_LCB
2310,spark1.5_regression_bigdata,LHS,RANDOM,2.164807790860779,0.03283074008499383,18.0,t-test,LHS
2311,spark1.5_regression_bigdata,HC_9_50,RANDOM,1.8509906365602349,0.029220741628005174,18.0,wilcoxon,HC_9_50
2312,spark1.5_regression_bigdata,SA_9_0.5_50,RANDOM,2.4266245961609036,0.0032737016690400165,18.0,wilcoxon,SA_9_0.5_50
2313,spark1.5_regression_bigdata,SA_9_0.5_50,RANDOM,2.5074629804738846,0.013803808786214053,18.0,t-test,SA_9_0.5_50
2314,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,RANDOM,-2.440412235911818,0.002106111107474623,18.0,wilcoxon,RANDOM
2315,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,RANDOM,-2.9460822561708495,0.004020977353322991,18.0,t-test,RANDOM
2316,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,LHS,-2.5782886334209603,0.003325244337653624,18.0,wilcoxon,LHS
2317,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,LHS,-3.312948798759996,0.0012941203925301134,18.0,t-test,LHS
2318,spark1.5_regression_bigdata,BO_3_0.1_GBRT_PI,LHS,-2.6744166026631313,0.008772284271241165,18.0,t-test,LHS
2319,spark1.5_regression_bigdata,BO_3_1.96_GP_LCB,LHS,-2.4610936955381892,0.0033753601455638943,18.0,wilcoxon,LHS
2320,spark1.5_regression_bigdata,BO_3_1.96_GP_LCB,LHS,-2.8782044378619513,0.004909997534160727,18.0,t-test,LHS
2321,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,LHS,-4.019096987391497,0.00023471862440798858,18.0,wilcoxon,LHS
2322,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,LHS,-4.455417000932777,2.2257437641177584e-05,18.0,t-test,LHS
