,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1172,spark_join_bigdata,BO_3_1.96_GP_LCB,LHS,2.6299922824868887,0.019167345042235686,6.0,wilcoxon,BO_3_1.96_GP_LCB
1173,spark_join_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,1.8647782763111491,0.016769821060152602,6.0,wilcoxon,BO_3_1.96_GP_LCB
1174,spark_join_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,2.3387340927131426,0.021380267983566147,6.0,t-test,BO_3_1.96_GP_LCB
1175,spark_join_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,1.585578571355136,0.030597662399537883,6.0,wilcoxon,BO_3_1.96_GP_LCB
1176,spark_join_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-1.6889858694869926,0.004050220547384072,6.0,wilcoxon,BO_3_1.96_GP_LCB
1177,spark_join_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-2.1644637326459772,0.032857868370449426,6.0,t-test,BO_3_1.96_GP_LCB
1178,spark_join_bigdata,BO_3_1.96_GP_LCB,RANDOM,4.611965496680808,2.5724742371984317e-05,12.0,wilcoxon,BO_3_1.96_GP_LCB
1179,spark_join_bigdata,BO_3_1.96_GP_LCB,RANDOM,4.4328600429156895,2.428649574868242e-05,12.0,t-test,BO_3_1.96_GP_LCB
1180,spark_join_bigdata,BO_3_1.96_GP_LCB,LHS,5.394414052545191,7.012176241663416e-06,12.0,wilcoxon,BO_3_1.96_GP_LCB
1181,spark_join_bigdata,BO_3_1.96_GP_LCB,LHS,5.337872825703978,6.079565142934612e-07,12.0,t-test,BO_3_1.96_GP_LCB
1182,spark_join_bigdata,TPE_9_0.25,HC_9_50,0.9203249533735246,0.0292305874923262,12.0,wilcoxon,TPE_9_0.25
1183,spark_join_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,2.3645802172817896,0.04955790048085356,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1184,spark_join_bigdata,BO_3_1.96_GP_LCB,HC_9_50,5.108320527713721,5.863668130067395e-06,12.0,wilcoxon,BO_3_1.96_GP_LCB
1185,spark_join_bigdata,BO_3_1.96_GP_LCB,HC_9_50,4.882168891934126,4.076617304094198e-06,12.0,t-test,BO_3_1.96_GP_LCB
1186,spark_join_bigdata,TPE_9_0.25,SA_9_0.5_50,0.9203249533735246,0.0292305874923262,12.0,wilcoxon,TPE_9_0.25
1187,spark_join_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.5_50,2.3645802172817896,0.04955790048085356,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1188,spark_join_bigdata,BO_3_1.96_GP_LCB,SA_9_0.5_50,5.108320527713721,5.863668130067395e-06,12.0,wilcoxon,BO_3_1.96_GP_LCB
1189,spark_join_bigdata,BO_3_1.96_GP_LCB,SA_9_0.5_50,4.882168891934126,4.076617304094198e-06,12.0,t-test,BO_3_1.96_GP_LCB
1190,spark_join_bigdata,BO_3_1.96_GP_LCB,TPE_9_0.25,4.6360938662449085,2.2161922188472128e-05,12.0,wilcoxon,BO_3_1.96_GP_LCB
1191,spark_join_bigdata,BO_3_1.96_GP_LCB,TPE_9_0.25,4.571912382951756,1.4126270760753763e-05,12.0,t-test,BO_3_1.96_GP_LCB
