,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1006,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,3.1746040526480006,0.0005155332270517685,6.0,wilcoxon,BO_3_1.96_GP_LCB
1007,spark_join_huge,BO_3_1.96_GP_LCB,LHS,3.171157142710272,0.00792838630995929,6.0,wilcoxon,BO_3_1.96_GP_LCB
1008,spark_join_huge,BO_3_0.1_RF_PI,LHS,1.4201268943441652,0.02414428862914969,6.0,wilcoxon,BO_3_0.1_RF_PI
1009,spark_join_huge,BO_3_1.96_GP_LCB,HC_9_50,3.1746040526480006,0.0005155332270517685,6.0,wilcoxon,BO_3_1.96_GP_LCB
1010,spark_join_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,3.1746040526480006,0.0005155332270517685,6.0,wilcoxon,BO_3_1.96_GP_LCB
1011,spark_join_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,3.1746040526480006,0.0005155332270517685,6.0,wilcoxon,BO_3_1.96_GP_LCB
1012,spark_join_huge,BO_3_0.1_GBRT_PI,RANDOM,3.6399368942413557,0.0006204150205041232,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1013,spark_join_huge,BO_3_0.1_GBRT_PI,RANDOM,2.662332981155106,0.009071003948766462,12.0,t-test,BO_3_0.1_GBRT_PI
1014,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,6.635301630127471,5.687629271102167e-08,12.0,wilcoxon,BO_3_1.96_GP_LCB
1015,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,7.275726527780311,8.594794109809741e-11,12.0,t-test,BO_3_1.96_GP_LCB
1016,spark_join_huge,BO_3_0.1_GBRT_PI,LHS,3.636489984303627,0.0013565022250175609,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1017,spark_join_huge,BO_3_0.1_GBRT_PI,LHS,3.1630859346159874,0.0020788263365493116,12.0,t-test,BO_3_0.1_GBRT_PI
1018,spark_join_huge,BO_3_1.96_GP_LCB,LHS,6.349208105296001,4.501607157739361e-08,12.0,wilcoxon,BO_3_1.96_GP_LCB
1019,spark_join_huge,BO_3_1.96_GP_LCB,LHS,6.542398212822876,2.7697857114967514e-09,12.0,t-test,BO_3_1.96_GP_LCB
1020,spark_join_huge,BO_3_0.1_GBRT_PI,HC_9_50,4.187995574340196,0.0002211365632751729,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1021,spark_join_huge,BO_3_0.1_GBRT_PI,HC_9_50,3.369813677033692,0.0010769670728585845,12.0,t-test,BO_3_0.1_GBRT_PI
1022,spark_join_huge,BO_3_1.96_GP_LCB,HC_9_50,6.911054425145756,3.2966751480755556e-08,12.0,wilcoxon,BO_3_1.96_GP_LCB
1023,spark_join_huge,BO_3_1.96_GP_LCB,HC_9_50,7.128908061788519,1.7378018042959004e-10,12.0,t-test,BO_3_1.96_GP_LCB
1024,spark_join_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,4.187995574340196,0.0002211365632751729,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1025,spark_join_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,3.369813677033692,0.0010769670728585845,12.0,t-test,BO_3_0.1_GBRT_PI
1026,spark_join_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,6.911054425145756,3.2966751480755556e-08,12.0,wilcoxon,BO_3_1.96_GP_LCB
1027,spark_join_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,7.128908061788519,1.7378018042959004e-10,12.0,t-test,BO_3_1.96_GP_LCB
1028,spark_join_huge,BO_3_0.1_GBRT_PI,TPE_9_0.25,3.315927360094871,0.012996284502132955,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1029,spark_join_huge,BO_3_0.1_GBRT_PI,TPE_9_0.25,2.5199497409792126,0.01335293484836378,12.0,t-test,BO_3_0.1_GBRT_PI
1030,spark_join_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,6.3043982761055295,3.071475807088346e-07,12.0,wilcoxon,BO_3_1.96_GP_LCB
1031,spark_join_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,6.028856521418623,2.917194513712693e-08,12.0,t-test,BO_3_1.96_GP_LCB
1032,spark_join_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,3.3503964594721567,0.0036837615381471738,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1033,spark_join_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.7189895117873824,0.007746003127495732,12.0,t-test,BO_3_0.1_GBRT_PI
1034,spark_join_huge,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,6.269929176728244,1.6545967328015028e-07,12.0,wilcoxon,BO_3_1.96_GP_LCB
1035,spark_join_huge,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,6.154671679370196,1.6498730631631755e-08,12.0,t-test,BO_3_1.96_GP_LCB
1036,spark_join_huge,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,3.171157142710272,0.002997539679753243,12.0,wilcoxon,BO_3_1.96_GP_LCB
1037,spark_join_huge,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,3.4185941896863246,0.0009184423525649602,12.0,t-test,BO_3_1.96_GP_LCB
1038,spark_join_huge,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-2.502456614790932,0.015214642846241733,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1039,spark_join_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-5.435776971797933,1.072928391645494e-06,12.0,wilcoxon,BO_3_1.96_GP_LCB
1040,spark_join_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-5.858108154994966,6.273010369101705e-08,12.0,t-test,BO_3_1.96_GP_LCB
1041,spark_join_huge,HC_9_50,RANDOM,-1.530428012351479,0.04476619258145717,18.0,wilcoxon,RANDOM
1042,spark_join_huge,SA_9_0.5_50,RANDOM,-1.530428012351479,0.04476619258145717,18.0,wilcoxon,RANDOM
1043,spark_join_huge,BO_3_0.1_GBRT_PI,RANDOM,4.184548664402468,0.00011044290699987085,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1044,spark_join_huge,BO_3_0.1_GBRT_PI,RANDOM,3.7621382993485164,0.00028691560470014006,18.0,t-test,BO_3_0.1_GBRT_PI
1045,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,6.8283285866402705,4.887761863884377e-08,18.0,wilcoxon,BO_3_1.96_GP_LCB
1046,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,7.396590990664664,4.800522741219617e-11,18.0,t-test,BO_3_1.96_GP_LCB
1047,spark_join_huge,HC_9_50,LHS,-2.199128540270819,0.025162439771016187,18.0,wilcoxon,LHS
1048,spark_join_huge,HC_9_50,LHS,-2.3030687730508617,0.02338883299516494,18.0,t-test,LHS
1049,spark_join_huge,SA_9_0.5_50,LHS,-2.199128540270819,0.025162439771016187,18.0,wilcoxon,LHS
1050,spark_join_huge,SA_9_0.5_50,LHS,-2.3030687730508617,0.02338883299516494,18.0,t-test,LHS
1051,spark_join_huge,BO_3_0.1_GBRT_PI,LHS,3.8088354811900547,0.0042866810510113285,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1052,spark_join_huge,BO_3_0.1_GBRT_PI,LHS,3.2176998530021543,0.0017520522337397273,18.0,t-test,BO_3_0.1_GBRT_PI
1053,spark_join_huge,BO_3_1.96_GP_LCB,LHS,6.652536179816114,4.825711252980236e-08,18.0,wilcoxon,BO_3_1.96_GP_LCB
1054,spark_join_huge,BO_3_1.96_GP_LCB,LHS,7.194314412773262,1.2705601641625789e-10,18.0,t-test,BO_3_1.96_GP_LCB
1055,spark_join_huge,TPE_9_0.25,HC_9_50,2.3749209470949753,0.004138316624811437,18.0,wilcoxon,TPE_9_0.25
1056,spark_join_huge,TPE_9_0.25,HC_9_50,2.9021156252676925,0.004578046972189636,18.0,t-test,TPE_9_0.25
1057,spark_join_huge,BO_3_0.1_ET_PI,HC_9_50,1.833756086871592,0.041209802710265045,18.0,wilcoxon,BO_3_0.1_ET_PI
1058,spark_join_huge,BO_3_0.1_GBRT_PI,HC_9_50,5.401307872420648,2.0708154559589353e-06,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1059,spark_join_huge,BO_3_0.1_GBRT_PI,HC_9_50,4.858651527980084,4.48633926915494e-06,18.0,t-test,BO_3_0.1_GBRT_PI
1060,spark_join_huge,BO_3_1.96_GP_LCB,HC_9_50,7.717631350574238,4.678561425941938e-09,18.0,wilcoxon,BO_3_1.96_GP_LCB
1061,spark_join_huge,BO_3_1.96_GP_LCB,HC_9_50,7.54840950352255,2.3019660422992528e-11,18.0,t-test,BO_3_1.96_GP_LCB
1062,spark_join_huge,BO_3_0.1_RF_PI,HC_9_50,2.4507529657250036,0.029513995134027145,18.0,wilcoxon,BO_3_0.1_RF_PI
1063,spark_join_huge,BO_3_0.1_RF_PI,HC_9_50,2.2022722456199255,0.02999087149400951,18.0,t-test,BO_3_0.1_RF_PI
1064,spark_join_huge,TPE_9_0.25,SA_9_0.5_50,2.3749209470949753,0.004138316624811437,18.0,wilcoxon,TPE_9_0.25
1065,spark_join_huge,TPE_9_0.25,SA_9_0.5_50,2.9021156252676925,0.004578046972189636,18.0,t-test,TPE_9_0.25
1066,spark_join_huge,BO_3_0.1_ET_PI,SA_9_0.5_50,1.833756086871592,0.041209802710265045,18.0,wilcoxon,BO_3_0.1_ET_PI
1067,spark_join_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,5.401307872420648,2.0708154559589353e-06,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1068,spark_join_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,4.858651527980084,4.48633926915494e-06,18.0,t-test,BO_3_0.1_GBRT_PI
1069,spark_join_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,7.717631350574238,4.678561425941938e-09,18.0,wilcoxon,BO_3_1.96_GP_LCB
1070,spark_join_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,7.54840950352255,2.3019660422992528e-11,18.0,t-test,BO_3_1.96_GP_LCB
1071,spark_join_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,2.4507529657250036,0.029513995134027145,18.0,wilcoxon,BO_3_0.1_RF_PI
1072,spark_join_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,2.2022722456199255,0.02999087149400951,18.0,t-test,BO_3_0.1_RF_PI
1073,spark_join_huge,BO_3_0.1_GBRT_PI,TPE_9_0.25,3.598573974988613,0.005016592008607115,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1074,spark_join_huge,BO_3_0.1_GBRT_PI,TPE_9_0.25,2.861062674709975,0.005161421163131275,18.0,t-test,BO_3_0.1_GBRT_PI
1075,spark_join_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,6.483637592867415,6.549366588384174e-08,18.0,wilcoxon,BO_3_1.96_GP_LCB
1076,spark_join_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,7.680719445180243,1.2097559978260508e-11,18.0,t-test,BO_3_1.96_GP_LCB
1077,spark_join_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,4.156973384900639,0.0003942941872203899,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1078,spark_join_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,3.5552659716929047,0.0005832062823450937,18.0,t-test,BO_3_0.1_GBRT_PI
1079,spark_join_huge,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,7.004120993464427,2.0848264553940033e-08,18.0,wilcoxon,BO_3_1.96_GP_LCB
1080,spark_join_huge,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,6.445936906865269,4.3339866719824e-09,18.0,t-test,BO_3_1.96_GP_LCB
1081,spark_join_huge,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,2.8092315992487733,0.0002544264819842526,18.0,wilcoxon,BO_3_1.96_GP_LCB
1082,spark_join_huge,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,3.7943847935828936,0.000256286070722677,18.0,t-test,BO_3_1.96_GP_LCB
1083,spark_join_huge,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-3.1504756830839007,0.0047428636338695505,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1084,spark_join_huge,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-2.887837337500612,0.004773694347336252,18.0,t-test,BO_3_0.1_GBRT_PI
1085,spark_join_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-5.7873617854462465,3.4248377417626693e-07,18.0,wilcoxon,BO_3_1.96_GP_LCB
1086,spark_join_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-6.130535469195079,1.8411645375085772e-08,18.0,t-test,BO_3_1.96_GP_LCB
1087,spark_join_huge,HC_9_50,RANDOM,-2.9022981675674444,0.000903934809935521,24.0,wilcoxon,RANDOM
1088,spark_join_huge,HC_9_50,RANDOM,-2.892208577574986,0.004712996603717641,24.0,t-test,RANDOM
1089,spark_join_huge,BO_3_0.1_GBRT_PI,RANDOM,3.574445605424513,0.0028856270583808414,24.0,wilcoxon,BO_3_0.1_GBRT_PI
1090,spark_join_huge,BO_3_0.1_GBRT_PI,RANDOM,2.9242140103860987,0.00428974002425581,24.0,t-test,BO_3_0.1_GBRT_PI
1091,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,6.032092391024974,2.0686299648917363e-07,24.0,wilcoxon,BO_3_1.96_GP_LCB
1092,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,6.021387932353273,3.017121464797257e-08,24.0,t-test,BO_3_1.96_GP_LCB
1093,spark_join_huge,HC_9_50,LHS,-2.633439192424617,0.01008239957605018,24.0,wilcoxon,LHS
1094,spark_join_huge,HC_9_50,LHS,-2.798645985311997,0.006179970190160333,24.0,t-test,LHS
1095,spark_join_huge,BO_3_0.1_GBRT_PI,LHS,3.7295565526222982,0.0014404617920107997,24.0,wilcoxon,BO_3_0.1_GBRT_PI
1096,spark_join_huge,BO_3_0.1_GBRT_PI,LHS,3.378020934820915,0.0010486105876026449,24.0,t-test,BO_3_0.1_GBRT_PI
1097,spark_join_huge,BO_3_1.96_GP_LCB,LHS,6.032092391024974,2.1544469674323884e-07,24.0,wilcoxon,BO_3_1.96_GP_LCB
1098,spark_join_huge,BO_3_1.96_GP_LCB,LHS,6.96898260625909,3.724296270679893e-10,24.0,t-test,BO_3_1.96_GP_LCB
1099,spark_join_huge,SA_9_0.5_50,HC_9_50,1.2167592080181804,0.011616044899262472,24.0,wilcoxon,SA_9_0.5_50
1100,spark_join_huge,TPE_9_0.25,HC_9_50,2.7609748601205735,0.004013398212842633,24.0,wilcoxon,TPE_9_0.25
1101,spark_join_huge,TPE_9_0.25,HC_9_50,3.2163176810947864,0.001759694523542572,24.0,t-test,TPE_9_0.25
1102,spark_join_huge,BO_3_0.1_ET_PI,HC_9_50,2.250832189336747,0.0066143839828498065,24.0,wilcoxon,BO_3_0.1_ET_PI
1103,spark_join_huge,BO_3_0.1_ET_PI,HC_9_50,2.4647107526508742,0.015452667738093064,24.0,t-test,BO_3_0.1_ET_PI
1104,spark_join_huge,BO_3_0.1_GBRT_PI,HC_9_50,5.566759549431619,9.866799764745807e-07,24.0,wilcoxon,BO_3_0.1_GBRT_PI
1105,spark_join_huge,BO_3_0.1_GBRT_PI,HC_9_50,5.043075070650743,2.103103938307726e-06,24.0,t-test,BO_3_0.1_GBRT_PI
1106,spark_join_huge,BO_3_1.96_GP_LCB,HC_9_50,7.410856366116397,9.964397282586526e-09,24.0,wilcoxon,BO_3_1.96_GP_LCB
1107,spark_join_huge,BO_3_1.96_GP_LCB,HC_9_50,6.898766481908026,5.196162719917627e-10,24.0,t-test,BO_3_1.96_GP_LCB
1108,spark_join_huge,BO_3_0.1_RF_PI,HC_9_50,3.2469891613403,0.0022371198804978696,24.0,wilcoxon,BO_3_0.1_RF_PI
1109,spark_join_huge,BO_3_0.1_RF_PI,HC_9_50,3.371458345866554,0.0010712275917518362,24.0,t-test,BO_3_0.1_RF_PI
1110,spark_join_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,4.873930651948179,3.619036916083193e-05,24.0,wilcoxon,BO_3_0.1_GBRT_PI
1111,spark_join_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,3.951545250576616,0.00014654896522738148,24.0,t-test,BO_3_0.1_GBRT_PI
1112,spark_join_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,7.066165372343541,2.03952485201045e-08,24.0,wilcoxon,BO_3_1.96_GP_LCB
1113,spark_join_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,5.931293809240534,4.523238162060593e-08,24.0,t-test,BO_3_1.96_GP_LCB
1114,spark_join_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,2.1715532607689907,0.038306129727446896,24.0,wilcoxon,BO_3_0.1_RF_PI
1115,spark_join_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,2.1715947773666366,0.032299566725603183,24.0,t-test,BO_3_0.1_RF_PI
1116,spark_join_huge,BO_3_0.1_GBRT_PI,TPE_9_0.25,3.7433441923732125,0.004675650601394332,24.0,wilcoxon,BO_3_0.1_GBRT_PI
1117,spark_join_huge,BO_3_0.1_GBRT_PI,TPE_9_0.25,3.120734374998545,0.0023703914000913883,24.0,t-test,BO_3_0.1_GBRT_PI
1118,spark_join_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,6.204437887911402,1.368141342287353e-07,24.0,wilcoxon,BO_3_1.96_GP_LCB
1119,spark_join_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,7.375518398002057,5.3145468293201005e-11,24.0,t-test,BO_3_1.96_GP_LCB
