,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1299,spark_lr_huge,BO_3_1.96_GP_LCB,RANDOM,1.6131538508569645,0.013387468646052256,6.0,wilcoxon,BO_3_1.96_GP_LCB
1300,spark_lr_huge,BO_3_1.96_GP_LCB,RANDOM,1.9938948290848746,0.048942433308659404,6.0,t-test,BO_3_1.96_GP_LCB
1301,spark_lr_huge,BO_3_1.96_GP_LCB,HC_9_50,1.6131538508569645,0.013387468646052256,6.0,wilcoxon,BO_3_1.96_GP_LCB
1302,spark_lr_huge,BO_3_1.96_GP_LCB,HC_9_50,1.9938948290848746,0.048942433308659404,6.0,t-test,BO_3_1.96_GP_LCB
1303,spark_lr_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,1.6131538508569645,0.013387468646052256,6.0,wilcoxon,BO_3_1.96_GP_LCB
1304,spark_lr_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,1.9938948290848746,0.048942433308659404,6.0,t-test,BO_3_1.96_GP_LCB
1305,spark_lr_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,1.6131538508569645,0.013387468646052256,6.0,wilcoxon,BO_3_1.96_GP_LCB
1306,spark_lr_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,1.9938948290848746,0.048942433308659404,6.0,t-test,BO_3_1.96_GP_LCB
1307,spark_lr_huge,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,1.220206117955909,0.018596230722138958,6.0,wilcoxon,BO_3_1.96_GP_LCB
1308,spark_lr_huge,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,2.0976354500771746,0.03851045737326345,6.0,t-test,BO_3_1.96_GP_LCB
1309,spark_lr_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-0.9237718633112532,0.03390861940091764,6.0,wilcoxon,BO_3_1.96_GP_LCB
1310,spark_lr_huge,HC_9_50,RANDOM,-0.9065373136226104,0.016368539230025455,12.0,wilcoxon,RANDOM
1311,spark_lr_huge,SA_9_0.5_50,RANDOM,-0.9065373136226104,0.016368539230025455,12.0,wilcoxon,RANDOM
1312,spark_lr_huge,BO_3_0.1_ET_PI,RANDOM,2.299088928464947,0.03902420754614074,12.0,wilcoxon,BO_3_0.1_ET_PI
1313,spark_lr_huge,BO_3_0.1_ET_PI,RANDOM,2.1484940746653,0.03413867102663735,12.0,t-test,BO_3_0.1_ET_PI
1314,spark_lr_huge,BO_3_0.1_GBRT_PI,RANDOM,3.9915217078896683,9.124410951782638e-06,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1315,spark_lr_huge,BO_3_0.1_GBRT_PI,RANDOM,3.6533007707093765,0.0004180621965945997,12.0,t-test,BO_3_0.1_GBRT_PI
1316,spark_lr_huge,BO_3_1.96_GP_LCB,RANDOM,2.867829068190159,0.001763114443147119,12.0,wilcoxon,BO_3_1.96_GP_LCB
1317,spark_lr_huge,BO_3_1.96_GP_LCB,RANDOM,2.918248496968207,0.004365875972460628,12.0,t-test,BO_3_1.96_GP_LCB
1318,spark_lr_huge,BO_3_0.1_GBRT_PI,LHS,3.5330826861717703,0.0006114888195883671,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1319,spark_lr_huge,BO_3_0.1_GBRT_PI,LHS,2.9739617237829155,0.0037008446060180643,12.0,t-test,BO_3_0.1_GBRT_PI
1320,spark_lr_huge,BO_3_1.96_GP_LCB,LHS,2.3025358384026755,0.019263832762958837,12.0,wilcoxon,BO_3_1.96_GP_LCB
1321,spark_lr_huge,BO_3_1.96_GP_LCB,LHS,2.290237212517549,0.02415114341179855,12.0,t-test,BO_3_1.96_GP_LCB
1322,spark_lr_huge,TPE_9_0.25,HC_9_50,1.071988990633581,0.008754056959274819,12.0,wilcoxon,TPE_9_0.25
1323,spark_lr_huge,BO_3_0.1_ET_PI,HC_9_50,2.967789456384287,0.0024290714894338113,12.0,wilcoxon,BO_3_0.1_ET_PI
1324,spark_lr_huge,BO_3_0.1_ET_PI,HC_9_50,3.1853708753729832,0.0019391703034008462,12.0,t-test,BO_3_0.1_ET_PI
1325,spark_lr_huge,BO_3_0.1_GBRT_PI,HC_9_50,4.391363260666181,4.495116396196932e-07,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1326,spark_lr_huge,BO_3_0.1_GBRT_PI,HC_9_50,4.534412265616898,1.6364642677785723e-05,12.0,t-test,BO_3_0.1_GBRT_PI
1327,spark_lr_huge,BO_3_1.96_GP_LCB,HC_9_50,3.4917197669190276,4.314485193327385e-05,12.0,wilcoxon,BO_3_1.96_GP_LCB
1328,spark_lr_huge,BO_3_1.96_GP_LCB,HC_9_50,3.899352198846772,0.00017672086392927038,12.0,t-test,BO_3_1.96_GP_LCB
1329,spark_lr_huge,BO_3_0.1_RF_PI,HC_9_50,2.3749209470949753,0.0060986957710745275,12.0,wilcoxon,BO_3_0.1_RF_PI
1330,spark_lr_huge,BO_3_0.1_RF_PI,HC_9_50,2.533900841430257,0.01286485532098211,12.0,t-test,BO_3_0.1_RF_PI
1331,spark_lr_huge,TPE_9_0.25,SA_9_0.5_50,1.071988990633581,0.008754056959274819,12.0,wilcoxon,TPE_9_0.25
1332,spark_lr_huge,BO_3_0.1_ET_PI,SA_9_0.5_50,2.967789456384287,0.0024290714894338113,12.0,wilcoxon,BO_3_0.1_ET_PI
1333,spark_lr_huge,BO_3_0.1_ET_PI,SA_9_0.5_50,3.1853708753729832,0.0019391703034008462,12.0,t-test,BO_3_0.1_ET_PI
1334,spark_lr_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,4.391363260666181,4.495116396196932e-07,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1335,spark_lr_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,4.534412265616898,1.6364642677785723e-05,12.0,t-test,BO_3_0.1_GBRT_PI
1336,spark_lr_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,3.4917197669190276,4.314485193327385e-05,12.0,wilcoxon,BO_3_1.96_GP_LCB
1337,spark_lr_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,3.899352198846772,0.00017672086392927038,12.0,t-test,BO_3_1.96_GP_LCB
1338,spark_lr_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,2.3749209470949753,0.0060986957710745275,12.0,wilcoxon,BO_3_0.1_RF_PI
1339,spark_lr_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,2.533900841430257,0.01286485532098211,12.0,t-test,BO_3_0.1_RF_PI
1340,spark_lr_huge,BO_3_0.1_ET_PI,TPE_9_0.25,1.7854993477433923,0.047390602141962834,12.0,wilcoxon,BO_3_0.1_ET_PI
1341,spark_lr_huge,BO_3_0.1_ET_PI,TPE_9_0.25,2.1959441046670807,0.030454958547884707,12.0,t-test,BO_3_0.1_ET_PI
1342,spark_lr_huge,BO_3_0.1_GBRT_PI,TPE_9_0.25,3.464144487417199,2.9153878951890004e-05,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1343,spark_lr_huge,BO_3_0.1_GBRT_PI,TPE_9_0.25,3.4837718833776536,0.0007406805407721675,12.0,t-test,BO_3_0.1_GBRT_PI
1344,spark_lr_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,2.416283866347718,0.0009601182019940565,12.0,wilcoxon,BO_3_1.96_GP_LCB
1345,spark_lr_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,2.8466730517230965,0.005381540092337986,12.0,t-test,BO_3_1.96_GP_LCB
1346,spark_lr_huge,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-2.6299922824868887,0.0014244585254820081,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1347,spark_lr_huge,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-2.107436846393494,0.03763217902921045,12.0,t-test,BO_3_0.1_GBRT_PI
1348,spark_lr_huge,HC_9_50,RANDOM,-1.5648971117287647,0.0009641443342724962,18.0,wilcoxon,RANDOM
1349,spark_lr_huge,HC_9_50,RANDOM,-2.719228370916246,0.007740810711987018,18.0,t-test,RANDOM
1350,spark_lr_huge,SA_9_0.5_50,RANDOM,-1.406339254593251,0.00347457371873817,18.0,wilcoxon,RANDOM
1351,spark_lr_huge,SA_9_0.5_50,RANDOM,-2.5685375709711042,0.011721664992002006,18.0,t-test,RANDOM
1352,spark_lr_huge,BO_3_0.1_ET_PI,RANDOM,2.502456614790932,0.01841862530754448,18.0,wilcoxon,BO_3_0.1_ET_PI
1353,spark_lr_huge,BO_3_0.1_GBRT_PI,RANDOM,5.135895807215549,2.47582821291273e-06,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1354,spark_lr_huge,BO_3_0.1_GBRT_PI,RANDOM,5.596040409579534,1.993677451735712e-07,18.0,t-test,BO_3_0.1_GBRT_PI
1355,spark_lr_huge,BO_3_1.96_GP_LCB,RANDOM,3.9019020495087258,0.00039227213712426663,18.0,wilcoxon,BO_3_1.96_GP_LCB
1356,spark_lr_huge,BO_3_1.96_GP_LCB,RANDOM,3.432891859339905,0.0008763120127482532,18.0,t-test,BO_3_1.96_GP_LCB
1357,spark_lr_huge,HC_9_50,LHS,-1.8923535558129774,0.018279541657069725,18.0,wilcoxon,LHS
1358,spark_lr_huge,HC_9_50,LHS,-2.8534618050879956,0.0052766413071050075,18.0,t-test,LHS
1359,spark_lr_huge,SA_9_0.5_50,LHS,-1.6958796893624497,0.03303113965307566,18.0,wilcoxon,LHS
1360,spark_lr_huge,SA_9_0.5_50,LHS,-2.705266592593383,0.008049691749888144,18.0,t-test,LHS
1361,spark_lr_huge,BO_3_0.1_GBRT_PI,LHS,4.4671952792962095,1.2458303494139293e-05,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1362,spark_lr_huge,BO_3_0.1_GBRT_PI,LHS,5.01645951385466,2.3482587477200004e-06,18.0,t-test,BO_3_0.1_GBRT_PI
1363,spark_lr_huge,BO_3_1.96_GP_LCB,LHS,3.3055866302816854,0.0013421893000500006,18.0,wilcoxon,BO_3_1.96_GP_LCB
1364,spark_lr_huge,BO_3_1.96_GP_LCB,LHS,3.0480103370335114,0.0029612872096014425,18.0,t-test,BO_3_1.96_GP_LCB
1365,spark_lr_huge,TPE_9_0.25,HC_9_50,1.6372822204210642,0.0001597467570297553,18.0,wilcoxon,TPE_9_0.25
1366,spark_lr_huge,TPE_9_0.25,HC_9_50,2.2030793180109263,0.02993212923579962,18.0,t-test,TPE_9_0.25
1367,spark_lr_huge,BO_3_0.1_ET_PI,HC_9_50,3.377971738973985,0.0003602839757710682,18.0,wilcoxon,BO_3_0.1_ET_PI
1368,spark_lr_huge,BO_3_0.1_ET_PI,HC_9_50,3.888485455731332,0.00018370882754919736,18.0,t-test,BO_3_0.1_ET_PI
1369,spark_lr_huge,BO_3_0.1_GBRT_PI,HC_9_50,5.3289227637283485,3.1305136137579964e-07,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1370,spark_lr_huge,BO_3_0.1_GBRT_PI,HC_9_50,5.880794280062768,5.669322115638907e-08,18.0,t-test,BO_3_0.1_GBRT_PI
1371,spark_lr_huge,BO_3_1.96_GP_LCB,HC_9_50,4.446513819669838,8.255221812789709e-07,18.0,wilcoxon,BO_3_1.96_GP_LCB
1372,spark_lr_huge,BO_3_1.96_GP_LCB,HC_9_50,4.852852512976803,4.593369433284414e-06,18.0,t-test,BO_3_1.96_GP_LCB
1373,spark_lr_huge,BO_3_0.1_RF_PI,HC_9_50,2.581735543358689,0.0015565306515550347,18.0,wilcoxon,BO_3_0.1_RF_PI
1374,spark_lr_huge,BO_3_0.1_RF_PI,HC_9_50,3.284477614632464,0.0014176640009212467,18.0,t-test,BO_3_0.1_RF_PI
1375,spark_lr_huge,TPE_9_0.25,SA_9_0.5_50,1.4511490837837222,0.0004813316584224008,18.0,wilcoxon,TPE_9_0.25
1376,spark_lr_huge,TPE_9_0.25,SA_9_0.5_50,2.057780907078567,0.04226625780452779,18.0,t-test,TPE_9_0.25
1377,spark_lr_huge,BO_3_0.1_ET_PI,SA_9_0.5_50,3.1677102327725435,0.0005210052473682578,18.0,wilcoxon,BO_3_0.1_ET_PI
1378,spark_lr_huge,BO_3_0.1_ET_PI,SA_9_0.5_50,3.7492441639015017,0.00030011238743471685,18.0,t-test,BO_3_0.1_ET_PI
1379,spark_lr_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,5.032488509083692,4.2597308946621914e-07,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1380,spark_lr_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,5.75299445137405,1.0002856817429616e-07,18.0,t-test,BO_3_0.1_GBRT_PI
1381,spark_lr_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,4.194889394215653,2.0098411632659007e-06,18.0,wilcoxon,BO_3_1.96_GP_LCB
1382,spark_lr_huge,BO_3_1.96_GP_LCB,SA_9_0.5_50,4.718327423028171,7.90270223486218e-06,18.0,t-test,BO_3_1.96_GP_LCB
1383,spark_lr_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,2.392155496783618,0.0023198596813535583,18.0,wilcoxon,BO_3_0.1_RF_PI
1384,spark_lr_huge,BO_3_0.1_RF_PI,SA_9_0.5_50,3.14168813250839,0.0022216877126341795,18.0,t-test,BO_3_0.1_RF_PI
1385,spark_lr_huge,BO_3_0.1_ET_PI,TPE_9_0.25,2.161212530955805,0.036365532229528715,18.0,wilcoxon,BO_3_0.1_ET_PI
1386,spark_lr_huge,BO_3_0.1_ET_PI,TPE_9_0.25,2.020976230123143,0.04600988720499341,18.0,t-test,BO_3_0.1_ET_PI
1387,spark_lr_huge,BO_3_0.1_GBRT_PI,TPE_9_0.25,4.605071676805351,4.309650769361609e-06,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1388,spark_lr_huge,BO_3_0.1_GBRT_PI,TPE_9_0.25,4.764160172746237,6.575081725670159e-06,18.0,t-test,BO_3_0.1_GBRT_PI
1389,spark_lr_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,3.488272856981299,0.0002707038651698648,18.0,wilcoxon,BO_3_1.96_GP_LCB
1390,spark_lr_huge,BO_3_1.96_GP_LCB,TPE_9_0.25,3.274791927429354,0.0014621508593712917,18.0,t-test,BO_3_1.96_GP_LCB
1391,spark_lr_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.743740310431931,0.0021224851862397575,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1392,spark_lr_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.96433532729599,0.0038086231484682747,18.0,t-test,BO_3_0.1_GBRT_PI
1393,spark_lr_huge,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-4.0018624377028535,4.230955804707391e-05,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1394,spark_lr_huge,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-3.8266500397266965,0.00022877054485869326,18.0,t-test,BO_3_0.1_GBRT_PI
1395,spark_lr_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-2.681695931552817,0.0016912273776985174,18.0,wilcoxon,BO_3_1.96_GP_LCB
1396,spark_lr_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-2.143263732803907,0.03456747165069246,18.0,t-test,BO_3_1.96_GP_LCB
1397,spark_lr_huge,HC_9_50,RANDOM,-2.6610144719264457,5.546306984112676e-05,24.0,wilcoxon,RANDOM
1398,spark_lr_huge,HC_9_50,RANDOM,-4.15407546828746,6.984845272217142e-05,24.0,t-test,RANDOM
1399,spark_lr_huge,BO_3_0.1_GBRT_PI,RANDOM,4.839461552570893,3.352578025422976e-06,24.0,wilcoxon,BO_3_0.1_GBRT_PI
1400,spark_lr_huge,BO_3_0.1_GBRT_PI,RANDOM,5.661472715653795,1.4970622830139654e-07,24.0,t-test,BO_3_0.1_GBRT_PI
