,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1751,spark_pagerank_bigdata,BO_3_0.1_RF_PI,RANDOM,-1.0168384316299242,0.04746943502928874,6.0,wilcoxon,RANDOM
1752,spark_pagerank_bigdata,BO_3_0.1_RF_PI,HC_9_50,-1.0168384316299242,0.04746943502928874,6.0,wilcoxon,HC_9_50
1753,spark_pagerank_bigdata,BO_3_0.1_RF_PI,SA_9_0.5_50,-1.0168384316299242,0.04746943502928874,6.0,wilcoxon,SA_9_0.5_50
1754,spark_pagerank_bigdata,BO_3_0.1_RF_PI,TPE_9_0.25,-1.0168384316299242,0.04746943502928874,6.0,wilcoxon,TPE_9_0.25
1755,spark_pagerank_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-1.561450201791036,0.04441310526745917,6.0,wilcoxon,BO_3_0.1_GBRT_PI
1756,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.0474645030107625,0.0023568315348927306,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1757,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.338849533342502,0.02137402233746659,12.0,t-test,BO_3_0.1_GBRT_PI
1758,spark_pagerank_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-2.65067374211326,0.002146845809152416,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1759,spark_pagerank_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-2.6374861051822878,0.009714397950648488,12.0,t-test,BO_3_0.1_GBRT_PI
1760,spark_pagerank_bigdata,LHS,RANDOM,-2.354239487468604,0.024022719170795376,18.0,wilcoxon,RANDOM
1761,spark_pagerank_bigdata,LHS,RANDOM,-2.275864023672077,0.025030934386619186,18.0,t-test,RANDOM
1762,spark_pagerank_bigdata,HC_9_50,RANDOM,-1.609706940919236,0.03766831925466315,18.0,wilcoxon,RANDOM
1763,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,RANDOM,-1.9957608539448342,0.0025014906403011674,18.0,wilcoxon,BO_3_1.96_GP_LCB
1764,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,RANDOM,-2.580842399305403,0.011338108851475336,18.0,t-test,RANDOM
1765,spark_pagerank_bigdata,BO_3_0.1_RF_PI,RANDOM,-2.7092712110546455,0.0010026532883823,18.0,wilcoxon,RANDOM
1766,spark_pagerank_bigdata,BO_3_0.1_RF_PI,RANDOM,-3.309257058119971,0.0013095503124415221,18.0,t-test,RANDOM
1767,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.012995403633477,0.008820698707154934,18.0,wilcoxon,BO_3_1.96_GP_LCB
1768,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.2982145638594678,0.023674686809330856,18.0,t-test,BO_3_0.1_GBRT_PI
