,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1653,spark_pagerank_huge,BO_3_0.1_GBRT_PI,RANDOM,1.678645139673807,0.04509817826525928,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1654,spark_pagerank_huge,BO_3_0.1_GBRT_PI,RANDOM,2.009107279921947,0.04727610802007606,12.0,t-test,BO_3_0.1_GBRT_PI
1655,spark_pagerank_huge,TPE_9_0.25,HC_9_50,1.220206117955909,0.035748470275218845,12.0,wilcoxon,TPE_9_0.25
1656,spark_pagerank_huge,BO_3_0.1_GBRT_PI,HC_9_50,2.068145962637134,0.007027716305846608,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1657,spark_pagerank_huge,BO_3_0.1_GBRT_PI,HC_9_50,2.8076920109780876,0.006021766420655182,12.0,t-test,BO_3_0.1_GBRT_PI
1658,spark_pagerank_huge,TPE_9_0.25,SA_9_0.5_50,1.1616086490145234,0.03806260703244497,12.0,wilcoxon,TPE_9_0.25
1659,spark_pagerank_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,1.988867034069377,0.008344546703017295,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1660,spark_pagerank_huge,BO_3_0.1_GBRT_PI,SA_9_0.5_50,2.760846956532526,0.006882973677746041,12.0,t-test,BO_3_0.1_GBRT_PI
1661,spark_pagerank_huge,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,1.8406499067470492,0.019186500616211147,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1662,spark_pagerank_huge,HC_9_50,RANDOM,-2.1646594408935336,0.0047322982714050185,18.0,wilcoxon,RANDOM
1663,spark_pagerank_huge,HC_9_50,RANDOM,-2.50767678166171,0.013795975346380803,18.0,t-test,RANDOM
1664,spark_pagerank_huge,SA_9_0.5_50,RANDOM,-2.0957212421389624,0.005741709213833945,18.0,wilcoxon,RANDOM
1665,spark_pagerank_huge,SA_9_0.5_50,RANDOM,-2.457651443102761,0.01574125340253685,18.0,t-test,RANDOM
1666,spark_pagerank_huge,HC_9_50,LHS,-2.2473852793990186,0.006329429738945203,18.0,wilcoxon,LHS
1667,spark_pagerank_huge,HC_9_50,LHS,-2.7753485410676726,0.006605063329136185,18.0,t-test,LHS
1668,spark_pagerank_huge,SA_9_0.5_50,LHS,-2.1577656210180765,0.007243274089642193,18.0,wilcoxon,LHS
1669,spark_pagerank_huge,SA_9_0.5_50,LHS,-2.7258185175676064,0.007598794616923437,18.0,t-test,LHS
1670,spark_pagerank_huge,TPE_9_0.25,HC_9_50,1.4304676241573508,0.02944771221270799,18.0,wilcoxon,TPE_9_0.25
1671,spark_pagerank_huge,BO_3_0.1_ET_PI,HC_9_50,1.4580429036591793,0.02653164872905304,18.0,wilcoxon,BO_3_0.1_ET_PI
1672,spark_pagerank_huge,BO_3_0.1_ET_PI,HC_9_50,2.039390185526688,0.04410285790873333,18.0,t-test,BO_3_0.1_ET_PI
1673,spark_pagerank_huge,BO_3_0.1_GBRT_PI,HC_9_50,3.1125596737688865,0.0012490220804857923,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1674,spark_pagerank_huge,BO_3_0.1_GBRT_PI,HC_9_50,3.7998650544926913,0.0002514003916910551,18.0,t-test,BO_3_0.1_GBRT_PI
1675,spark_pagerank_huge,BO_3_1.96_GP_LCB,HC_9_50,3.071196754516144,0.0004192078494900284,18.0,wilcoxon,BO_3_1.96_GP_LCB
1676,spark_pagerank_huge,BO_3_1.96_GP_LCB,HC_9_50,3.8459458274485185,0.00021368550283190304,18.0,t-test,BO_3_1.96_GP_LCB
