,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
0,hadoop_pagerank_huge,BO_3_0.1_ET_PI,LHS,-1.8751190061243346,0.04718263293104603,6.0,wilcoxon,LHS
1,hadoop_pagerank_huge,BO_3_0.05_GBRT_PI,RANDOM,1.5338749222892076,0.008311864176227826,12.0,wilcoxon,BO_3_0.05_GBRT_PI
2,hadoop_pagerank_huge,BO_3_0.05_GBRT_PI,RANDOM,2.5460190667549707,0.012453970856502513,12.0,t-test,BO_3_0.05_GBRT_PI
3,hadoop_pagerank_huge,TPE_9_0.1,HC_9_500,-1.2477813974577374,0.03623416141299667,12.0,wilcoxon,HC_9_500
4,hadoop_pagerank_huge,TPE_9_0.1,SA_9_0.9_50,-1.368423245278237,0.03623416141299667,12.0,wilcoxon,SA_9_0.9_50
5,hadoop_pagerank_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,1.6407291303587928,0.00495279554286577,12.0,wilcoxon,BO_3_0.05_GBRT_PI
6,hadoop_pagerank_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.7875361912852403,0.006379462412150316,12.0,t-test,BO_3_0.05_GBRT_PI
7,hadoop_pagerank_huge,BO_6_1.5_GP_LCB,TPE_9_0.1,1.5993662111060503,0.023150070084241397,12.0,wilcoxon,BO_6_1.5_GP_LCB
8,hadoop_pagerank_huge,BO_3_0.2_RF_PI,TPE_9_0.1,2.0589028426366816,0.042156372858958874,12.0,t-test,BO_3_0.2_RF_PI
9,hadoop_pagerank_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.123296521640791,0.0041033735137837625,12.0,wilcoxon,BO_3_0.05_GBRT_PI
10,hadoop_pagerank_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.7703284294275425,0.006700088590499555,12.0,t-test,BO_3_0.05_GBRT_PI
11,hadoop_pagerank_huge,BO_6_1.5_GP_LCB,BO_3_0.1_ET_PI,1.8061808073697636,0.039357080330313945,12.0,wilcoxon,BO_6_1.5_GP_LCB
12,hadoop_pagerank_huge,BO_3_0.2_RF_PI,BO_3_0.1_ET_PI,1.764817888117021,0.024550672949325798,12.0,wilcoxon,BO_3_0.2_RF_PI
13,hadoop_pagerank_huge,SA_9_0.9_50,RANDOM,3.2056262420875576,0.005000433229656935,18.0,wilcoxon,SA_9_0.9_50
14,hadoop_pagerank_huge,SA_9_0.9_50,RANDOM,2.3744424286390426,0.019523611611242338,18.0,t-test,SA_9_0.9_50
15,hadoop_pagerank_huge,BO_3_0.05_GBRT_PI,RANDOM,1.9785263042561914,0.0027169483704510967,18.0,wilcoxon,BO_3_0.05_GBRT_PI
16,hadoop_pagerank_huge,BO_3_0.05_GBRT_PI,RANDOM,3.5762399709713253,0.000543382874612126,18.0,t-test,BO_3_0.05_GBRT_PI
17,hadoop_pagerank_huge,BO_3_0.2_RF_PI,RANDOM,2.1557188576565767,0.033553955715985975,18.0,t-test,BO_3_0.2_RF_PI
18,hadoop_pagerank_huge,SA_9_0.9_50,LHS,2.7471872203696592,0.014128583434946532,18.0,wilcoxon,SA_9_0.9_50
19,hadoop_pagerank_huge,SA_9_0.9_50,LHS,2.2136271706973463,0.029173594146503033,18.0,t-test,SA_9_0.9_50
20,hadoop_pagerank_huge,BO_3_0.05_GBRT_PI,LHS,1.171949378827709,0.003100417420761697,18.0,wilcoxon,LHS
21,hadoop_pagerank_huge,BO_3_0.05_GBRT_PI,LHS,3.348396487919614,0.0011543930521823302,18.0,t-test,LHS
22,hadoop_pagerank_huge,BO_3_0.2_RF_PI,LHS,0.7514263664248253,0.04909929410958002,18.0,wilcoxon,LHS
23,hadoop_pagerank_huge,SA_9_0.9_50,HC_9_500,0.9306656831867103,0.021534772136479172,18.0,wilcoxon,SA_9_0.9_50
24,hadoop_pagerank_huge,BO_3_0.05_GBRT_PI,HC_9_500,2.1495574594969082,0.03405205811788622,18.0,t-test,HC_9_500
25,hadoop_pagerank_huge,TPE_9_0.1,SA_9_0.9_50,-3.4538037576040135,0.011500247423898175,18.0,wilcoxon,SA_9_0.9_50
26,hadoop_pagerank_huge,TPE_9_0.1,SA_9_0.9_50,-2.4340818681812304,0.016739957812262556,18.0,t-test,SA_9_0.9_50
