,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
339,hadoop_terasort_bigdata,BO_3_0.05_GBRT_PI,RANDOM,1.3408479657764085,0.031065640149755352,6.0,wilcoxon,BO_3_0.05_GBRT_PI
340,hadoop_terasort_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,1.3408479657764085,0.031065640149755352,6.0,wilcoxon,BO_3_0.05_GBRT_PI
341,hadoop_terasort_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,1.3408479657764085,0.031065640149755352,6.0,wilcoxon,BO_3_0.05_GBRT_PI
342,hadoop_terasort_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,1.3408479657764085,0.031065640149755352,6.0,wilcoxon,BO_3_0.05_GBRT_PI
343,hadoop_terasort_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.092274332201234,0.014830009485965506,6.0,wilcoxon,BO_3_0.05_GBRT_PI
344,hadoop_terasort_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.137101469721685,0.035078661407633674,6.0,t-test,BO_3_0.05_GBRT_PI
345,hadoop_terasort_bigdata,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-1.3408479657764085,0.031065640149755352,6.0,wilcoxon,BO_3_0.05_GBRT_PI
346,hadoop_terasort_bigdata,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-1.9130350154393487,0.020497087788454025,6.0,wilcoxon,BO_3_0.05_GBRT_PI
347,hadoop_terasort_bigdata,BO_6_1.5_GP_LCB,TPE_9_0.1,1.4718305434100936,0.04829691533214571,12.0,wilcoxon,BO_6_1.5_GP_LCB
348,hadoop_terasort_bigdata,BO_6_1.5_GP_LCB,RANDOM,1.7234549688642782,0.019087729018795397,18.0,wilcoxon,BO_6_1.5_GP_LCB
349,hadoop_terasort_bigdata,BO_6_1.5_GP_LCB,RANDOM,1.9901061015678074,0.04936514090713767,18.0,t-test,BO_6_1.5_GP_LCB
350,hadoop_terasort_bigdata,BO_3_0.2_RF_PI,RANDOM,1.2167592080181804,0.026913636995584266,18.0,wilcoxon,BO_3_0.2_RF_PI
351,hadoop_terasort_bigdata,BO_3_0.2_RF_PI,RANDOM,2.1617291183138874,0.03307418090472463,18.0,t-test,BO_3_0.2_RF_PI
352,hadoop_terasort_bigdata,BO_3_0.2_RF_PI,HC_9_500,2.124858090591607,0.03611377733553417,18.0,t-test,BO_3_0.2_RF_PI
353,hadoop_terasort_bigdata,BO_6_1.5_GP_LCB,TPE_9_0.1,2.3025358384026755,0.018184186203546605,18.0,wilcoxon,BO_6_1.5_GP_LCB
354,hadoop_terasort_bigdata,BO_6_1.5_GP_LCB,TPE_9_0.1,2.3695696861776874,0.019768241911326954,18.0,t-test,BO_6_1.5_GP_LCB
355,hadoop_terasort_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,2.061252142761677,0.02082168909062094,18.0,wilcoxon,BO_3_0.2_RF_PI
356,hadoop_terasort_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,2.586756021075535,0.011157830492173625,18.0,t-test,BO_3_0.2_RF_PI
357,hadoop_terasort_bigdata,SA_9_0.9_50,RANDOM,3.302139720343957,0.002676631681539901,24.0,wilcoxon,SA_9_0.9_50
358,hadoop_terasort_bigdata,SA_9_0.9_50,RANDOM,2.7595736791475276,0.006907877341263571,24.0,t-test,SA_9_0.9_50
359,hadoop_terasort_bigdata,BO_6_1.5_GP_LCB,RANDOM,2.378367857032704,0.005547099611345725,24.0,wilcoxon,BO_6_1.5_GP_LCB
360,hadoop_terasort_bigdata,BO_6_1.5_GP_LCB,RANDOM,2.7409688700296506,0.007281258515934996,24.0,t-test,BO_6_1.5_GP_LCB
361,hadoop_terasort_bigdata,BO_3_0.2_RF_PI,RANDOM,0.613549968915683,0.03053278915670683,24.0,wilcoxon,BO_3_0.2_RF_PI
362,hadoop_terasort_bigdata,BO_3_0.2_RF_PI,RANDOM,2.2856982046292798,0.024425991772810577,24.0,t-test,BO_3_0.2_RF_PI
363,hadoop_terasort_bigdata,TPE_9_0.1,LHS,-2.571394813545503,0.02236621368787403,24.0,wilcoxon,LHS
364,hadoop_terasort_bigdata,TPE_9_0.1,LHS,-2.545952190120632,0.012456205639742184,24.0,t-test,LHS
365,hadoop_terasort_bigdata,TPE_9_0.1,HC_9_500,-2.898851257629716,0.03374004435909317,24.0,wilcoxon,HC_9_500
366,hadoop_terasort_bigdata,TPE_9_0.1,HC_9_500,-2.049628344374875,0.04307215199283419,24.0,t-test,HC_9_500
367,hadoop_terasort_bigdata,TPE_9_0.1,SA_9_0.9_50,-3.946711878699197,0.0006198108092624162,24.0,wilcoxon,SA_9_0.9_50
368,hadoop_terasort_bigdata,TPE_9_0.1,SA_9_0.9_50,-3.6943913071108625,0.0003629796742107958,24.0,t-test,SA_9_0.9_50
369,hadoop_terasort_bigdata,BO_3_0.1_ET_PI,SA_9_0.9_50,-2.7471872203696592,0.014953442977344265,24.0,wilcoxon,SA_9_0.9_50
370,hadoop_terasort_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,-2.075039782512591,0.025303157255438025,24.0,wilcoxon,SA_9_0.9_50
371,hadoop_terasort_bigdata,BO_3_0.1_ET_PI,TPE_9_0.1,2.323217298029047,0.0014983563025944523,24.0,wilcoxon,BO_3_0.1_ET_PI
372,hadoop_terasort_bigdata,BO_3_0.1_ET_PI,TPE_9_0.1,2.842318556157785,0.005449827930557967,24.0,t-test,BO_3_0.1_ET_PI
373,hadoop_terasort_bigdata,BO_6_1.5_GP_LCB,TPE_9_0.1,3.4848259470435705,0.0007366018746709027,24.0,wilcoxon,BO_6_1.5_GP_LCB
374,hadoop_terasort_bigdata,BO_6_1.5_GP_LCB,TPE_9_0.1,3.75084017498279,0.00029844815704931587,24.0,t-test,BO_6_1.5_GP_LCB
375,hadoop_terasort_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,2.2853012887140327,0.002706930028684065,24.0,wilcoxon,BO_3_0.2_RF_PI
376,hadoop_terasort_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,3.3145265269121733,0.0012875782561130391,24.0,t-test,BO_3_0.2_RF_PI
377,hadoop_terasort_bigdata,SA_9_0.9_50,RANDOM,3.2297546116516576,0.03528687140776848,30.0,wilcoxon,SA_9_0.9_50
378,hadoop_terasort_bigdata,TPE_9_0.1,RANDOM,-2.330111117904504,0.015332505017224204,30.0,wilcoxon,RANDOM
379,hadoop_terasort_bigdata,TPE_9_0.1,RANDOM,-2.5187099672230406,0.013397102305401337,30.0,t-test,RANDOM
