,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
203,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.130190341516248,0.03052276249412081,6.0,wilcoxon,BO_3_0.05_GBRT_PI
204,hadoop_terasort_huge,LHS,RANDOM,2.0335258842309534,0.04470270302287954,12.0,t-test,LHS
205,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,RANDOM,3.178050962585729,0.0007481519363562857,12.0,wilcoxon,BO_3_0.05_GBRT_PI
206,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,RANDOM,3.5144104387624804,0.0006688272242460189,12.0,t-test,BO_3_0.05_GBRT_PI
207,hadoop_terasort_huge,BO_6_1.5_GP_LCB,RANDOM,1.6062600309815074,0.017106764014059733,12.0,wilcoxon,BO_6_1.5_GP_LCB
208,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,LHS,2.9402141768824586,0.009855748641489206,12.0,wilcoxon,BO_3_0.05_GBRT_PI
209,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,LHS,2.8455148510524553,0.005399626177950897,12.0,t-test,BO_3_0.05_GBRT_PI
210,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,HC_9_500,2.991917825948387,0.0018076321890303313,12.0,wilcoxon,BO_3_0.05_GBRT_PI
211,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,HC_9_500,3.31062634429749,0.0013038072719134908,12.0,t-test,BO_3_0.05_GBRT_PI
212,hadoop_terasort_huge,BO_6_1.5_GP_LCB,HC_9_500,1.5269811024137505,0.02003571154333989,12.0,wilcoxon,BO_6_1.5_GP_LCB
213,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,3.0505152948897725,0.0015055284656148307,12.0,wilcoxon,BO_3_0.05_GBRT_PI
214,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,3.4917081426911447,0.0007213999770402966,12.0,t-test,BO_3_0.05_GBRT_PI
215,hadoop_terasort_huge,BO_6_1.5_GP_LCB,SA_9_0.9_50,1.5959193011683217,0.015531966032675619,12.0,wilcoxon,BO_6_1.5_GP_LCB
216,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.874722888065616,0.005568568929234458,12.0,wilcoxon,BO_3_0.05_GBRT_PI
217,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.9468827072052948,0.004011440733504229,12.0,t-test,BO_3_0.05_GBRT_PI
218,hadoop_terasort_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.7402934004942026,0.0008480745933418233,12.0,wilcoxon,BO_3_0.05_GBRT_PI
