,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
499,hadoop_wordcount_bigdata,BO_3_0.05_GBRT_PI,RANDOM,2.0543583228862197,0.003022205374908749,6.0,wilcoxon,BO_3_0.05_GBRT_PI
500,hadoop_wordcount_bigdata,BO_3_0.05_GBRT_PI,RANDOM,2.327812756828069,0.021978487696228354,6.0,t-test,BO_3_0.05_GBRT_PI
501,hadoop_wordcount_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,2.0543583228862197,0.003022205374908749,6.0,wilcoxon,BO_3_0.05_GBRT_PI
502,hadoop_wordcount_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,2.327812756828069,0.021978487696228354,6.0,t-test,BO_3_0.05_GBRT_PI
503,hadoop_wordcount_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.0543583228862197,0.003022205374908749,6.0,wilcoxon,BO_3_0.05_GBRT_PI
504,hadoop_wordcount_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.327812756828069,0.021978487696228354,6.0,t-test,BO_3_0.05_GBRT_PI
505,hadoop_wordcount_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.0543583228862197,0.003022205374908749,6.0,wilcoxon,BO_3_0.05_GBRT_PI
506,hadoop_wordcount_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.327812756828069,0.021978487696228354,6.0,t-test,BO_3_0.05_GBRT_PI
507,hadoop_wordcount_bigdata,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.0543583228862197,0.003022205374908749,6.0,wilcoxon,BO_3_0.05_GBRT_PI
508,hadoop_wordcount_bigdata,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.327812756828069,0.021978487696228354,6.0,t-test,BO_3_0.05_GBRT_PI
509,hadoop_wordcount_bigdata,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-2.4576467856004607,0.00568525995323772,6.0,wilcoxon,BO_3_0.05_GBRT_PI
510,hadoop_wordcount_bigdata,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-2.5414719775960513,0.012606742365314519,6.0,t-test,BO_3_0.05_GBRT_PI
511,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,RANDOM,2.612757732798246,0.005924416376002648,12.0,wilcoxon,BO_3_0.1_ET_PI
512,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,RANDOM,2.8924498516615462,0.004709667089189079,12.0,t-test,BO_3_0.1_ET_PI
