,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
402,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,RANDOM,2.93676726694473,0.009284671624552614,6.0,wilcoxon,BO_3_0.05_GBRT_PI
403,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,RANDOM,2.066082708842209,0.041458955085501584,6.0,t-test,BO_3_0.05_GBRT_PI
404,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,HC_9_500,2.93676726694473,0.009284671624552614,6.0,wilcoxon,BO_3_0.05_GBRT_PI
405,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,HC_9_500,2.066082708842209,0.041458955085501584,6.0,t-test,BO_3_0.05_GBRT_PI
406,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.93676726694473,0.009284671624552614,6.0,wilcoxon,BO_3_0.05_GBRT_PI
407,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.066082708842209,0.041458955085501584,6.0,t-test,BO_3_0.05_GBRT_PI
408,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.93676726694473,0.009284671624552614,6.0,wilcoxon,BO_3_0.05_GBRT_PI
409,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.066082708842209,0.041458955085501584,6.0,t-test,BO_3_0.05_GBRT_PI
410,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.867829068190159,0.01868335480626704,6.0,wilcoxon,BO_3_0.05_GBRT_PI
411,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.2330214979690286,0.027822627862978334,6.0,t-test,BO_3_0.05_GBRT_PI
412,hadoop_wordcount_huge,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.93676726694473,0.009284671624552614,6.0,wilcoxon,BO_3_0.05_GBRT_PI
413,hadoop_wordcount_huge,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.066082708842209,0.041458955085501584,6.0,t-test,BO_3_0.05_GBRT_PI
414,hadoop_wordcount_huge,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-3.091878214142515,0.015156698135317415,6.0,wilcoxon,BO_3_0.05_GBRT_PI
415,hadoop_wordcount_huge,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-2.239783061107819,0.02736467743983886,6.0,t-test,BO_3_0.05_GBRT_PI
416,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,LHS,3.62959616442817,0.0032974437251701415,12.0,wilcoxon,BO_3_0.05_GBRT_PI
417,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,LHS,2.4225895499790786,0.01724710135159049,12.0,t-test,BO_3_0.05_GBRT_PI
418,hadoop_wordcount_huge,BO_3_0.2_RF_PI,LHS,3.060856024702958,0.022043055765778134,12.0,wilcoxon,BO_3_0.2_RF_PI
419,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,HC_9_500,2.771315589933759,0.030785162371793007,12.0,wilcoxon,BO_3_0.05_GBRT_PI
420,hadoop_wordcount_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.5851824532964174,0.035532719615898545,12.0,wilcoxon,BO_3_0.05_GBRT_PI
