,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1475,spark1.5_kmeans_bigdata,BO_3_0.2_RF_PI,RANDOM,3.7881540215636833,0.0019518335600515442,18.0,wilcoxon,BO_3_0.2_RF_PI
1476,spark1.5_kmeans_bigdata,HC_9_500,LHS,-1.9923139440071056,0.015685471773974655,18.0,wilcoxon,LHS
1477,spark1.5_kmeans_bigdata,SA_9_0.9_50,LHS,-1.764817888117021,0.019301514259100306,18.0,wilcoxon,LHS
1478,spark1.5_kmeans_bigdata,BO_3_0.2_RF_PI,LHS,3.2125200619630148,0.02439719060490569,18.0,wilcoxon,BO_3_0.2_RF_PI
1479,spark1.5_kmeans_bigdata,BO_6_1.5_GP_LCB,HC_9_500,2.416283866347718,0.019108497079941923,18.0,wilcoxon,BO_6_1.5_GP_LCB
1480,spark1.5_kmeans_bigdata,BO_3_0.2_RF_PI,HC_9_500,4.1156104656478965,0.0016050510430006403,18.0,wilcoxon,BO_3_0.2_RF_PI
1481,spark1.5_kmeans_bigdata,BO_3_0.2_RF_PI,HC_9_500,2.529732705223786,0.013008971534861363,18.0,t-test,BO_3_0.2_RF_PI
1482,spark1.5_kmeans_bigdata,BO_6_1.5_GP_LCB,SA_9_0.9_50,2.137084161391705,0.012137953758661732,18.0,wilcoxon,BO_6_1.5_GP_LCB
1483,spark1.5_kmeans_bigdata,BO_3_0.2_RF_PI,SA_9_0.9_50,3.836410760691883,0.001742718503844902,18.0,wilcoxon,BO_3_0.2_RF_PI
1484,spark1.5_kmeans_bigdata,BO_3_0.2_RF_PI,SA_9_0.9_50,2.51329421311195,0.013591581779707115,18.0,t-test,BO_3_0.2_RF_PI
1485,spark1.5_kmeans_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,3.0125992855747583,0.008358808096827071,18.0,wilcoxon,BO_3_0.2_RF_PI
1486,spark1.5_kmeans_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_ET_PI,1.5752378415419503,0.02910964132700957,18.0,wilcoxon,BO_3_0.2_RF_PI
