,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1623,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,RANDOM,2.112955791827605,0.017295148057755363,6.0,wilcoxon,BO_3_0.05_GBRT_PI
1624,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,RANDOM,2.493281923199592,0.014332375516723079,6.0,t-test,BO_3_0.05_GBRT_PI
1625,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,2.112955791827605,0.017295148057755363,6.0,wilcoxon,BO_3_0.05_GBRT_PI
1626,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,2.493281923199592,0.014332375516723079,6.0,t-test,BO_3_0.05_GBRT_PI
1627,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.112955791827605,0.017295148057755363,6.0,wilcoxon,BO_3_0.05_GBRT_PI
1628,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.493281923199592,0.014332375516723079,6.0,t-test,BO_3_0.05_GBRT_PI
1629,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.112955791827605,0.017295148057755363,6.0,wilcoxon,BO_3_0.05_GBRT_PI
1630,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.493281923199592,0.014332375516723079,6.0,t-test,BO_3_0.05_GBRT_PI
1631,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.5920762731718745,0.003768377871915425,6.0,wilcoxon,BO_3_0.05_GBRT_PI
1632,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,3.068721470998893,0.002780419968395207,6.0,t-test,BO_3_0.05_GBRT_PI
1633,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.112955791827605,0.017295148057755363,6.0,wilcoxon,BO_3_0.05_GBRT_PI
1634,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.493281923199592,0.014332375516723079,6.0,t-test,BO_3_0.05_GBRT_PI
1635,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-2.281854378776304,0.003722586465580325,6.0,wilcoxon,BO_3_0.05_GBRT_PI
1636,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-2.9295283501826064,0.004222946285001392,6.0,t-test,BO_3_0.05_GBRT_PI
1637,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,RANDOM,4.394810170603909,2.8750395945247334e-05,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1638,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,RANDOM,4.109272070607053,8.24525031359811e-05,12.0,t-test,BO_3_0.05_GBRT_PI
1639,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,LHS,4.877377561885908,2.759495110343386e-05,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1640,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,LHS,5.260891518892159,8.435379684118661e-07,12.0,t-test,BO_3_0.05_GBRT_PI
1641,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,3.340055729658971,0.001582306474175454,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1642,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,3.199409193731448,0.0018557379956996314,12.0,t-test,BO_3_0.05_GBRT_PI
1643,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,3.202179332149829,0.001836381839272321,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1644,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,3.190548452413627,0.0019080001339288432,12.0,t-test,BO_3_0.05_GBRT_PI
1645,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,3.6950874532450126,0.0002462675189406154,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1646,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,3.9375646972673626,0.00015410897561645272,12.0,t-test,BO_3_0.05_GBRT_PI
1647,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,3.253882981215757,0.00040015533012370167,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1648,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,3.7408537939658406,0.00030900750726214893,12.0,t-test,BO_3_0.05_GBRT_PI
1649,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-3.3193742700325997,0.00014458645087557883,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1650,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.4969667881525983,0.014193315174315938,12.0,t-test,BO_3_0.05_GBRT_PI
1651,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-2.305982748340404,0.0041332620757601945,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1652,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-2.869756601722601,0.0050324644340936486,12.0,t-test,BO_3_0.05_GBRT_PI
1653,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,RANDOM,3.5537641457981417,2.2018624905445093e-05,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1654,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,RANDOM,4.481368832204542,2.01254054974759e-05,18.0,t-test,BO_3_0.05_GBRT_PI
1655,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,RANDOM,3.419334658226728,0.0018773475455218333,18.0,wilcoxon,BO_3_0.2_RF_PI
1656,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,RANDOM,3.3823987073283885,0.0010337734937832161,18.0,t-test,BO_3_0.2_RF_PI
1657,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,LHS,4.698138245124023,9.765582015151394e-05,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1658,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,LHS,5.495112957826193,3.092037220345057e-07,18.0,t-test,BO_3_0.05_GBRT_PI
1659,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,LHS,2.6644613818641742,0.00891243809594896,18.0,wilcoxon,BO_6_1.5_GP_LCB
1660,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,LHS,2.2061691990596373,0.02970816140409796,18.0,t-test,BO_6_1.5_GP_LCB
1661,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,LHS,4.474089099171667,2.3156183698199986e-05,18.0,wilcoxon,BO_3_0.2_RF_PI
1662,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,LHS,4.520884582452241,1.7253446890861833e-05,18.0,t-test,BO_3_0.2_RF_PI
1663,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,3.071196754516144,0.0004886303800985391,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1664,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,3.286447213808223,0.0014087739431941277,18.0,t-test,BO_3_0.05_GBRT_PI
1665,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,HC_9_500,1.0064977018167385,0.04910103663266281,18.0,wilcoxon,BO_6_1.5_GP_LCB
1666,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,HC_9_500,3.0194931054502154,0.00030850027590793427,18.0,wilcoxon,BO_3_0.2_RF_PI
1667,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,HC_9_500,2.757931449597239,0.006940118584968004,18.0,t-test,BO_3_0.2_RF_PI
1668,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.464540605475918,0.003914190487680452,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1669,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.8161454038698372,0.005877284369677122,18.0,t-test,BO_3_0.05_GBRT_PI
1670,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,SA_9_0.9_50,2.423177686223175,0.004804367474160045,18.0,wilcoxon,BO_3_0.2_RF_PI
1671,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,SA_9_0.9_50,2.288042422411404,0.024283701713059103,18.0,t-test,BO_3_0.2_RF_PI
1672,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,3.5089543166076704,7.711862151872795e-05,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1673,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,3.983241230079811,0.00013070045960329377,18.0,t-test,BO_3_0.05_GBRT_PI
1674,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,3.3745248290362566,0.00035616803726997326,18.0,wilcoxon,BO_3_0.2_RF_PI
1675,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,3.1967730749159036,0.0018711450421864777,18.0,t-test,BO_3_0.2_RF_PI
1676,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.8471476085637875,0.00046695656796768,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1677,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,4.268319125537095,4.553073116075078e-05,18.0,t-test,BO_3_0.05_GBRT_PI
1678,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_ET_PI,2.719611940867831,0.00031067595303225533,18.0,wilcoxon,BO_3_0.2_RF_PI
1679,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_ET_PI,3.2596626907622595,0.0015342617135875453,18.0,t-test,BO_3_0.2_RF_PI
1680,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.516244254541846,0.009795098458764091,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1681,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.2555507565532222,0.0263223267901222,18.0,t-test,BO_3_0.05_GBRT_PI
1682,spark1.5_naive-bayes_bigdata,SA_9_0.9_50,RANDOM,2.6472268321755315,0.0268112956012486,24.0,wilcoxon,SA_9_0.9_50
1683,spark1.5_naive-bayes_bigdata,SA_9_0.9_50,RANDOM,2.231718221347476,0.027911663992308072,24.0,t-test,SA_9_0.9_50
1684,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,RANDOM,3.8812205898823544,1.0674231499510884e-05,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1685,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,RANDOM,5.358419424757679,5.568505120640377e-07,24.0,t-test,BO_3_0.05_GBRT_PI
1686,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,RANDOM,2.0646990526994053,0.010951266429794933,24.0,wilcoxon,BO_6_1.5_GP_LCB
1687,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,RANDOM,3.15910944217023,0.0021047105304043755,24.0,t-test,BO_6_1.5_GP_LCB
1688,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,RANDOM,3.8191762110032403,5.0292809716734606e-05,24.0,wilcoxon,BO_3_0.2_RF_PI
1689,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,RANDOM,4.490400367584471,1.943083049201204e-05,24.0,t-test,BO_3_0.2_RF_PI
1690,spark1.5_naive-bayes_bigdata,SA_9_0.9_50,LHS,3.157369502959358,0.005523735708255327,24.0,wilcoxon,SA_9_0.9_50
1691,spark1.5_naive-bayes_bigdata,SA_9_0.9_50,LHS,2.57276031880604,0.011588739361234566,24.0,t-test,SA_9_0.9_50
1692,spark1.5_naive-bayes_bigdata,BO_3_0.1_ET_PI,LHS,2.478328245226832,0.044874068350301624,24.0,wilcoxon,BO_3_0.1_ET_PI
1693,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,LHS,4.422385450105738,3.4639627313429126e-06,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1694,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,LHS,5.536429670407171,2.58475151919676e-07,24.0,t-test,BO_3_0.05_GBRT_PI
1695,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,LHS,2.5920762731718745,0.0030756307120356524,24.0,wilcoxon,BO_6_1.5_GP_LCB
1696,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,LHS,3.4818896806879263,0.0007453239744058772,24.0,t-test,BO_6_1.5_GP_LCB
1697,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,LHS,4.315531242036153,2.023541177628757e-06,24.0,wilcoxon,BO_3_0.2_RF_PI
1698,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,LHS,4.737987178506015,7.304091898101992e-06,24.0,t-test,BO_3_0.2_RF_PI
1699,spark1.5_naive-bayes_bigdata,SA_9_0.9_50,HC_9_500,1.3649763353405084,0.023369569936303156,24.0,wilcoxon,SA_9_0.9_50
1700,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,2.3335580278422325,0.0010978677678274513,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1701,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,3.6459269127558955,0.00042875067003635196,24.0,t-test,BO_3_0.05_GBRT_PI
1702,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,HC_9_500,2.385261676908161,0.002552657224864463,24.0,wilcoxon,BO_3_0.2_RF_PI
1703,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,HC_9_500,2.984552466666168,0.00358552603762576,24.0,t-test,BO_3_0.2_RF_PI
1704,spark1.5_naive-bayes_bigdata,TPE_9_0.1,SA_9_0.9_50,-2.65067374211326,0.03307397877232198,24.0,wilcoxon,SA_9_0.9_50
1705,spark1.5_naive-bayes_bigdata,TPE_9_0.1,SA_9_0.9_50,-2.0420604571074152,0.04383201624127446,24.0,t-test,SA_9_0.9_50
1706,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,0.8341522049303106,0.04152887046883673,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1707,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.4776469451738157,0.014936080389314281,24.0,t-test,BO_3_0.05_GBRT_PI
1708,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,3.8329638507541546,1.3677322128034634e-05,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1709,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,4.5890299307107245,1.3205931344759245e-05,24.0,t-test,BO_3_0.05_GBRT_PI
1710,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,TPE_9_0.1,1.9681855744430057,0.012414153838644103,24.0,wilcoxon,BO_6_1.5_GP_LCB
1711,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,TPE_9_0.1,2.814375458319684,0.005907270366533891,24.0,t-test,BO_6_1.5_GP_LCB
1712,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,3.7847071116259547,6.178893296824157e-05,24.0,wilcoxon,BO_3_0.2_RF_PI
1713,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,3.918777485525475,0.0001648568738868278,24.0,t-test,BO_3_0.2_RF_PI
1714,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,1.4959589129741935,0.0021241646030072687,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1715,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,3.8228835198642637,0.00023183116900307222,24.0,t-test,BO_3_0.05_GBRT_PI
1716,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_ET_PI,1.5166403726005648,0.00966381082255768,24.0,wilcoxon,BO_3_0.2_RF_PI
1717,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_ET_PI,2.96008764097658,0.0038570955342157698,24.0,t-test,BO_3_0.2_RF_PI
1718,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.1887878104576335,0.001456525175785931,24.0,wilcoxon,BO_6_1.5_GP_LCB
1719,spark1.5_naive-bayes_bigdata,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.5675119457720634,0.011754156667450319,24.0,t-test,BO_6_1.5_GP_LCB
1720,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_6_1.5_GP_LCB,2.2198099998971905,0.015246638297196559,24.0,wilcoxon,BO_3_0.2_RF_PI
1721,spark1.5_naive-bayes_bigdata,HC_9_500,RANDOM,2.681695931552817,0.0006806904099777336,30.0,wilcoxon,HC_9_500
1722,spark1.5_naive-bayes_bigdata,HC_9_500,RANDOM,3.3330078307841458,0.001213217522026804,30.0,t-test,HC_9_500
1723,spark1.5_naive-bayes_bigdata,SA_9_0.9_50,RANDOM,3.3297149998457853,0.00018977702789200343,30.0,wilcoxon,SA_9_0.9_50
1724,spark1.5_naive-bayes_bigdata,SA_9_0.9_50,RANDOM,3.4535501539138425,0.0008186414843557399,30.0,t-test,SA_9_0.9_50
1725,spark1.5_naive-bayes_bigdata,BO_3_0.1_ET_PI,RANDOM,2.4748813352891035,0.014901347209927142,30.0,wilcoxon,BO_3_0.1_ET_PI
1726,spark1.5_naive-bayes_bigdata,BO_3_0.1_ET_PI,RANDOM,2.0149485148599964,0.04664927365892901,30.0,t-test,BO_3_0.1_ET_PI
