,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1534,spark1.5_naive-bayes_huge,HC_9_500,RANDOM,-1.1099049999485953,0.022167905752988798,12.0,wilcoxon,RANDOM
1535,spark1.5_naive-bayes_huge,SA_9_0.9_50,RANDOM,-1.0685420806958525,0.022167905752988798,12.0,wilcoxon,RANDOM
1536,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,RANDOM,3.5882332451754273,0.00037759062052803143,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1537,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,RANDOM,3.5814394105905403,0.0005339162373358962,12.0,t-test,BO_3_0.05_GBRT_PI
1538,spark1.5_naive-bayes_huge,HC_9_500,LHS,-1.8372029968093206,0.02793897557198365,12.0,wilcoxon,LHS
1539,spark1.5_naive-bayes_huge,HC_9_500,LHS,-2.1442298792089227,0.0344879138143007,12.0,t-test,LHS
1540,spark1.5_naive-bayes_huge,SA_9_0.9_50,LHS,-1.8372029968093206,0.025771805871600155,12.0,wilcoxon,LHS
1541,spark1.5_naive-bayes_huge,SA_9_0.9_50,LHS,-2.2203429412979685,0.028699436827635524,12.0,t-test,LHS
1542,spark1.5_naive-bayes_huge,BO_3_0.1_ET_PI,LHS,-1.2167592080181804,0.035596100996720115,12.0,wilcoxon,LHS
1543,spark1.5_naive-bayes_huge,BO_3_0.1_ET_PI,LHS,-2.5444251570865557,0.01250733195437374,12.0,t-test,LHS
1544,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,LHS,3.691640543307284,0.019161261581474798,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1545,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,LHS,2.604530348064302,0.010631431873844868,12.0,t-test,BO_3_0.05_GBRT_PI
1546,spark1.5_naive-bayes_huge,TPE_9_0.1,HC_9_500,1.0754359005713097,0.038563453287927596,12.0,wilcoxon,TPE_9_0.1
1547,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,HC_9_500,4.343106521537981,2.878275539815711e-05,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1548,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,HC_9_500,4.680948440124435,9.174848677808463e-06,12.0,t-test,BO_3_0.05_GBRT_PI
1549,spark1.5_naive-bayes_huge,TPE_9_0.1,SA_9_0.9_50,1.034072981318567,0.02724814264511441,12.0,wilcoxon,TPE_9_0.1
1550,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,4.329318881787067,2.8734869977918115e-05,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1551,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,4.769914253452055,6.424556576697192e-06,12.0,t-test,BO_3_0.05_GBRT_PI
1552,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,3.767472561937312,0.00012288569893471603,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1553,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,3.511189302793342,0.0006760598737894866,12.0,t-test,BO_3_0.05_GBRT_PI
1554,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,3.488272856981299,5.720589028283209e-05,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1555,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,4.490140182466936,1.9450511926718805e-05,12.0,t-test,BO_3_0.05_GBRT_PI
1556,spark1.5_naive-bayes_huge,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.96089563650883,0.004565425470894135,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1557,spark1.5_naive-bayes_huge,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.934509471148051,0.004161211514215405,12.0,t-test,BO_3_0.05_GBRT_PI
1558,spark1.5_naive-bayes_huge,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-3.3676310091607995,0.000967600531494453,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1559,spark1.5_naive-bayes_huge,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-3.5140244666432823,0.0006696900078743084,12.0,t-test,BO_3_0.05_GBRT_PI
1560,spark1.5_naive-bayes_huge,TPE_9_0.1,RANDOM,1.5959193011683217,0.03850423113789971,18.0,wilcoxon,TPE_9_0.1
1561,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,RANDOM,4.181101754464739,2.347615209908526e-05,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1562,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,RANDOM,4.064114450468744,9.734961920725942e-05,18.0,t-test,BO_3_0.05_GBRT_PI
1563,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,LHS,3.7054281830581983,0.0028992326259787236,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1564,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,LHS,2.5932556828764914,0.01096267193072622,18.0,t-test,BO_3_0.05_GBRT_PI
1565,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,HC_9_500,3.750238012248669,0.00031387641578413687,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1566,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,HC_9_500,3.8420042057999835,0.00021668775700949236,18.0,t-test,BO_3_0.05_GBRT_PI
1567,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.7782094098092163,0.005023328541372985,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1568,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.9234869400649237,0.004298953533009549,18.0,t-test,BO_3_0.05_GBRT_PI
1569,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.898851257629716,0.005896187789450168,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1570,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.330110841261104,0.02185139507304535,18.0,t-test,BO_3_0.05_GBRT_PI
1571,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,2.795443959497859,0.00221689429204784,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1572,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,3.502693381715862,0.0006954921245622435,18.0,t-test,BO_3_0.05_GBRT_PI
1573,spark1.5_naive-bayes_huge,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.9781301861974727,0.004939790118945674,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1574,spark1.5_naive-bayes_huge,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.125732908551572,0.03603894847373598,18.0,t-test,BO_3_0.05_GBRT_PI
1575,spark1.5_naive-bayes_huge,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-2.5127973446041176,0.01902600981281467,18.0,wilcoxon,BO_3_0.2_RF_PI
1576,spark1.5_naive-bayes_huge,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-2.3244131400845314,0.022167696571205642,18.0,t-test,BO_3_0.2_RF_PI
1577,spark1.5_naive-bayes_huge,LHS,RANDOM,2.032580613155595,0.044800043539716256,24.0,t-test,LHS
1578,spark1.5_naive-bayes_huge,TPE_9_0.1,RANDOM,2.0233361334466626,0.022576415875105286,24.0,wilcoxon,TPE_9_0.1
1579,spark1.5_naive-bayes_huge,TPE_9_0.1,RANDOM,2.1685295642026445,0.0325385281913078,24.0,t-test,TPE_9_0.1
1580,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,RANDOM,4.546474207863966,5.588008901859533e-06,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1581,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,RANDOM,5.139751700702138,1.405468767943151e-06,24.0,t-test,BO_3_0.05_GBRT_PI
1582,spark1.5_naive-bayes_huge,BO_6_1.5_GP_LCB,RANDOM,2.0336768632598483,0.024447201820889816,24.0,wilcoxon,BO_6_1.5_GP_LCB
1583,spark1.5_naive-bayes_huge,BO_3_0.2_RF_PI,RANDOM,2.874722888065616,0.024288642015905172,24.0,wilcoxon,BO_3_0.2_RF_PI
1584,spark1.5_naive-bayes_huge,BO_3_0.2_RF_PI,RANDOM,2.3235302812784946,0.02221706757948074,24.0,t-test,BO_3_0.2_RF_PI
1585,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,LHS,3.3676310091607995,9.68452487878482e-05,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1586,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,LHS,4.1721343777901225,6.531035422511561e-05,24.0,t-test,BO_3_0.05_GBRT_PI
1587,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,HC_9_500,3.4296753880399136,6.953315136404128e-05,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1588,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,HC_9_500,4.192253988636965,6.058813519341619e-05,24.0,t-test,BO_3_0.05_GBRT_PI
1589,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,1.5648971117287647,0.005341823715286071,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1590,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.887277604763677,0.004781518294780732,24.0,t-test,BO_3_0.05_GBRT_PI
1591,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.7782094098092163,0.0009525657876532457,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1592,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,3.1907909473024607,0.0019065517756203052,24.0,t-test,BO_3_0.05_GBRT_PI
1593,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,1.93371647506572,0.002328481134762418,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1594,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,BO_3_0.1_ET_PI,3.569449579778058,0.0005559853741335401,24.0,t-test,BO_3_0.05_GBRT_PI
1595,spark1.5_naive-bayes_huge,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.9953647358861155,0.0014310562720848761,24.0,wilcoxon,BO_6_1.5_GP_LCB
1596,spark1.5_naive-bayes_huge,BO_6_1.5_GP_LCB,BO_3_0.05_GBRT_PI,-2.7528481900291872,0.007040787977355126,24.0,t-test,BO_6_1.5_GP_LCB
1597,spark1.5_naive-bayes_huge,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-1.1995246583295376,0.015613871882844667,24.0,wilcoxon,BO_3_0.2_RF_PI
1598,spark1.5_naive-bayes_huge,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,-2.749006467005852,0.007117751195270672,24.0,t-test,BO_3_0.2_RF_PI
1599,spark1.5_naive-bayes_huge,SA_9_0.9_50,RANDOM,2.2784074688385756,0.018008312722488404,30.0,wilcoxon,SA_9_0.9_50
1600,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,RANDOM,3.419334658226728,4.37004427027972e-05,30.0,wilcoxon,BO_3_0.05_GBRT_PI
1601,spark1.5_naive-bayes_huge,BO_3_0.05_GBRT_PI,RANDOM,3.8735261818498015,0.00019376108402317622,30.0,t-test,BO_3_0.05_GBRT_PI
1602,spark1.5_naive-bayes_huge,BO_6_1.5_GP_LCB,RANDOM,1.7303487887397353,0.008724364319842417,30.0,wilcoxon,BO_6_1.5_GP_LCB
