,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1836,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_ET_PI,-1.9233757452525344,0.023600947500564084,6.0,wilcoxon,BO_3_0.1_ET_PI
1837,spark1.5_regression_bigdata,SA_9_0.9_50,HC_9_500,-1.0926704502599525,0.004117419605325307,18.0,wilcoxon,HC_9_500
1838,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,SA_9_0.9_50,1.9785263042561914,0.029739812964650836,18.0,wilcoxon,BO_3_0.1_ET_PI
1839,spark1.5_regression_bigdata,HC_9_500,RANDOM,3.0884313042047866,0.0016977255374984632,24.0,wilcoxon,HC_9_500
1840,spark1.5_regression_bigdata,HC_9_500,RANDOM,2.327691845336584,0.021985192596149786,24.0,t-test,HC_9_500
1841,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,RANDOM,3.2504360712780285,0.0018569775072371907,24.0,wilcoxon,BO_3_0.1_ET_PI
1842,spark1.5_regression_bigdata,BO_3_0.05_GBRT_PI,RANDOM,2.881616707941073,0.011511230288511686,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1843,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,RANDOM,4.935975030827293,8.772184720454522e-06,24.0,wilcoxon,BO_3_0.2_RF_PI
1844,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,RANDOM,3.340817248391245,0.0011830226509600365,24.0,t-test,BO_3_0.2_RF_PI
1845,spark1.5_regression_bigdata,HC_9_500,LHS,2.3094296582781326,0.013146093450539905,24.0,wilcoxon,HC_9_500
1846,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,LHS,2.5059035247286605,0.012604164441261027,24.0,wilcoxon,BO_3_0.1_ET_PI
1847,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,LHS,3.9019020495087258,0.0004417745668067861,24.0,wilcoxon,BO_3_0.2_RF_PI
1848,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,LHS,2.574598927007513,0.011531288348900512,24.0,t-test,BO_3_0.2_RF_PI
1849,spark1.5_regression_bigdata,SA_9_0.9_50,HC_9_500,-1.8854597359375203,0.0007527454282757943,24.0,wilcoxon,HC_9_500
1850,spark1.5_regression_bigdata,TPE_9_0.1,HC_9_500,-3.7295565526222982,0.00047330904250815985,24.0,wilcoxon,HC_9_500
1851,spark1.5_regression_bigdata,TPE_9_0.1,HC_9_500,-2.752264239111757,0.007052437457367673,24.0,t-test,HC_9_500
1852,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,SA_9_0.9_50,2.0336768632598483,0.04069193939734579,24.0,wilcoxon,BO_3_0.1_ET_PI
1853,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,SA_9_0.9_50,3.636489984303627,0.00039764078863187415,24.0,wilcoxon,BO_3_0.2_RF_PI
1854,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,SA_9_0.9_50,2.4869130977972853,0.01457560312204878,24.0,t-test,BO_3_0.2_RF_PI
1855,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,TPE_9_0.1,3.8812205898823544,0.00038960019647271953,24.0,wilcoxon,BO_3_0.1_ET_PI
1856,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,TPE_9_0.1,2.277625614866456,0.02492161260471355,24.0,t-test,BO_3_0.1_ET_PI
1857,spark1.5_regression_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,3.5537641457981417,0.005515523163203899,24.0,wilcoxon,BO_3_0.05_GBRT_PI
1858,spark1.5_regression_bigdata,BO_6_1.5_GP_LCB,TPE_9_0.1,2.3025358384026755,0.031932551936875234,24.0,wilcoxon,BO_6_1.5_GP_LCB
1859,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,5.222068555658763,1.1870204532141018e-05,24.0,wilcoxon,BO_3_0.2_RF_PI
1860,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,3.6329051211500283,0.00044826131296722737,24.0,t-test,BO_3_0.2_RF_PI
1861,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,1.9061411955638916,0.025102204141139072,24.0,wilcoxon,BO_3_0.2_RF_PI
1862,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,BO_6_1.5_GP_LCB,2.8230192389996875,0.004683851735010085,24.0,wilcoxon,BO_3_0.2_RF_PI
1863,spark1.5_regression_bigdata,HC_9_500,RANDOM,3.3193742700325997,0.0003370507415015164,30.0,wilcoxon,HC_9_500
1864,spark1.5_regression_bigdata,HC_9_500,RANDOM,3.2540979998803214,0.0015616114519195264,30.0,t-test,HC_9_500
1865,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,RANDOM,2.9264265371315443,0.009443738665064996,30.0,wilcoxon,BO_3_0.1_ET_PI
1866,spark1.5_regression_bigdata,BO_3_0.05_GBRT_PI,RANDOM,3.122900403582072,0.0034676417198801577,30.0,wilcoxon,BO_3_0.05_GBRT_PI
1867,spark1.5_regression_bigdata,BO_6_1.5_GP_LCB,RANDOM,2.4335184160363608,0.03907596258233337,30.0,wilcoxon,BO_6_1.5_GP_LCB
1868,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,RANDOM,4.732607344501308,4.398188364951919e-05,30.0,wilcoxon,BO_3_0.2_RF_PI
1869,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,RANDOM,3.1703500423319726,0.002032305934750543,30.0,t-test,BO_3_0.2_RF_PI
1870,spark1.5_regression_bigdata,HC_9_500,LHS,3.022940015387944,0.003680615015218671,30.0,wilcoxon,HC_9_500
1871,spark1.5_regression_bigdata,HC_9_500,LHS,2.8346559697219607,0.005571925124032664,30.0,t-test,HC_9_500
1872,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,LHS,2.633439192424617,0.013561986136987206,30.0,wilcoxon,BO_3_0.1_ET_PI
1873,spark1.5_regression_bigdata,BO_3_0.05_GBRT_PI,LHS,2.8230192389996875,0.02949624520682648,30.0,wilcoxon,BO_3_0.05_GBRT_PI
1874,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,LHS,4.415491630230281,0.0001797383245938985,30.0,wilcoxon,BO_3_0.2_RF_PI
1875,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,LHS,2.852399573685321,0.0052929300237904995,30.0,t-test,BO_3_0.2_RF_PI
1876,spark1.5_regression_bigdata,SA_9_0.9_50,HC_9_500,-2.274960558900847,0.00017506070454260242,30.0,wilcoxon,HC_9_500
1877,spark1.5_regression_bigdata,SA_9_0.9_50,HC_9_500,-2.3049714794054315,0.023277619271061582,30.0,t-test,HC_9_500
1878,spark1.5_regression_bigdata,TPE_9_0.1,HC_9_500,-3.457250667541742,6.984351060301294e-05,30.0,wilcoxon,HC_9_500
1879,spark1.5_regression_bigdata,TPE_9_0.1,HC_9_500,-3.2756424634554544,0.0014581925952165283,30.0,t-test,HC_9_500
1880,spark1.5_regression_bigdata,BO_3_0.05_GBRT_PI,SA_9_0.9_50,1.9750793943184628,0.046596378816785654,30.0,wilcoxon,BO_3_0.05_GBRT_PI
1881,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,SA_9_0.9_50,3.781260201688226,0.00014871169889653021,30.0,wilcoxon,BO_3_0.2_RF_PI
1882,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,SA_9_0.9_50,2.4666767343608034,0.015373144255684338,30.0,t-test,BO_3_0.2_RF_PI
1883,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,TPE_9_0.1,3.164263322834815,0.004665396704636478,30.0,wilcoxon,BO_3_0.1_ET_PI
1884,spark1.5_regression_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,3.3055866302816854,0.0045175102055102345,30.0,wilcoxon,BO_3_0.05_GBRT_PI
1885,spark1.5_regression_bigdata,BO_6_1.5_GP_LCB,TPE_9_0.1,2.67480211167736,0.034434854162404785,30.0,wilcoxon,BO_6_1.5_GP_LCB
1886,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,4.674009875559922,7.314384229849961e-05,30.0,wilcoxon,BO_3_0.2_RF_PI
1887,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,TPE_9_0.1,3.23990879396225,0.0016334262625401275,30.0,t-test,BO_3_0.2_RF_PI
1888,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,BO_3_0.05_GBRT_PI,1.7544771583038352,0.03466442712382716,30.0,wilcoxon,BO_3_0.2_RF_PI
1889,spark1.5_regression_bigdata,BO_3_0.2_RF_PI,BO_6_1.5_GP_LCB,1.8165215371829493,0.030606838907422943,30.0,wilcoxon,BO_3_0.2_RF_PI
