,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1761,spark1.5_regression_huge,BO_3_0.1_ET_PI,RANDOM,1.988867034069377,0.03948810425878829,12.0,wilcoxon,BO_3_0.1_ET_PI
1762,spark1.5_regression_huge,BO_3_0.2_RF_PI,RANDOM,2.0715928725748625,0.037049798227301055,12.0,wilcoxon,BO_3_0.2_RF_PI
1763,spark1.5_regression_huge,HC_9_500,LHS,-1.9992077638825627,0.008635649439585658,12.0,wilcoxon,LHS
1764,spark1.5_regression_huge,HC_9_500,LHS,-2.695928258356221,0.008262495742082982,12.0,t-test,LHS
1765,spark1.5_regression_huge,SA_9_0.9_50,LHS,-1.98197321419392,0.01023549722411216,12.0,wilcoxon,LHS
1766,spark1.5_regression_huge,SA_9_0.9_50,LHS,-2.481896353811903,0.014769788869037404,12.0,t-test,LHS
1767,spark1.5_regression_huge,BO_6_1.5_GP_LCB,LHS,-2.208201463751002,0.029561653021616206,12.0,t-test,BO_6_1.5_GP_LCB
1768,spark1.5_regression_huge,BO_3_0.1_ET_PI,HC_9_500,2.7851032296846734,0.002471367830316136,12.0,wilcoxon,BO_3_0.1_ET_PI
1769,spark1.5_regression_huge,BO_3_0.1_ET_PI,HC_9_500,2.203482443076165,0.029902825655728917,12.0,t-test,BO_3_0.1_ET_PI
1770,spark1.5_regression_huge,BO_3_0.05_GBRT_PI,HC_9_500,3.071196754516144,0.009611616433178254,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1771,spark1.5_regression_huge,BO_3_0.2_RF_PI,HC_9_500,2.8540414284392446,0.002124218009112267,12.0,wilcoxon,BO_3_0.2_RF_PI
1772,spark1.5_regression_huge,BO_3_0.2_RF_PI,HC_9_500,2.0235199156394112,0.045742324193065016,12.0,t-test,BO_3_0.2_RF_PI
1773,spark1.5_regression_huge,BO_3_0.1_ET_PI,SA_9_0.9_50,2.7851032296846734,0.002471367830316136,12.0,wilcoxon,BO_3_0.1_ET_PI
1774,spark1.5_regression_huge,BO_3_0.1_ET_PI,SA_9_0.9_50,2.0999524566319496,0.038301255090796835,12.0,t-test,BO_3_0.1_ET_PI
