,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1029,spark_lr_bigdata,HC_9_500,RANDOM,-0.9203249533735246,0.040235697793500495,12.0,wilcoxon,RANDOM
1030,spark_lr_bigdata,SA_9_0.9_50,RANDOM,-0.9134311334980675,0.040235697793500495,12.0,wilcoxon,RANDOM
1031,spark_lr_bigdata,BO_6_1.5_GP_LCB,HC_9_500,2.1750001707067192,0.04181286541077868,12.0,wilcoxon,BO_6_1.5_GP_LCB
1032,spark_lr_bigdata,BO_6_1.5_GP_LCB,SA_9_0.9_50,2.1577656210180765,0.04181286541077868,12.0,wilcoxon,BO_6_1.5_GP_LCB
1033,spark_lr_bigdata,BO_3_0.1_ET_PI,RANDOM,3.481379037105842,0.006937515293847986,18.0,wilcoxon,BO_3_0.1_ET_PI
1034,spark_lr_bigdata,BO_3_0.1_ET_PI,RANDOM,2.0391819923618626,0.04412403477874672,18.0,t-test,BO_3_0.1_ET_PI
1035,spark_lr_bigdata,BO_3_0.05_GBRT_PI,RANDOM,3.2056262420875576,0.010895112056300614,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1036,spark_lr_bigdata,BO_6_1.5_GP_LCB,RANDOM,2.4748813352891035,0.030656744730381574,18.0,wilcoxon,BO_6_1.5_GP_LCB
1037,spark_lr_bigdata,BO_3_0.1_ET_PI,TPE_9_0.1,3.260776801091214,0.012548800777080461,18.0,wilcoxon,BO_3_0.1_ET_PI
1038,spark_lr_bigdata,BO_3_0.1_ET_PI,TPE_9_0.1,2.23660395152219,0.027579164787620857,18.0,t-test,BO_3_0.1_ET_PI
1039,spark_lr_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.905745077505173,0.00647293070510401,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1040,spark_lr_bigdata,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.130888457366079,0.03560068162434595,18.0,t-test,BO_3_0.05_GBRT_PI
1041,spark_lr_bigdata,BO_6_1.5_GP_LCB,TPE_9_0.1,2.2887481986517613,0.026180535090822018,18.0,wilcoxon,BO_6_1.5_GP_LCB
1042,spark_lr_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_ET_PI,-2.447306055787275,0.036402590723452595,18.0,wilcoxon,BO_3_0.1_ET_PI
1043,spark_lr_bigdata,HC_9_500,RANDOM,2.881616707941073,0.004464832171400697,24.0,wilcoxon,HC_9_500
1044,spark_lr_bigdata,SA_9_0.9_50,RANDOM,5.508162080490233,1.3913492631265917e-05,24.0,wilcoxon,SA_9_0.9_50
1045,spark_lr_bigdata,SA_9_0.9_50,RANDOM,4.066587625834037,9.647095282036277e-05,24.0,t-test,SA_9_0.9_50
1046,spark_lr_bigdata,BO_3_0.1_ET_PI,RANDOM,5.311688214039705,1.0188757488572982e-05,24.0,wilcoxon,BO_3_0.1_ET_PI
