,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
890,spark_lr_huge,BO_3_0.1_ET_PI,RANDOM,2.199128540270819,0.027943826331072452,12.0,wilcoxon,BO_3_0.1_ET_PI
891,spark_lr_huge,BO_3_0.05_GBRT_PI,RANDOM,3.3814186489117137,0.00024183223127619132,12.0,wilcoxon,BO_3_0.05_GBRT_PI
892,spark_lr_huge,BO_3_0.05_GBRT_PI,RANDOM,2.7771033912853023,0.006572137233109176,12.0,t-test,BO_3_0.05_GBRT_PI
893,spark_lr_huge,BO_3_0.2_RF_PI,RANDOM,2.9953647358861155,0.03042423175463315,12.0,wilcoxon,BO_3_0.2_RF_PI
894,spark_lr_huge,BO_3_0.2_RF_PI,RANDOM,2.0957320504666606,0.03868305215462702,12.0,t-test,BO_3_0.2_RF_PI
895,spark_lr_huge,BO_3_0.05_GBRT_PI,LHS,3.053962204827501,0.011007707815770602,12.0,wilcoxon,BO_3_0.05_GBRT_PI
896,spark_lr_huge,BO_3_0.05_GBRT_PI,LHS,2.1950745583821796,0.030519215466130668,12.0,t-test,BO_3_0.05_GBRT_PI
897,spark_lr_huge,BO_3_0.2_RF_PI,LHS,2.571394813545503,0.0174500820275688,12.0,wilcoxon,BO_3_0.2_RF_PI
898,spark_lr_huge,BO_3_0.1_ET_PI,HC_9_500,2.7782094098092163,0.0043459526607152925,12.0,wilcoxon,BO_3_0.1_ET_PI
899,spark_lr_huge,BO_3_0.1_ET_PI,HC_9_500,2.385114486417005,0.0189971925914883,12.0,t-test,BO_3_0.1_ET_PI
900,spark_lr_huge,BO_3_0.05_GBRT_PI,HC_9_500,3.898455139570997,2.780028448487675e-05,12.0,wilcoxon,BO_3_0.05_GBRT_PI
901,spark_lr_huge,BO_3_0.05_GBRT_PI,HC_9_500,3.3123785861710053,0.001296492463916468,12.0,t-test,BO_3_0.05_GBRT_PI
902,spark_lr_huge,BO_6_1.5_GP_LCB,HC_9_500,2.323217298029047,0.007696013523899762,12.0,wilcoxon,BO_6_1.5_GP_LCB
903,spark_lr_huge,BO_3_0.2_RF_PI,HC_9_500,3.4986135867944848,0.0015595554574096568,12.0,wilcoxon,BO_3_0.2_RF_PI
904,spark_lr_huge,BO_3_0.2_RF_PI,HC_9_500,2.687669612370855,0.008454940540417307,12.0,t-test,BO_3_0.2_RF_PI
905,spark_lr_huge,BO_3_0.1_ET_PI,SA_9_0.9_50,2.7782094098092163,0.004520042059694897,12.0,wilcoxon,BO_3_0.1_ET_PI
906,spark_lr_huge,BO_3_0.1_ET_PI,SA_9_0.9_50,2.383073749996741,0.01909687043258322,12.0,t-test,BO_3_0.1_ET_PI
907,spark_lr_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,3.898455139570997,2.780028448487675e-05,12.0,wilcoxon,BO_3_0.05_GBRT_PI
908,spark_lr_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,3.358452129361657,0.0011174118375477404,12.0,t-test,BO_3_0.05_GBRT_PI
909,spark_lr_huge,BO_6_1.5_GP_LCB,SA_9_0.9_50,2.323217298029047,0.007696013523899762,12.0,wilcoxon,BO_6_1.5_GP_LCB
910,spark_lr_huge,BO_3_0.2_RF_PI,SA_9_0.9_50,3.4986135867944848,0.0016304568455442528,12.0,wilcoxon,BO_3_0.2_RF_PI
911,spark_lr_huge,BO_3_0.2_RF_PI,SA_9_0.9_50,2.695242227557935,0.008278328913366715,12.0,t-test,BO_3_0.2_RF_PI
912,spark_lr_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.7333995806187454,0.0009046060241237849,12.0,wilcoxon,BO_3_0.05_GBRT_PI
913,spark_lr_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.4225637263497495,0.017248256162835617,12.0,t-test,BO_3_0.05_GBRT_PI
914,spark_lr_huge,BO_3_0.1_ET_PI,RANDOM,3.1297942234575293,0.001981258443705578,18.0,wilcoxon,BO_3_0.1_ET_PI
915,spark_lr_huge,BO_3_0.1_ET_PI,RANDOM,2.876525953433442,0.00493411017170702,18.0,t-test,BO_3_0.1_ET_PI
916,spark_lr_huge,BO_3_0.2_RF_PI,RANDOM,3.805388571252326,0.0028052962919800062,18.0,wilcoxon,BO_3_0.2_RF_PI
917,spark_lr_huge,BO_3_0.2_RF_PI,RANDOM,3.413645956934194,0.0009334617647727108,18.0,t-test,BO_3_0.2_RF_PI
918,spark_lr_huge,BO_3_0.1_ET_PI,LHS,3.8501984004427974,0.00015606880322971092,18.0,wilcoxon,BO_3_0.1_ET_PI
919,spark_lr_huge,BO_3_0.1_ET_PI,LHS,3.678102183938864,0.0003839363727309958,18.0,t-test,BO_3_0.1_ET_PI
920,spark_lr_huge,BO_3_0.05_GBRT_PI,LHS,3.084984394267058,0.004815210263335269,18.0,wilcoxon,BO_3_0.05_GBRT_PI
921,spark_lr_huge,BO_3_0.05_GBRT_PI,LHS,2.748554317085544,0.00712685960754396,18.0,t-test,BO_3_0.05_GBRT_PI
922,spark_lr_huge,BO_3_0.2_RF_PI,LHS,4.429279269981195,0.00019375024039884554,18.0,wilcoxon,BO_3_0.2_RF_PI
