,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1238,spark_pagerank_bigdata,BO_3_0.05_GBRT_PI,RANDOM,1.9406102949411772,0.03918477821611907,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1239,spark_pagerank_bigdata,BO_3_0.2_RF_PI,RANDOM,2.2853012887140327,0.0021902914591142146,12.0,wilcoxon,BO_3_0.2_RF_PI
1240,spark_pagerank_bigdata,BO_3_0.2_RF_PI,RANDOM,2.6647383930524304,0.009010814630760483,12.0,t-test,BO_3_0.2_RF_PI
1241,spark_pagerank_bigdata,TPE_9_0.1,HC_9_500,1.5717909316042218,0.022223209779144302,12.0,wilcoxon,TPE_9_0.1
1242,spark_pagerank_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,2.719611940867831,0.006153638034922178,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1243,spark_pagerank_bigdata,BO_3_0.05_GBRT_PI,HC_9_500,2.655456602927397,0.00924508323394389,12.0,t-test,BO_3_0.05_GBRT_PI
1244,spark_pagerank_bigdata,BO_6_1.5_GP_LCB,HC_9_500,1.926822655190263,0.020477115071015583,12.0,wilcoxon,BO_6_1.5_GP_LCB
1245,spark_pagerank_bigdata,BO_6_1.5_GP_LCB,HC_9_500,2.1240314149354806,0.036184611823506074,12.0,t-test,BO_6_1.5_GP_LCB
1246,spark_pagerank_bigdata,BO_3_0.2_RF_PI,HC_9_500,3.040174565076587,0.00011655868531057164,12.0,wilcoxon,BO_3_0.2_RF_PI
1247,spark_pagerank_bigdata,BO_3_0.2_RF_PI,HC_9_500,3.563010938048536,0.0005681899348516723,12.0,t-test,BO_3_0.2_RF_PI
1248,spark_pagerank_bigdata,TPE_9_0.1,SA_9_0.9_50,1.4580429036591793,0.0176286456098941,12.0,wilcoxon,TPE_9_0.1
