,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1112,spark_pagerank_huge,BO_3_0.1_ET_PI,LHS,-2.3714740371572467,0.01629228069226499,6.0,wilcoxon,LHS
1113,spark_pagerank_huge,BO_3_0.1_ET_PI,LHS,-2.392549110984078,0.018637950807991584,6.0,t-test,LHS
1114,spark_pagerank_huge,HC_9_500,RANDOM,-0.9547940527508101,0.032902787351826245,12.0,wilcoxon,RANDOM
1115,spark_pagerank_huge,BO_3_0.05_GBRT_PI,RANDOM,3.2504360712780285,0.007982888451065021,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1116,spark_pagerank_huge,BO_3_0.05_GBRT_PI,LHS,2.967789456384287,0.02340253190978473,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1117,spark_pagerank_huge,BO_3_0.1_ET_PI,HC_9_500,1.5338749222892076,0.03294915799057797,12.0,wilcoxon,BO_3_0.1_ET_PI
1118,spark_pagerank_huge,BO_3_0.1_ET_PI,HC_9_500,2.291845883418293,0.02405438976795959,12.0,t-test,BO_3_0.1_ET_PI
1119,spark_pagerank_huge,BO_3_0.05_GBRT_PI,HC_9_500,3.4227815681644564,0.0021636485329800544,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1120,spark_pagerank_huge,BO_3_0.05_GBRT_PI,HC_9_500,2.700896883957003,0.008148641617953659,12.0,t-test,BO_3_0.05_GBRT_PI
1121,spark_pagerank_huge,BO_6_1.5_GP_LCB,HC_9_500,1.9854201241316485,0.011715720692916045,12.0,wilcoxon,BO_6_1.5_GP_LCB
1122,spark_pagerank_huge,BO_6_1.5_GP_LCB,HC_9_500,2.0124919410798254,0.046912022789965716,12.0,t-test,BO_6_1.5_GP_LCB
1123,spark_pagerank_huge,BO_3_0.2_RF_PI,HC_9_500,2.4335184160363608,0.008474985131978384,12.0,wilcoxon,BO_3_0.2_RF_PI
1124,spark_pagerank_huge,BO_3_0.2_RF_PI,HC_9_500,2.2328928457760306,0.02783140593831521,12.0,t-test,BO_3_0.2_RF_PI
1125,spark_pagerank_huge,BO_3_0.1_ET_PI,SA_9_0.9_50,1.9906336580603525,0.04930609578899529,12.0,t-test,BO_3_0.1_ET_PI
1126,spark_pagerank_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,3.1987324222121005,0.0038418077504864595,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1127,spark_pagerank_huge,BO_3_0.05_GBRT_PI,SA_9_0.9_50,2.425292489654439,0.017126608262969696,12.0,t-test,BO_3_0.05_GBRT_PI
1128,spark_pagerank_huge,BO_6_1.5_GP_LCB,SA_9_0.9_50,1.6958796893624497,0.02409468635926423,12.0,wilcoxon,BO_6_1.5_GP_LCB
1129,spark_pagerank_huge,BO_3_0.2_RF_PI,SA_9_0.9_50,2.161212530955805,0.03796062715018363,12.0,wilcoxon,BO_3_0.2_RF_PI
1130,spark_pagerank_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,3.0332807452011297,0.0013724298441279304,12.0,wilcoxon,BO_3_0.05_GBRT_PI
1131,spark_pagerank_huge,BO_3_0.05_GBRT_PI,TPE_9_0.1,2.0933928053005473,0.03889608189266664,12.0,t-test,BO_3_0.05_GBRT_PI
1132,spark_pagerank_huge,BO_6_1.5_GP_LCB,TPE_9_0.1,1.3787639750914225,0.01582799847520342,12.0,wilcoxon,BO_6_1.5_GP_LCB
1133,spark_pagerank_huge,HC_9_500,RANDOM,-1.857884456435692,0.00455984626030162,18.0,wilcoxon,RANDOM
1134,spark_pagerank_huge,HC_9_500,RANDOM,-2.6359098154752987,0.00975657561663057,18.0,t-test,RANDOM
1135,spark_pagerank_huge,BO_3_0.1_ET_PI,RANDOM,1.9440572048789058,0.030282337448532304,18.0,wilcoxon,BO_3_0.1_ET_PI
1136,spark_pagerank_huge,BO_3_0.05_GBRT_PI,RANDOM,4.098375915959253,0.001560375275639759,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1137,spark_pagerank_huge,BO_3_0.2_RF_PI,RANDOM,3.9019020495087258,0.002095144651983962,18.0,wilcoxon,BO_3_0.2_RF_PI
1138,spark_pagerank_huge,BO_3_0.2_RF_PI,RANDOM,3.8480531045567825,0.0002120967423415916,18.0,t-test,BO_3_0.2_RF_PI
1139,spark_pagerank_huge,HC_9_500,LHS,-2.781656319746945,0.0042157864086447006,18.0,wilcoxon,LHS
1140,spark_pagerank_huge,HC_9_500,LHS,-3.086331498377177,0.002634749641146602,18.0,t-test,LHS
1141,spark_pagerank_huge,SA_9_0.9_50,LHS,-2.2439383694612904,0.021489830770700085,18.0,wilcoxon,LHS
1142,spark_pagerank_huge,SA_9_0.9_50,LHS,-2.344053995348537,0.02109411763557214,18.0,t-test,LHS
1143,spark_pagerank_huge,BO_3_0.05_GBRT_PI,LHS,3.3986531986003565,0.005438881010850042,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1144,spark_pagerank_huge,BO_3_0.2_RF_PI,LHS,3.078090574391601,0.0044979310264582,18.0,wilcoxon,BO_3_0.2_RF_PI
1145,spark_pagerank_huge,BO_3_0.2_RF_PI,LHS,3.0397791519584314,0.003036149315241144,18.0,t-test,BO_3_0.2_RF_PI
1146,spark_pagerank_huge,SA_9_0.9_50,HC_9_500,0.6480190682929686,0.04523380703148025,18.0,wilcoxon,SA_9_0.9_50
1147,spark_pagerank_huge,TPE_9_0.1,HC_9_500,2.633439192424617,0.0005350716461515741,18.0,wilcoxon,TPE_9_0.1
1148,spark_pagerank_huge,TPE_9_0.1,HC_9_500,2.510749796939325,0.013683822968138047,18.0,t-test,TPE_9_0.1
1149,spark_pagerank_huge,BO_3_0.1_ET_PI,HC_9_500,3.2952459004684997,0.0009152637793133673,18.0,wilcoxon,BO_3_0.1_ET_PI
1150,spark_pagerank_huge,BO_3_0.1_ET_PI,HC_9_500,3.5185151213861925,0.0006597164936398641,18.0,t-test,BO_3_0.1_ET_PI
1151,spark_pagerank_huge,BO_3_0.05_GBRT_PI,HC_9_500,4.777417173691779,9.156112908973428e-05,18.0,wilcoxon,BO_3_0.05_GBRT_PI
1152,spark_pagerank_huge,BO_3_0.05_GBRT_PI,HC_9_500,3.637518379215343,0.00044125493832618094,18.0,t-test,BO_3_0.05_GBRT_PI
1153,spark_pagerank_huge,BO_6_1.5_GP_LCB,HC_9_500,2.7161650309301026,0.0013108187545890814,18.0,wilcoxon,BO_6_1.5_GP_LCB
1154,spark_pagerank_huge,BO_6_1.5_GP_LCB,HC_9_500,2.2554764215163057,0.02632715795837959,18.0,t-test,BO_6_1.5_GP_LCB
1155,spark_pagerank_huge,BO_3_0.2_RF_PI,HC_9_500,4.787757903504965,1.652193186227466e-05,18.0,wilcoxon,BO_3_0.2_RF_PI
1156,spark_pagerank_huge,BO_3_0.2_RF_PI,HC_9_500,4.971705599495849,2.8246439802889055e-06,18.0,t-test,BO_3_0.2_RF_PI
1157,spark_pagerank_huge,TPE_9_0.1,SA_9_0.9_50,2.0853805123257767,0.0016978462071046657,18.0,wilcoxon,TPE_9_0.1
