,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
575,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,RANDOM,2.8609352483147017,0.003139638621101515,6.0,wilcoxon,BO_3_0.1_GBRT_PI
576,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,RANDOM,2.6289192162007207,0.00994563095650396,6.0,t-test,BO_3_0.1_GBRT_PI
577,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,2.8609352483147017,0.003139638621101515,6.0,wilcoxon,BO_3_0.1_GBRT_PI
578,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,2.6289192162007207,0.00994563095650396,6.0,t-test,BO_3_0.1_GBRT_PI
579,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.8609352483147017,0.003139638621101515,6.0,wilcoxon,BO_3_0.1_GBRT_PI
580,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.6289192162007207,0.00994563095650396,6.0,t-test,BO_3_0.1_GBRT_PI
581,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.4,2.8609352483147017,0.003139638621101515,6.0,wilcoxon,BO_3_0.1_GBRT_PI
582,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.4,2.6289192162007207,0.00994563095650396,6.0,t-test,BO_3_0.1_GBRT_PI
583,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.819572329061959,0.02013675155034634,6.0,wilcoxon,BO_3_0.1_GBRT_PI
584,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.1508718011426193,0.012124110350774315,6.0,wilcoxon,BO_3_0.1_GBRT_PI
585,hadoop_wordcount_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.059051957353913,0.042141786714157324,6.0,t-test,BO_3_0.1_GBRT_PI
586,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-2.161212530955805,0.009098849025962332,6.0,wilcoxon,BO_3_0.1_GBRT_PI
587,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,RANDOM,2.612757732798246,0.005924416376002648,12.0,wilcoxon,BO_3_0.1_ET_PI
588,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,RANDOM,2.8924498516615462,0.004709667089189079,12.0,t-test,BO_3_0.1_ET_PI
589,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,RANDOM,3.3366088197212425,0.023212064585998914,12.0,wilcoxon,BO_3_0.1_GBRT_PI
590,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,RANDOM,2.349509059084794,0.020804220349236215,12.0,t-test,BO_3_0.1_GBRT_PI
591,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,RANDOM,2.2853012887140327,0.005941251953790637,12.0,wilcoxon,BO_3_0.1_RF_PI
592,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,RANDOM,2.3433542144872233,0.021131563366795194,12.0,t-test,BO_3_0.1_RF_PI
593,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,LHS,1.9509510247543629,0.014109543598591205,12.0,wilcoxon,BO_3_0.1_ET_PI
594,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,LHS,2.0271322177728814,0.04536464435479419,12.0,t-test,BO_3_0.1_ET_PI
595,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,HC_9_50,1.7682647980547495,0.015399533590072048,12.0,wilcoxon,BO_3_0.1_ET_PI
596,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,HC_9_50,2.479682829254627,0.014856202562414815,12.0,t-test,BO_3_0.1_ET_PI
597,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,2.8643821582524303,0.0317112460938925,12.0,wilcoxon,BO_3_0.1_GBRT_PI
598,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,2.047016926893046,0.04333306782765758,12.0,t-test,BO_3_0.1_GBRT_PI
599,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,HC_9_50,1.6062600309815074,0.027821997875624088,12.0,wilcoxon,BO_3_0.1_RF_PI
600,hadoop_wordcount_bigdata,BO_3_0.1_RF_PI,HC_9_50,2.01264472071339,0.04689564506411368,12.0,t-test,BO_3_0.1_RF_PI
601,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,SA_9_0.9_50,1.7682647980547495,0.015399533590072048,12.0,wilcoxon,BO_3_0.1_ET_PI
602,hadoop_wordcount_bigdata,BO_3_0.1_ET_PI,SA_9_0.9_50,2.479682829254627,0.014856202562414815,12.0,t-test,BO_3_0.1_ET_PI
603,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.8643821582524303,0.0317112460938925,12.0,wilcoxon,BO_3_0.1_GBRT_PI
604,hadoop_wordcount_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.047016926893046,0.04333306782765758,12.0,t-test,BO_3_0.1_GBRT_PI
