,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
458,hadoop_wordcount_huge,BO_3_0.1_RF_PI,LHS,-1.2719097670218373,0.04173645839858157,6.0,wilcoxon,LHS
459,hadoop_wordcount_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-1.9233757452525344,0.011994861900868216,6.0,wilcoxon,BO_3_1.96_GP_LCB
460,hadoop_wordcount_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-2.15875365238228,0.033310950046822566,6.0,t-test,BO_3_1.96_GP_LCB
461,hadoop_wordcount_huge,BO_3_0.1_GBRT_PI,RANDOM,2.1267434315785194,0.014433218496970133,12.0,wilcoxon,BO_3_0.1_GBRT_PI
462,hadoop_wordcount_huge,BO_3_0.1_GBRT_PI,LHS,3.4365692079153707,0.014922627587701543,12.0,wilcoxon,BO_3_0.1_GBRT_PI
463,hadoop_wordcount_huge,BO_3_0.1_GBRT_PI,LHS,2.2974876248548997,0.02371775857643189,12.0,t-test,BO_3_0.1_GBRT_PI
464,hadoop_wordcount_huge,BO_3_1.96_GP_LCB,LHS,2.0715928725748625,0.038790899371598325,12.0,wilcoxon,BO_3_1.96_GP_LCB
465,hadoop_wordcount_huge,BO_3_0.1_RF_PI,LHS,2.9471079967579157,0.021720277949470224,12.0,wilcoxon,BO_3_0.1_RF_PI
466,hadoop_wordcount_huge,BO_3_0.1_GBRT_PI,HC_9_50,2.65067374211326,0.016502650549447207,12.0,wilcoxon,BO_3_0.1_GBRT_PI
467,hadoop_wordcount_huge,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.495562794915475,0.020094178802785793,12.0,wilcoxon,BO_3_0.1_GBRT_PI
468,hadoop_wordcount_huge,BO_3_0.1_RF_PI,SA_9_0.9_50,1.7579240682415638,0.049910697239426295,12.0,wilcoxon,BO_3_0.1_RF_PI
469,hadoop_wordcount_huge,BO_3_0.1_GBRT_PI,TPE_9_0.4,2.2715136489631185,0.004181822524801159,12.0,wilcoxon,BO_3_0.1_GBRT_PI
470,hadoop_wordcount_huge,BO_3_0.1_ET_PI,RANDOM,2.9402141768824586,0.002714146321588088,18.0,wilcoxon,BO_3_0.1_ET_PI
471,hadoop_wordcount_huge,BO_3_0.1_ET_PI,RANDOM,2.329288681726446,0.021896788767388816,18.0,t-test,BO_3_0.1_ET_PI
472,hadoop_wordcount_huge,BO_3_0.1_GBRT_PI,RANDOM,2.168106350831262,0.04814711288969785,18.0,wilcoxon,BO_3_0.1_GBRT_PI
473,hadoop_wordcount_huge,BO_3_0.1_RF_PI,RANDOM,2.6610144719264457,0.02418352687809211,18.0,wilcoxon,BO_3_0.1_RF_PI
