,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1617,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,LHS,-1.7854993477433923,0.02928167340964849,6.0,wilcoxon,LHS
1618,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,LHS,-1.8613313663734206,0.0421721720412567,6.0,wilcoxon,LHS
1619,spark1.5_kmeans_bigdata,BO_3_0.1_RF_PI,LHS,-2.3266642079667754,0.04142046533383985,6.0,wilcoxon,LHS
1620,spark1.5_kmeans_bigdata,BO_3_0.1_RF_PI,LHS,-1.984967047760517,0.04994347121936391,6.0,t-test,LHS
1621,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,RANDOM,-2.2060223601462763,0.0035854075830648413,12.0,wilcoxon,RANDOM
1622,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,RANDOM,-2.892047212103103,0.00471522460895133,12.0,t-test,RANDOM
1623,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,LHS,-2.736846490556474,0.0011109767161780887,12.0,wilcoxon,LHS
1624,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,LHS,-3.6639389436654333,0.00040308633598169373,12.0,t-test,LHS
1625,spark1.5_kmeans_bigdata,BO_3_0.1_RF_PI,LHS,-2.066438200544604,0.04142468358815166,12.0,t-test,BO_3_0.1_RF_PI
1626,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,3.1539225930216293,0.032123775783756615,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1627,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,HC_9_50,-1.4028923446555224,0.03847474317790985,12.0,wilcoxon,HC_9_50
1628,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,HC_9_50,-2.316561060576661,0.022610218660775026,12.0,t-test,HC_9_50
1629,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.9_50,3.1263473135198008,0.03504536831597334,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1630,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,SA_9_0.9_50,-1.492512003036465,0.03731623204057391,12.0,wilcoxon,SA_9_0.9_50
1631,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,SA_9_0.9_50,-2.3401907460811944,0.021301577311719392,12.0,t-test,SA_9_0.9_50
1632,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,TPE_9_0.4,-2.312876568215861,0.0021348479857414464,12.0,wilcoxon,TPE_9_0.4
1633,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,TPE_9_0.4,-2.7243433436958635,0.007630376666060232,12.0,t-test,TPE_9_0.4
1634,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,-2.540372624105946,0.020949629102272584,12.0,wilcoxon,BO_3_0.1_ET_PI
1635,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,-2.2831532395342613,0.02458129690656156,12.0,t-test,BO_3_0.1_ET_PI
1636,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-3.7433441923732125,0.0013240846416602363,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1637,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.9638046094944857,0.0038146485509040896,12.0,t-test,BO_3_0.1_GBRT_PI
1638,spark1.5_kmeans_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,2.1164027017653337,0.036423780105593835,12.0,wilcoxon,BO_3_0.1_RF_PI
1639,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,RANDOM,3.3297149998457853,0.00310613155198494,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1640,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,RANDOM,-2.344318903876345,0.02107995753052658,18.0,t-test,BO_3_1.96_GP_LCB
1641,spark1.5_kmeans_bigdata,BO_3_0.1_RF_PI,RANDOM,3.622702344552713,0.002295373645787716,18.0,wilcoxon,BO_3_0.1_RF_PI
1642,spark1.5_kmeans_bigdata,HC_9_50,LHS,-1.8440968166847778,0.020452718695162478,18.0,wilcoxon,LHS
1643,spark1.5_kmeans_bigdata,SA_9_0.9_50,LHS,-1.764817888117021,0.019301514259100306,18.0,wilcoxon,LHS
1644,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,LHS,-1.2719097670218373,0.005171126613942742,18.0,wilcoxon,BO_3_1.96_GP_LCB
1645,spark1.5_kmeans_bigdata,BO_3_1.96_GP_LCB,LHS,-3.2350093617981273,0.0016589319479588867,18.0,t-test,BO_3_1.96_GP_LCB
1646,spark1.5_kmeans_bigdata,BO_3_0.1_RF_PI,LHS,3.040174565076587,0.008814101980796482,18.0,wilcoxon,BO_3_0.1_RF_PI
1647,spark1.5_kmeans_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,3.536529596109499,0.0020571669216763247,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1648,spark1.5_kmeans_bigdata,BO_3_0.1_RF_PI,HC_9_50,3.812282391127783,0.002876319717503298,18.0,wilcoxon,BO_3_0.1_RF_PI
1649,spark1.5_kmeans_bigdata,BO_3_0.1_RF_PI,HC_9_50,2.0113331808310155,0.04703639912306079,18.0,t-test,BO_3_0.1_RF_PI
