,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1804,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.1026150620144195,0.02183385092119516,6.0,wilcoxon,BO_3_0.1_GBRT_PI
1805,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,RANDOM,4.091482096083796,2.1861796163311083e-05,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1806,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,RANDOM,3.8716218458712532,0.00019507778587188863,12.0,t-test,BO_3_0.1_GBRT_PI
1807,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,RANDOM,2.1023337093588514,0.0380872748941923,12.0,t-test,BO_3_0.1_RF_PI
1808,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,LHS,4.615412406618537,3.747238660667719e-05,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1809,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,LHS,4.947884873383653,3.115337260464145e-06,12.0,t-test,BO_3_0.1_GBRT_PI
1810,spark1.5_naive-bayes_bigdata,BO_3_1.96_GP_LCB,LHS,2.29219510858949,0.04165919966146389,12.0,wilcoxon,BO_3_1.96_GP_LCB
1811,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,LHS,2.5300318942927604,0.011767921551724894,12.0,wilcoxon,BO_3_0.1_RF_PI
1812,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,LHS,2.5741213574004957,0.01154618624856095,12.0,t-test,BO_3_0.1_RF_PI
1813,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,3.243542251402572,0.0006829015992310286,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1814,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,3.1148483653473256,0.0024137979409021614,12.0,t-test,BO_3_0.1_GBRT_PI
1815,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.88851052781653,0.0014015051766967676,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1816,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.983427975958159,0.003597610808627283,12.0,t-test,BO_3_0.1_GBRT_PI
1817,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.4,3.315927360094871,0.00013086961423279983,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1818,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.4,3.806665797843192,0.0002454607484088669,12.0,t-test,BO_3_0.1_GBRT_PI
1819,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,TPE_9_0.4,2.063591243386163,0.04169983188785957,12.0,t-test,BO_3_0.1_RF_PI
1820,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.9574487265711014,0.0008092835876993582,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1821,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,3.551345287383048,0.0005909501740326233,12.0,t-test,BO_3_0.1_GBRT_PI
1822,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_ET_PI,2.143833543103462,0.034520531086686554,12.0,t-test,BO_3_0.1_RF_PI
1823,spark1.5_naive-bayes_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.788550139622402,0.0014673378644344203,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1824,spark1.5_naive-bayes_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.4129624981858844,0.01768241703921082,12.0,t-test,BO_3_0.1_GBRT_PI
1825,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-2.026783043384391,0.020560739563001446,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1826,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_GBRT_PI,-2.13095680006077,0.03559490303593367,12.0,t-test,BO_3_0.1_GBRT_PI
1827,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,RANDOM,2.836806878750602,0.0014332948551767863,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1828,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,RANDOM,3.538481036008021,0.0006170469497320496,18.0,t-test,BO_3_0.1_GBRT_PI
1829,spark1.5_naive-bayes_bigdata,BO_3_1.96_GP_LCB,RANDOM,1.306378866399123,0.03385912835558573,18.0,wilcoxon,BO_3_1.96_GP_LCB
1830,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,RANDOM,2.495562794915475,0.004355108526148338,18.0,wilcoxon,BO_3_0.1_RF_PI
1831,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,RANDOM,2.64042399284276,0.009636227365461082,18.0,t-test,BO_3_0.1_RF_PI
1832,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,LHS,3.9984155277651254,0.00025457705698342316,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1833,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,LHS,4.664200312797167,9.807315154173242e-06,18.0,t-test,BO_3_0.1_GBRT_PI
1834,spark1.5_naive-bayes_bigdata,BO_3_1.96_GP_LCB,LHS,2.5369257141682175,0.010555925167148292,18.0,wilcoxon,BO_3_1.96_GP_LCB
1835,spark1.5_naive-bayes_bigdata,BO_3_1.96_GP_LCB,LHS,2.3609253054228163,0.020208916122602456,18.0,t-test,BO_3_1.96_GP_LCB
1836,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,LHS,3.636489984303627,0.0008316371944715657,18.0,wilcoxon,BO_3_0.1_RF_PI
1837,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,LHS,3.8275533041620093,0.00022804230878803922,18.0,t-test,BO_3_0.1_RF_PI
1838,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,2.216363089959462,0.002203452424947983,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1839,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,2.7294981204516273,0.007520535727102164,18.0,t-test,BO_3_0.1_GBRT_PI
1840,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,HC_9_50,1.9716324843807342,0.01785165448850151,18.0,wilcoxon,BO_3_0.1_RF_PI
1841,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,HC_9_50,2.2700663001633825,0.025393715156030786,18.0,t-test,BO_3_0.1_RF_PI
1842,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.9_50,1.7303487887397353,0.007709568031604868,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1843,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.359707930983837,0.020271669660329183,18.0,t-test,BO_3_0.1_GBRT_PI
1844,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.4,3.0263869253256726,0.000504566579675842,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1845,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,TPE_9_0.4,3.8707587401487595,0.00019567736424636558,18.0,t-test,BO_3_0.1_GBRT_PI
1846,spark1.5_naive-bayes_bigdata,BO_3_1.96_GP_LCB,TPE_9_0.4,1.4718305434100936,0.03871143886377951,18.0,wilcoxon,BO_3_1.96_GP_LCB
1847,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,TPE_9_0.4,2.7540810402451164,0.003558097404938288,18.0,wilcoxon,BO_3_0.1_RF_PI
1848,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,TPE_9_0.4,3.1268161123836684,0.002326304467228106,18.0,t-test,BO_3_0.1_RF_PI
1849,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,2.112955791827605,0.007879522080085313,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1850,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,BO_3_0.1_ET_PI,3.4024204979041435,0.0009683953621062438,18.0,t-test,BO_3_0.1_GBRT_PI
1851,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_ET_PI,1.8544375464979634,0.024791500153238916,18.0,wilcoxon,BO_3_0.1_RF_PI
1852,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,BO_3_0.1_ET_PI,2.571563599913722,0.011626271663775991,18.0,t-test,BO_3_0.1_RF_PI
1853,spark1.5_naive-bayes_bigdata,SA_9_0.9_50,RANDOM,2.6472268321755315,0.0268112956012486,24.0,wilcoxon,SA_9_0.9_50
1854,spark1.5_naive-bayes_bigdata,SA_9_0.9_50,RANDOM,2.231718221347476,0.027911663992308072,24.0,t-test,SA_9_0.9_50
1855,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,RANDOM,2.91263889738063,0.0005337275229256874,24.0,wilcoxon,BO_3_0.1_GBRT_PI
1856,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,RANDOM,3.377295833070367,0.0010510873214749777,24.0,t-test,BO_3_0.1_GBRT_PI
1857,spark1.5_naive-bayes_bigdata,BO_3_1.96_GP_LCB,RANDOM,1.4821712732232792,0.009862509102545209,24.0,wilcoxon,BO_3_1.96_GP_LCB
1858,spark1.5_naive-bayes_bigdata,BO_3_1.96_GP_LCB,RANDOM,2.5500672545441763,0.012319364147698457,24.0,t-test,BO_3_1.96_GP_LCB
1859,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,RANDOM,3.1366880433329865,0.0005990595657673787,24.0,wilcoxon,BO_3_0.1_RF_PI
1860,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,RANDOM,3.2203133378977085,0.001737686390538913,24.0,t-test,BO_3_0.1_RF_PI
1861,spark1.5_naive-bayes_bigdata,HC_9_50,LHS,1.9681855744430057,0.031683211087662026,24.0,wilcoxon,HC_9_50
1862,spark1.5_naive-bayes_bigdata,SA_9_0.9_50,LHS,3.157369502959358,0.005523735708255327,24.0,wilcoxon,SA_9_0.9_50
1863,spark1.5_naive-bayes_bigdata,SA_9_0.9_50,LHS,2.57276031880604,0.011588739361234566,24.0,t-test,SA_9_0.9_50
1864,spark1.5_naive-bayes_bigdata,BO_3_0.1_ET_PI,LHS,2.478328245226832,0.044874068350301624,24.0,wilcoxon,BO_3_0.1_ET_PI
1865,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,LHS,3.4124408383512708,0.0003461599839787474,24.0,wilcoxon,BO_3_0.1_GBRT_PI
1866,spark1.5_naive-bayes_bigdata,BO_3_0.1_GBRT_PI,LHS,3.6897220038178666,0.0003688732144997674,24.0,t-test,BO_3_0.1_GBRT_PI
1867,spark1.5_naive-bayes_bigdata,BO_3_1.96_GP_LCB,LHS,1.9716324843807342,0.008571862461916506,24.0,wilcoxon,BO_3_1.96_GP_LCB
1868,spark1.5_naive-bayes_bigdata,BO_3_1.96_GP_LCB,LHS,2.898693572728035,0.004624253775983994,24.0,t-test,BO_3_1.96_GP_LCB
1869,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,LHS,3.660618353867727,0.0018007874721498007,24.0,wilcoxon,BO_3_0.1_RF_PI
1870,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,LHS,3.534909742170224,0.0006244826161760872,24.0,t-test,BO_3_0.1_RF_PI
1871,spark1.5_naive-bayes_bigdata,TPE_9_0.4,HC_9_50,-1.9849203757883116,0.0499487498298251,24.0,t-test,TPE_9_0.4
1872,spark1.5_naive-bayes_bigdata,BO_3_0.1_RF_PI,HC_9_50,1.62349458067015,0.04039624786050824,24.0,wilcoxon,BO_3_0.1_RF_PI
