,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1700,spark1.5_naive-bayes_huge,HC_9_50,RANDOM,-1.3994454347177938,0.008395551685580264,12.0,wilcoxon,RANDOM
1701,spark1.5_naive-bayes_huge,SA_9_0.9_50,RANDOM,-1.0685420806958525,0.022167905752988798,12.0,wilcoxon,RANDOM
1702,spark1.5_naive-bayes_huge,BO_3_1.96_GP_LCB,RANDOM,-2.595523183109603,0.017244671154419397,12.0,wilcoxon,RANDOM
1703,spark1.5_naive-bayes_huge,BO_3_1.96_GP_LCB,RANDOM,-2.5513588643447114,0.0122766928786266,12.0,t-test,RANDOM
1704,spark1.5_naive-bayes_huge,HC_9_50,LHS,-2.1887878104576335,0.014480739523416192,12.0,wilcoxon,LHS
1705,spark1.5_naive-bayes_huge,HC_9_50,LHS,-2.4787441818072686,0.014892982751924286,12.0,t-test,LHS
1706,spark1.5_naive-bayes_huge,SA_9_0.9_50,LHS,-1.8372029968093206,0.025771805871600155,12.0,wilcoxon,LHS
1707,spark1.5_naive-bayes_huge,SA_9_0.9_50,LHS,-2.2203429412979685,0.028699436827635524,12.0,t-test,LHS
1708,spark1.5_naive-bayes_huge,BO_3_0.1_ET_PI,LHS,-1.2167592080181804,0.035596100996720115,12.0,wilcoxon,LHS
1709,spark1.5_naive-bayes_huge,BO_3_0.1_ET_PI,LHS,-2.5444251570865557,0.01250733195437374,12.0,t-test,LHS
1710,spark1.5_naive-bayes_huge,BO_3_1.96_GP_LCB,LHS,-2.8092315992487733,0.001250878022767323,12.0,wilcoxon,LHS
1711,spark1.5_naive-bayes_huge,BO_3_1.96_GP_LCB,LHS,-3.3264613770084597,0.0012390845195547023,12.0,t-test,LHS
1712,spark1.5_naive-bayes_huge,BO_3_0.1_GBRT_PI,HC_9_50,3.1608164128970864,0.0057095442559996195,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1713,spark1.5_naive-bayes_huge,BO_3_0.1_GBRT_PI,HC_9_50,3.1958198915061073,0.001876745320383306,12.0,t-test,BO_3_0.1_GBRT_PI
