,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1994,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,RANDOM,2.9574487265711014,0.03958731091377808,18.0,wilcoxon,BO_3_0.1_RF_PI
1995,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,LHS,2.7540810402451164,0.033812237545752105,18.0,wilcoxon,BO_3_0.1_RF_PI
1996,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,SA_9_0.9_50,1.9785263042561914,0.029739812964650836,18.0,wilcoxon,BO_3_0.1_ET_PI
1997,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,SA_9_0.9_50,2.98502400607293,0.032015274946741216,18.0,wilcoxon,BO_3_0.1_RF_PI
1998,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,TPE_9_0.4,3.505507406669942,0.022175620134716356,18.0,wilcoxon,BO_3_0.1_RF_PI
1999,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,2.2853012887140327,0.0036410742302088075,18.0,wilcoxon,BO_3_0.1_RF_PI
2000,spark1.5_regression_bigdata,HC_9_50,RANDOM,2.3818147669704324,0.0268211044279625,24.0,wilcoxon,HC_9_50
2001,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,RANDOM,3.2504360712780285,0.0018569775072371907,24.0,wilcoxon,BO_3_0.1_ET_PI
2002,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,RANDOM,4.391363260666181,9.119321850238102e-05,24.0,wilcoxon,BO_3_0.1_RF_PI
2003,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,LHS,2.5059035247286605,0.012604164441261027,24.0,wilcoxon,BO_3_0.1_ET_PI
2004,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,LHS,3.5537641457981417,0.0016822264562489878,24.0,wilcoxon,BO_3_0.1_RF_PI
2005,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,HC_9_50,2.112955791827605,0.048905326952429766,24.0,wilcoxon,BO_3_0.1_RF_PI
2006,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,SA_9_0.9_50,2.0336768632598483,0.04069193939734579,24.0,wilcoxon,BO_3_0.1_ET_PI
2007,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,SA_9_0.9_50,3.3055866302816854,0.0038068225686238412,24.0,wilcoxon,BO_3_0.1_RF_PI
2008,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,TPE_9_0.4,2.667908291801903,0.030411810181886195,24.0,wilcoxon,BO_3_0.1_ET_PI
2009,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,TPE_9_0.4,3.567551785549056,0.002568887738376636,24.0,wilcoxon,BO_3_0.1_RF_PI
2010,spark1.5_regression_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,-2.0784866924503196,0.01200950884487171,24.0,wilcoxon,BO_3_0.1_ET_PI
2011,spark1.5_regression_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,-2.2271229187673622,0.02822759496181758,24.0,t-test,BO_3_0.1_ET_PI
2012,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,3.3124804501571425,0.00036588600419165917,24.0,wilcoxon,BO_3_0.1_RF_PI
2013,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,2.298965755578447,0.023630250454136418,24.0,t-test,BO_3_0.1_RF_PI
2014,spark1.5_regression_bigdata,HC_9_50,RANDOM,3.0194931054502154,0.0022774037784137695,30.0,wilcoxon,HC_9_50
2015,spark1.5_regression_bigdata,HC_9_50,RANDOM,2.3370096885742146,0.021473755113982976,30.0,t-test,HC_9_50
2016,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,RANDOM,2.9264265371315443,0.009443738665064996,30.0,wilcoxon,BO_3_0.1_ET_PI
2017,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,RANDOM,4.336212701662524,0.000133909771287712,30.0,wilcoxon,BO_3_0.1_RF_PI
2018,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,RANDOM,4.207269718133362,5.727955662665068e-05,30.0,t-test,BO_3_0.1_RF_PI
2019,spark1.5_regression_bigdata,HC_9_50,LHS,2.7230588508055598,0.0232169202833429,30.0,wilcoxon,HC_9_50
2020,spark1.5_regression_bigdata,BO_3_0.1_ET_PI,LHS,2.633439192424617,0.013561986136987206,30.0,wilcoxon,BO_3_0.1_ET_PI
2021,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,LHS,4.025990807266954,0.0001100613538716378,30.0,wilcoxon,BO_3_0.1_RF_PI
2022,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,LHS,3.7905631028864386,0.00025974648055120407,30.0,t-test,BO_3_0.1_RF_PI
2023,spark1.5_regression_bigdata,SA_9_0.9_50,HC_9_50,-1.9612917545675486,0.003307633977454777,30.0,wilcoxon,HC_9_50
2024,spark1.5_regression_bigdata,TPE_9_0.4,HC_9_50,-2.8919574377542587,0.02705017716022166,30.0,wilcoxon,HC_9_50
2025,spark1.5_regression_bigdata,TPE_9_0.4,HC_9_50,-2.2476009294431147,0.026843427948690924,30.0,t-test,HC_9_50
2026,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,SA_9_0.9_50,3.4055470184758136,0.0012431139864857669,30.0,wilcoxon,BO_3_0.1_RF_PI
2027,spark1.5_regression_bigdata,BO_3_0.1_RF_PI,SA_9_0.9_50,3.2140975388595265,0.001772035270898982,30.0,t-test,BO_3_0.1_RF_PI
