,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
730,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,1.9406102949411772,0.013375041706431348,6.0,wilcoxon,BO_3_1.96_GP_LCB
731,spark_join_huge,BO_3_1.96_GP_LCB,LHS,2.230150729710376,0.04173780258840442,6.0,wilcoxon,BO_3_1.96_GP_LCB
732,spark_join_huge,BO_3_1.96_GP_LCB,HC_9_50,1.9406102949411772,0.013375041706431348,6.0,wilcoxon,BO_3_1.96_GP_LCB
733,spark_join_huge,BO_3_1.96_GP_LCB,SA_9_0.9_50,1.9406102949411772,0.013375041706431348,6.0,wilcoxon,BO_3_1.96_GP_LCB
734,spark_join_huge,BO_3_1.96_GP_LCB,TPE_9_0.4,1.9406102949411772,0.013375041706431348,6.0,wilcoxon,BO_3_1.96_GP_LCB
735,spark_join_huge,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,2.581735543358689,0.0007718346719256355,6.0,wilcoxon,BO_3_1.96_GP_LCB
736,spark_join_huge,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,2.357302174775609,0.02039619002964074,6.0,t-test,BO_3_1.96_GP_LCB
737,spark_join_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-2.2060223601462763,0.01790247319111875,6.0,wilcoxon,BO_3_1.96_GP_LCB
738,spark_join_huge,BO_3_0.1_RF_PI,BO_3_1.96_GP_LCB,-2.3107937799415392,0.022940194520858156,6.0,t-test,BO_3_1.96_GP_LCB
739,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,2.9884709160106584,0.004116051407671253,12.0,wilcoxon,BO_3_1.96_GP_LCB
740,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,2.3571043093624016,0.020406461499546818,12.0,t-test,BO_3_1.96_GP_LCB
741,spark_join_huge,BO_3_0.1_RF_PI,RANDOM,2.764421770058302,0.02535268202665449,12.0,wilcoxon,BO_3_0.1_RF_PI
742,spark_join_huge,BO_3_0.1_ET_PI,LHS,2.5300318942927604,0.00844614441337093,12.0,wilcoxon,BO_3_0.1_ET_PI
743,spark_join_huge,BO_3_0.1_ET_PI,LHS,2.386033537778229,0.018952453437634582,12.0,t-test,BO_3_0.1_ET_PI
744,spark_join_huge,BO_3_1.96_GP_LCB,LHS,3.4848259470435705,0.002846290906960647,12.0,wilcoxon,BO_3_1.96_GP_LCB
745,spark_join_huge,BO_3_1.96_GP_LCB,LHS,3.1612316688668676,0.0020908592036365963,12.0,t-test,BO_3_1.96_GP_LCB
746,spark_join_huge,BO_3_0.1_RF_PI,LHS,3.1677102327725435,0.004161724613166929,12.0,wilcoxon,BO_3_0.1_RF_PI
747,spark_join_huge,BO_3_0.1_RF_PI,LHS,2.336721505286589,0.02148941392476657,12.0,t-test,BO_3_0.1_RF_PI
748,spark_join_huge,BO_3_1.96_GP_LCB,HC_9_50,2.69893048124146,0.001750118346164474,12.0,wilcoxon,BO_3_1.96_GP_LCB
749,spark_join_huge,BO_3_1.96_GP_LCB,HC_9_50,2.53064973404203,0.012977140794342087,12.0,t-test,BO_3_1.96_GP_LCB
750,spark_join_huge,BO_3_0.1_ET_PI,SA_9_0.9_50,1.9509510247543629,0.04976588159443195,12.0,wilcoxon,BO_3_0.1_ET_PI
751,spark_join_huge,BO_3_1.96_GP_LCB,SA_9_0.9_50,2.9333203570070014,0.0016302871956394417,12.0,wilcoxon,BO_3_1.96_GP_LCB
752,spark_join_huge,BO_3_1.96_GP_LCB,SA_9_0.9_50,2.6034716864836107,0.010662145506070243,12.0,t-test,BO_3_1.96_GP_LCB
753,spark_join_huge,LHS,RANDOM,-1.3167195962123086,0.04129959816803283,18.0,wilcoxon,LHS
754,spark_join_huge,HC_9_50,RANDOM,-2.011499438806739,0.04701853641966324,18.0,t-test,HC_9_50
755,spark_join_huge,SA_9_0.9_50,RANDOM,-1.1788431987031662,0.022272563439412724,18.0,wilcoxon,SA_9_0.9_50
756,spark_join_huge,SA_9_0.9_50,RANDOM,-2.3065829071047,0.023183795701499654,18.0,t-test,SA_9_0.9_50
757,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,2.705824301116917,0.001221503242558974,18.0,wilcoxon,BO_3_1.96_GP_LCB
758,spark_join_huge,BO_3_1.96_GP_LCB,RANDOM,2.806845033440795,0.006036420266937134,18.0,t-test,BO_3_1.96_GP_LCB
759,spark_join_huge,BO_3_0.1_RF_PI,RANDOM,3.5641048756113274,0.0050538730860803,18.0,wilcoxon,BO_3_0.1_RF_PI
760,spark_join_huge,BO_3_0.1_RF_PI,RANDOM,2.9176421658879446,0.004373683611091395,18.0,t-test,BO_3_0.1_RF_PI
761,spark_join_huge,BO_3_0.1_ET_PI,LHS,2.8402537886883303,0.0024568185122272627,18.0,wilcoxon,BO_3_0.1_ET_PI
762,spark_join_huge,BO_3_0.1_ET_PI,LHS,3.164969347276881,0.0020666703714665416,18.0,t-test,BO_3_0.1_ET_PI
763,spark_join_huge,BO_3_0.1_GBRT_PI,LHS,3.3745248290362566,0.02905008753525211,18.0,wilcoxon,BO_3_0.1_GBRT_PI
764,spark_join_huge,BO_3_0.1_GBRT_PI,LHS,2.421571900393263,0.017292661939799895,18.0,t-test,BO_3_0.1_GBRT_PI
765,spark_join_huge,BO_3_1.96_GP_LCB,LHS,3.8950082296332686,8.774269855123978e-05,18.0,wilcoxon,BO_3_1.96_GP_LCB
766,spark_join_huge,BO_3_1.96_GP_LCB,LHS,4.301577651896677,4.0144910420602575e-05,18.0,t-test,BO_3_1.96_GP_LCB
767,spark_join_huge,BO_3_0.1_RF_PI,LHS,4.722266614688122,0.00014873841877203927,18.0,wilcoxon,BO_3_0.1_RF_PI
768,spark_join_huge,BO_3_0.1_RF_PI,LHS,4.36701334564606,3.128410775009958e-05,18.0,t-test,BO_3_0.1_RF_PI
769,spark_join_huge,BO_3_0.1_ET_PI,HC_9_50,1.9095881055016202,0.011289235868028328,18.0,wilcoxon,BO_3_0.1_ET_PI
770,spark_join_huge,BO_3_0.1_ET_PI,HC_9_50,2.9420923392788376,0.0040688258952859,18.0,t-test,BO_3_0.1_ET_PI
771,spark_join_huge,BO_3_0.1_GBRT_PI,HC_9_50,2.4886689750400177,0.02713278701119565,18.0,wilcoxon,BO_3_0.1_GBRT_PI
772,spark_join_huge,BO_3_0.1_GBRT_PI,HC_9_50,2.5440226399742034,0.012520839938803319,18.0,t-test,BO_3_0.1_GBRT_PI
