,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
978,spark_lr_huge,BO_3_0.1_ET_PI,RANDOM,2.199128540270819,0.027943826331072452,12.0,wilcoxon,BO_3_0.1_ET_PI
979,spark_lr_huge,BO_3_0.1_GBRT_PI,RANDOM,2.795443959497859,0.0015295532354126532,12.0,wilcoxon,BO_3_0.1_GBRT_PI
980,spark_lr_huge,BO_3_0.1_GBRT_PI,RANDOM,2.620925817955355,0.01016586202216894,12.0,t-test,BO_3_0.1_GBRT_PI
981,spark_lr_huge,BO_3_0.1_GBRT_PI,LHS,2.0171318646444645,0.046416804414736015,12.0,t-test,BO_3_0.1_GBRT_PI
982,spark_lr_huge,BO_3_0.1_ET_PI,HC_9_50,2.8540414284392446,0.0037121015607462864,12.0,wilcoxon,BO_3_0.1_ET_PI
983,spark_lr_huge,BO_3_0.1_ET_PI,HC_9_50,2.516771657034696,0.013466418147249899,12.0,t-test,BO_3_0.1_ET_PI
984,spark_lr_huge,BO_3_0.1_GBRT_PI,HC_9_50,3.3848655588494423,8.834714499857898e-05,12.0,wilcoxon,BO_3_0.1_GBRT_PI
985,spark_lr_huge,BO_3_0.1_GBRT_PI,HC_9_50,3.344112214190807,0.0011704954531266787,12.0,t-test,BO_3_0.1_GBRT_PI
986,spark_lr_huge,BO_3_0.1_RF_PI,HC_9_50,2.168106350831262,0.023744854480140444,12.0,wilcoxon,BO_3_0.1_RF_PI
987,spark_lr_huge,BO_3_0.1_RF_PI,HC_9_50,2.047399110572699,0.04329479802789432,12.0,t-test,BO_3_0.1_RF_PI
988,spark_lr_huge,BO_3_0.1_ET_PI,SA_9_0.9_50,2.7782094098092163,0.004520042059694897,12.0,wilcoxon,BO_3_0.1_ET_PI
989,spark_lr_huge,BO_3_0.1_ET_PI,SA_9_0.9_50,2.383073749996741,0.01909687043258322,12.0,t-test,BO_3_0.1_ET_PI
990,spark_lr_huge,BO_3_0.1_GBRT_PI,SA_9_0.9_50,3.291798990530771,0.00012978351474452255,12.0,wilcoxon,BO_3_0.1_GBRT_PI
991,spark_lr_huge,BO_3_0.1_GBRT_PI,SA_9_0.9_50,3.2207013616715336,0.0017355628949763471,12.0,t-test,BO_3_0.1_GBRT_PI
992,spark_lr_huge,BO_3_0.1_RF_PI,SA_9_0.9_50,2.050911412948491,0.04234927406022988,12.0,wilcoxon,BO_3_0.1_RF_PI
993,spark_lr_huge,BO_3_0.1_GBRT_PI,TPE_9_0.4,2.3025358384026755,0.0034690122119236905,12.0,wilcoxon,BO_3_0.1_GBRT_PI
