,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1357,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,LHS,-2.595523183109603,0.02731811470958845,6.0,wilcoxon,LHS
1358,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,LHS,-2.045567205723014,0.043478498969630575,6.0,t-test,LHS
1359,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-1.4097861645309795,0.03398589306401127,6.0,wilcoxon,BO_3_0.1_GBRT_PI
1360,spark_pagerank_bigdata,BO_3_0.1_GBRT_PI,RANDOM,2.0957212421389624,0.020602422966300778,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1361,spark_pagerank_bigdata,BO_3_0.1_GBRT_PI,RANDOM,2.203613935564921,0.02989327274747104,12.0,t-test,BO_3_0.1_GBRT_PI
1362,spark_pagerank_bigdata,BO_3_0.1_RF_PI,RANDOM,2.550713353919132,0.005056451477968144,12.0,wilcoxon,BO_3_0.1_RF_PI
1363,spark_pagerank_bigdata,BO_3_0.1_RF_PI,RANDOM,2.6255747057790746,0.01003724722813431,12.0,t-test,BO_3_0.1_RF_PI
1364,spark_pagerank_bigdata,HC_9_50,LHS,-1.9785263042561914,0.04447181274059479,12.0,wilcoxon,LHS
1365,spark_pagerank_bigdata,HC_9_50,LHS,-2.13988991460146,0.03484654022140401,12.0,t-test,LHS
1366,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,LHS,-2.044017593073034,0.03518143560316088,12.0,wilcoxon,LHS
1367,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,LHS,-2.0877788794419403,0.03941146157867534,12.0,t-test,LHS
1368,spark_pagerank_bigdata,TPE_9_0.4,HC_9_50,1.4649367235346364,0.02637286010203135,12.0,wilcoxon,TPE_9_0.4
1369,spark_pagerank_bigdata,BO_3_0.1_ET_PI,HC_9_50,2.149903284211421,0.03402393175308064,12.0,t-test,BO_3_0.1_ET_PI
1370,spark_pagerank_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,3.0574091147652296,0.0013026735238173338,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1371,spark_pagerank_bigdata,BO_3_0.1_GBRT_PI,HC_9_50,3.2732847914692997,0.0014691895402592738,12.0,t-test,BO_3_0.1_GBRT_PI
1372,spark_pagerank_bigdata,BO_3_0.1_RF_PI,HC_9_50,3.4710383072926563,0.00046298315641339014,12.0,wilcoxon,BO_3_0.1_RF_PI
1373,spark_pagerank_bigdata,BO_3_0.1_RF_PI,HC_9_50,3.673888490638951,0.0003895415333595453,12.0,t-test,BO_3_0.1_RF_PI
1374,spark_pagerank_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.8643821582524303,0.0016147178450038864,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1375,spark_pagerank_bigdata,BO_3_0.1_GBRT_PI,SA_9_0.9_50,3.0485841129947313,0.0029561330399133,12.0,t-test,BO_3_0.1_GBRT_PI
1376,spark_pagerank_bigdata,BO_3_0.1_RF_PI,SA_9_0.9_50,3.209073152025286,0.0007068764463681741,12.0,wilcoxon,BO_3_0.1_RF_PI
1377,spark_pagerank_bigdata,BO_3_0.1_RF_PI,SA_9_0.9_50,3.454229080052962,0.0008168082470602045,12.0,t-test,BO_3_0.1_RF_PI
1378,spark_pagerank_bigdata,BO_3_0.1_RF_PI,TPE_9_0.4,2.354239487468604,0.016883325946202697,12.0,wilcoxon,BO_3_0.1_RF_PI
1379,spark_pagerank_bigdata,BO_3_0.1_RF_PI,TPE_9_0.4,2.384782157392304,0.01901339333854241,12.0,t-test,BO_3_0.1_RF_PI
1380,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,-2.075039782512591,0.02028328526399867,12.0,wilcoxon,BO_3_0.1_ET_PI
1381,spark_pagerank_bigdata,BO_3_1.96_GP_LCB,BO_3_0.1_ET_PI,-2.094939787731848,0.03875508871866089,12.0,t-test,BO_3_0.1_ET_PI
