,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1218,spark_pagerank_huge,BO_3_0.1_ET_PI,LHS,-2.3714740371572467,0.01629228069226499,6.0,wilcoxon,LHS
1219,spark_pagerank_huge,BO_3_0.1_ET_PI,LHS,-2.392549110984078,0.018637950807991584,6.0,t-test,LHS
1220,spark_pagerank_huge,BO_3_0.1_GBRT_PI,RANDOM,2.7678686799960306,0.04218852295743796,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1221,spark_pagerank_huge,BO_3_0.1_ET_PI,HC_9_50,2.048492258482555,0.04318549616556886,12.0,t-test,BO_3_0.1_ET_PI
1222,spark_pagerank_huge,BO_3_0.1_GBRT_PI,HC_9_50,2.974683276259744,0.011562513468709925,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1223,spark_pagerank_huge,BO_3_0.1_GBRT_PI,HC_9_50,2.2915700067755953,0.024070958108891854,12.0,t-test,BO_3_0.1_GBRT_PI
1224,spark_pagerank_huge,BO_3_0.1_RF_PI,HC_9_50,2.0888274222635053,0.04296205093405938,12.0,wilcoxon,BO_3_0.1_RF_PI
1225,spark_pagerank_huge,BO_3_0.1_RF_PI,HC_9_50,2.2278684635431065,0.0281761264526892,12.0,t-test,BO_3_0.1_RF_PI
1226,spark_pagerank_huge,BO_3_0.1_ET_PI,SA_9_0.9_50,1.9906336580603525,0.04930609578899529,12.0,t-test,BO_3_0.1_ET_PI
1227,spark_pagerank_huge,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.833359968812873,0.01477602184210478,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1228,spark_pagerank_huge,BO_3_0.1_GBRT_PI,SA_9_0.9_50,2.237011361805919,0.02755159573831623,12.0,t-test,BO_3_0.1_GBRT_PI
1229,spark_pagerank_huge,BO_3_0.1_RF_PI,SA_9_0.9_50,2.1690847381835567,0.03249513361081705,12.0,t-test,BO_3_0.1_RF_PI
1230,spark_pagerank_huge,BO_3_1.96_GP_LCB,BO_3_0.1_GBRT_PI,-2.323217298029047,0.03702690768669814,12.0,wilcoxon,BO_3_0.1_GBRT_PI
1231,spark_pagerank_huge,HC_9_50,RANDOM,-1.4959589129741935,0.010419276537659677,18.0,wilcoxon,RANDOM
1232,spark_pagerank_huge,HC_9_50,RANDOM,-2.5059266326964518,0.013860216260559253,18.0,t-test,RANDOM
1233,spark_pagerank_huge,BO_3_0.1_ET_PI,RANDOM,1.9440572048789058,0.030282337448532304,18.0,wilcoxon,BO_3_0.1_ET_PI
1234,spark_pagerank_huge,BO_3_0.1_GBRT_PI,RANDOM,3.667512173743184,0.00010666289159066804,18.0,wilcoxon,BO_3_0.1_GBRT_PI
1235,spark_pagerank_huge,BO_3_0.1_GBRT_PI,RANDOM,4.199614543168332,5.8943982247874205e-05,18.0,t-test,BO_3_0.1_GBRT_PI
1236,spark_pagerank_huge,BO_3_0.1_RF_PI,RANDOM,3.9742871582010255,0.00042320015338296636,18.0,wilcoxon,BO_3_0.1_RF_PI
1237,spark_pagerank_huge,BO_3_0.1_RF_PI,RANDOM,2.9734771996709295,0.003706201415522052,18.0,t-test,BO_3_0.1_RF_PI
1238,spark_pagerank_huge,HC_9_50,LHS,-2.3714740371572467,0.011400864848293881,18.0,wilcoxon,LHS
