,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
26,spark_lda_gigantic,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,2.3576863974063325,0.016686463770756766,18.0,wilcoxon,BO_3_0.1_ET_PI
27,spark_lda_gigantic,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,2.144022238396789,0.03450499869466165,18.0,t-test,BO_3_0.1_ET_PI
28,spark_lda_gigantic,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,2.2370445495858333,0.0029409226806602212,18.0,wilcoxon,BO_6_1.0_ET_LCB
29,spark_lda_gigantic,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,2.2972493972844616,0.023731888775980557,18.0,t-test,BO_6_1.0_ET_LCB
30,spark_lda_gigantic,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,2.092274332201234,0.03464094677049843,24.0,wilcoxon,BO_3_0.1_ET_PI
31,spark_lda_gigantic,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,2.8609352483147017,0.0005179639105854212,24.0,wilcoxon,BO_6_1.0_ET_LCB
32,spark_lda_gigantic,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,3.2762656927597833,0.0014552985493352776,24.0,t-test,BO_6_1.0_ET_LCB
33,spark_lda_gigantic,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,2.4438591458495464,0.012189506118894498,30.0,wilcoxon,BO_3_0.1_ET_PI
34,spark_lda_gigantic,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,2.4009698348704727,0.01823835994270008,30.0,t-test,BO_3_0.1_ET_PI
35,spark_lda_gigantic,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,3.6502776240545414,0.00012174607872123522,30.0,wilcoxon,BO_6_1.0_ET_LCB
36,spark_lda_gigantic,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,4.195492975677914,5.9859271209673565e-05,30.0,t-test,BO_6_1.0_ET_LCB
