,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
5,spark_linear_gigantic,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,3.0332807452011297,8.579437771217431e-05,18.0,wilcoxon,BO_3_0.1_ET_PI
6,spark_linear_gigantic,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,3.790259623224517,0.00026002316889571974,18.0,t-test,BO_3_0.1_ET_PI
7,spark_linear_gigantic,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,1.4201268943441652,0.016415741845045566,18.0,wilcoxon,BO_6_1.0_ET_LCB
8,spark_linear_gigantic,BO_6_1.0_ET_LCB,BO_3_0.1_ET_PI,-1.6717513197983498,0.01482847315319028,18.0,wilcoxon,BO_3_0.1_ET_PI
9,spark_linear_gigantic,BO_6_1.0_ET_LCB,BO_3_0.1_ET_PI,-2.178644781505362,0.03175574083084785,18.0,t-test,BO_3_0.1_ET_PI
10,spark_linear_gigantic,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,4.563708757552608,4.6181676839085105e-06,24.0,wilcoxon,BO_3_0.1_ET_PI
11,spark_linear_gigantic,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,5.47318574573501,3.399663191355034e-07,24.0,t-test,BO_3_0.1_ET_PI
12,spark_linear_gigantic,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,1.62349458067015,0.032428155739526586,24.0,wilcoxon,BO_6_1.0_ET_LCB
13,spark_linear_gigantic,BO_6_1.0_ET_LCB,BO_3_0.1_ET_PI,-3.226307701713929,0.00020096611158174925,24.0,wilcoxon,BO_3_0.1_ET_PI
14,spark_linear_gigantic,BO_6_1.0_ET_LCB,BO_3_0.1_ET_PI,-3.913263827749163,0.0001681446867754051,24.0,t-test,BO_3_0.1_ET_PI
15,spark_linear_gigantic,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,4.353447251351167,4.129790588891719e-06,30.0,wilcoxon,BO_3_0.1_ET_PI
16,spark_linear_gigantic,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,5.017524847858462,2.3379316639681797e-06,30.0,t-test,BO_3_0.1_ET_PI
17,spark_linear_gigantic,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,1.9371633850034486,0.011115755954068123,30.0,wilcoxon,BO_6_1.0_ET_LCB
18,spark_linear_gigantic,BO_6_1.0_ET_LCB,BO_3_0.1_ET_PI,-2.3335580278422325,0.0002910018345614676,30.0,wilcoxon,BO_3_0.1_ET_PI
19,spark_linear_gigantic,BO_6_1.0_ET_LCB,BO_3_0.1_ET_PI,-3.246291596091587,0.0016007477924025817,30.0,t-test,BO_3_0.1_ET_PI
