,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
37,spark_rf_huge,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,1.926822655190263,0.013131923502826107,12.0,wilcoxon,BO_3_0.1_ET_PI
38,spark_rf_huge,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,2.3666651028388928,0.019915352422527257,12.0,t-test,BO_3_0.1_ET_PI
39,spark_rf_huge,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,1.8716720961866062,0.0028543571163834078,12.0,wilcoxon,BO_6_1.0_ET_LCB
40,spark_rf_huge,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,4.239699223406125,2.27817985798262e-05,18.0,wilcoxon,BO_3_0.1_ET_PI
41,spark_rf_huge,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,4.839779517345805,4.843840967447914e-06,18.0,t-test,BO_3_0.1_ET_PI
42,spark_rf_huge,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,3.188391692398915,0.0003595481520719482,18.0,wilcoxon,BO_6_1.0_ET_LCB
43,spark_rf_huge,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,3.1135529521217835,0.0024234496524946666,18.0,t-test,BO_6_1.0_ET_LCB
44,spark_rf_huge,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,4.863589922134993,9.800035938929261e-06,24.0,wilcoxon,BO_3_0.1_ET_PI
45,spark_rf_huge,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,5.115759305565431,1.553892622991736e-06,24.0,t-test,BO_3_0.1_ET_PI
46,spark_rf_huge,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,4.236252313468396,3.943773714153765e-05,24.0,wilcoxon,BO_6_1.0_ET_LCB
47,spark_rf_huge,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,4.239456850780768,5.076275467302029e-05,24.0,t-test,BO_6_1.0_ET_LCB
48,spark_rf_huge,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,4.939421940765022,2.1786118607265662e-06,30.0,wilcoxon,BO_3_0.1_ET_PI
49,spark_rf_huge,BO_3_0.1_ET_PI,BO_6_0.01_ET_EI,5.554336076813497,2.3911387465283116e-07,30.0,t-test,BO_3_0.1_ET_PI
50,spark_rf_huge,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,4.96699722026685,1.0400206022191058e-06,30.0,wilcoxon,BO_6_1.0_ET_LCB
51,spark_rf_huge,BO_6_1.0_ET_LCB,BO_6_0.01_ET_EI,5.202934133576666,1.0777222927896459e-06,30.0,t-test,BO_6_1.0_ET_LCB
