,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
0,spark_linear_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_6_0.1_GP_EI,1.9612917545675486,0.025454204058457067,12.0,wilcoxon,BO_3_0.01_1.0_GP_GP_HEDGE
1,spark_linear_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_6_0.1_GP_EI,1.6751982297360783,0.04111454270231145,24.0,wilcoxon,BO_3_0.01_1.0_GP_GP_HEDGE
2,spark_linear_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_6_0.1_GP_EI,2.252817761477842,0.026500461339664216,24.0,t-test,BO_3_0.01_1.0_GP_GP_HEDGE
3,spark_linear_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_6_1.0_GP_LCB,1.9967055722370028,0.0486308358986405,24.0,t-test,BO_3_0.01_1.0_GP_GP_HEDGE
4,spark_linear_huge,BO_3_0.01_GP_PI,BO_6_0.1_GP_EI,1.282250496835023,0.016849278483214165,30.0,wilcoxon,BO_3_0.01_GP_PI
5,spark_linear_huge,BO_3_0.01_GP_PI,BO_6_0.1_GP_EI,2.15929652196571,0.03326764234241858,30.0,t-test,BO_3_0.01_GP_PI
6,spark_linear_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_6_0.1_GP_EI,2.10017884174873,0.03828086750490585,30.0,t-test,BO_3_0.01_1.0_GP_GP_HEDGE
7,spark_linear_huge,BO_6_1.0_GP_LCB,BO_3_0.01_GP_PI,-1.6200476707324216,0.03162087240817505,30.0,wilcoxon,BO_6_1.0_GP_LCB
8,spark_linear_huge,BO_6_1.0_GP_LCB,BO_3_0.01_GP_PI,-2.2373000211901886,0.02753207705566428,30.0,t-test,BO_6_1.0_GP_LCB
9,spark_linear_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_6_1.0_GP_LCB,2.1774747985329608,0.03184543597717652,30.0,t-test,BO_3_0.01_1.0_GP_GP_HEDGE
