,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
6,spark_linear_gigantic,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,3.1539225930216293,0.004209848274762763,18.0,wilcoxon,BO_3_0.2_RF_PI
7,spark_linear_gigantic,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,2.982941354675981,0.0036028521225809893,18.0,t-test,BO_3_0.2_RF_PI
8,spark_linear_gigantic,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.8161254191242304,0.013325110870452971,18.0,wilcoxon,BO_3_0.2_RF_PI
9,spark_linear_gigantic,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.7750422360261933,0.0066108259168327944,18.0,t-test,BO_3_0.2_RF_PI
10,spark_linear_gigantic,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,3.7261096426845697,0.0005283957124092975,24.0,wilcoxon,BO_3_0.2_RF_PI
11,spark_linear_gigantic,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,3.8265539943140894,0.00022884810946168717,24.0,t-test,BO_3_0.2_RF_PI
12,spark_linear_gigantic,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.540372624105946,0.01468867582370029,24.0,wilcoxon,BO_3_0.2_RF_PI
13,spark_linear_gigantic,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.934368666388416,0.004162945134622825,24.0,t-test,BO_3_0.2_RF_PI
14,spark_linear_gigantic,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,3.278011350779857,0.00015534341059980782,30.0,wilcoxon,BO_3_0.2_RF_PI
15,spark_linear_gigantic,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,4.366562783392183,3.133811263659774e-05,30.0,t-test,BO_3_0.2_RF_PI
16,spark_linear_gigantic,BO_3_1.0_RF_LCB,BO_3_0.01_RF_EI,1.7372426086151924,0.04594317350038924,30.0,wilcoxon,BO_3_1.0_RF_LCB
17,spark_linear_gigantic,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.454494604933275,0.015871855836652505,30.0,t-test,BO_3_0.2_RF_PI
