,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
31,spark_rf_huge,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,3.364184099223071,0.0020661446695244357,18.0,wilcoxon,BO_3_0.2_RF_PI
32,spark_rf_huge,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,3.27058047676898,0.0014818988676213087,18.0,t-test,BO_3_0.2_RF_PI
33,spark_rf_huge,BO_3_1.0_RF_LCB,BO_3_0.01_RF_EI,1.902694285626163,0.0487587166385404,18.0,wilcoxon,BO_3_1.0_RF_LCB
34,spark_rf_huge,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,3.4848259470435705,0.0007379511468450859,24.0,wilcoxon,BO_3_0.2_RF_PI
35,spark_rf_huge,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,3.5202730044255284,0.0006558506489519917,24.0,t-test,BO_3_0.2_RF_PI
36,spark_rf_huge,BO_3_1.0_RF_LCB,BO_3_0.01_RF_EI,2.5782886334209603,0.026103985649965612,24.0,wilcoxon,BO_3_1.0_RF_LCB
37,spark_rf_huge,BO_3_1.0_RF_LCB,BO_3_0.01_RF_EI,2.0978619517368746,0.03848996316771765,24.0,t-test,BO_3_1.0_RF_LCB
38,spark_rf_huge,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,4.046672266893325,0.000164046723645178,30.0,wilcoxon,BO_3_0.2_RF_PI
39,spark_rf_huge,BO_3_0.2_RF_PI,BO_3_0.01_RF_EI,4.323871681878698,3.688411539166314e-05,30.0,t-test,BO_3_0.2_RF_PI
40,spark_rf_huge,BO_3_1.0_RF_LCB,BO_3_0.01_RF_EI,3.226307701713929,0.004806231632707897,30.0,wilcoxon,BO_3_1.0_RF_LCB
41,spark_rf_huge,BO_3_1.0_RF_LCB,BO_3_0.01_RF_EI,2.5934104183563043,0.010958063613930716,30.0,t-test,BO_3_1.0_RF_LCB
