,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
0,spark_linear_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,4.0570129967065105,1.4236584605490731e-06,12.0,wilcoxon,BO_3_1.0_GP_LCB
1,spark_linear_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,4.987074502381545,2.651300736112491e-06,12.0,t-test,BO_3_1.0_GP_LCB
2,spark_linear_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,4.594730946992166,5.425621038369836e-07,12.0,wilcoxon,BO_3_1.0_GP_LCB
3,spark_linear_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,5.713221139772865,1.192284885953697e-07,12.0,t-test,BO_3_1.0_GP_LCB
4,spark_linear_huge,BO_3_0.01_1.5_GP_GP_HEDGE,BO_3_1.0_GP_LCB,-3.739897282435484,4.476321431719006e-06,12.0,wilcoxon,BO_3_1.0_GP_LCB
5,spark_linear_huge,BO_3_0.01_1.5_GP_GP_HEDGE,BO_3_1.0_GP_LCB,-4.381034704610819,2.9647654283021407e-05,12.0,t-test,BO_3_1.0_GP_LCB
6,spark_linear_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,1.530428012351479,0.003017868357565107,18.0,wilcoxon,BO_3_1.0_GP_LCB
7,spark_linear_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,3.346355363785618,0.0011620384967050027,18.0,t-test,BO_3_1.0_GP_LCB
8,spark_linear_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,2.2198099998971905,0.001263102392952794,18.0,wilcoxon,BO_3_1.0_GP_LCB
9,spark_linear_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,3.732474867451086,0.0003181402345729185,18.0,t-test,BO_3_1.0_GP_LCB
10,spark_linear_huge,BO_3_0.01_1.5_GP_GP_HEDGE,BO_3_1.0_GP_LCB,-3.053962204827501,0.00017775455315973174,18.0,wilcoxon,BO_3_0.01_1.5_GP_GP_HEDGE
11,spark_linear_huge,BO_3_0.01_1.5_GP_GP_HEDGE,BO_3_1.0_GP_LCB,-4.1422854707791625,7.297300845155678e-05,18.0,t-test,BO_3_1.0_GP_LCB
