,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
26,spark_lda_gigantic,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,2.0784866924503196,0.005685571675836858,18.0,wilcoxon,BO_6_0.05_RF_PI
27,spark_lda_gigantic,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,2.0752426612236197,0.04058362124363684,18.0,t-test,BO_6_0.05_RF_PI
28,spark_lda_gigantic,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,1.62349458067015,0.03301024225828893,18.0,wilcoxon,BO_9_1.0_RF_LCB
29,spark_lda_gigantic,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,2.471434425351375,0.009294837985988635,24.0,wilcoxon,BO_6_0.05_RF_PI
30,spark_lda_gigantic,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,2.4048591875159304,0.018056382201214978,24.0,t-test,BO_6_0.05_RF_PI
31,spark_lda_gigantic,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,2.1164027017653337,0.013981552350620794,24.0,wilcoxon,BO_9_1.0_RF_LCB
32,spark_lda_gigantic,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,2.4781364563843904,0.01491683943543458,24.0,t-test,BO_9_1.0_RF_LCB
33,spark_lda_gigantic,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,1.9164819253770773,0.018147168406111625,30.0,wilcoxon,BO_6_0.05_RF_PI
34,spark_lda_gigantic,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,2.001306712392711,0.048124406783932226,30.0,t-test,BO_6_0.05_RF_PI
35,spark_lda_gigantic,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,2.0216953161500673,0.04593411324044994,30.0,t-test,BO_9_1.0_RF_LCB
