,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
14,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,2.343898757655418,0.010462503735157691,18.0,wilcoxon,BO_9_1.0_RF_LCB
15,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,2.4085480309841616,0.017885279791968224,18.0,t-test,BO_9_1.0_RF_LCB
16,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,2.0888274222635053,0.020653830322288628,18.0,wilcoxon,BO_9_1.0_RF_LCB
17,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,2.0445178698205475,0.04358402580659798,18.0,t-test,BO_9_1.0_RF_LCB
18,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,3.5399765060472275,0.0003567188007054052,24.0,wilcoxon,BO_9_1.0_RF_LCB
19,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,3.485078386704629,0.0007374734235881426,24.0,t-test,BO_9_1.0_RF_LCB
20,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,3.6158085246772558,9.987759684229438e-05,24.0,wilcoxon,BO_9_1.0_RF_LCB
21,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,3.607692098112103,0.0004884537278709563,24.0,t-test,BO_9_1.0_RF_LCB
22,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,4.136291925274268,5.418739867537826e-05,30.0,wilcoxon,BO_9_1.0_RF_LCB
23,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,4.680525745008768,9.190313086101436e-06,30.0,t-test,BO_9_1.0_RF_LCB
24,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,3.91568968925964,7.693812566213317e-05,30.0,wilcoxon,BO_9_1.0_RF_LCB
25,spark_lda_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,4.333538710981538,3.555093535294148e-05,30.0,t-test,BO_9_1.0_RF_LCB
