,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
0,spark_linear_huge,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,-2.305982748340404,0.015455905084346775,18.0,wilcoxon,BO_6_0.01_RF_EI
1,spark_linear_huge,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,-2.265090812327599,0.025708721227652,18.0,t-test,BO_6_0.01_RF_EI
2,spark_linear_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,2.974683276259744,0.0016321198606557485,18.0,wilcoxon,BO_9_1.0_RF_LCB
3,spark_linear_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,2.732840256868446,0.007450090831830467,18.0,t-test,BO_9_1.0_RF_LCB
4,spark_linear_huge,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,-2.954001816633373,0.011249569099041366,24.0,wilcoxon,BO_6_0.01_RF_EI
5,spark_linear_huge,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,-2.3241192995090802,0.02218411788304077,24.0,t-test,BO_6_0.01_RF_EI
6,spark_linear_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,3.65372453399227,0.0006139868273024185,24.0,wilcoxon,BO_9_1.0_RF_LCB
7,spark_linear_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,2.991496961382713,0.003511721259275952,24.0,t-test,BO_9_1.0_RF_LCB
8,spark_linear_huge,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,-3.0194931054502154,0.010162372937048516,30.0,wilcoxon,BO_6_0.01_RF_EI
9,spark_linear_huge,BO_6_0.05_RF_PI,BO_6_0.01_RF_EI,-2.520818660191073,0.01332205717236178,30.0,t-test,BO_6_0.01_RF_EI
10,spark_linear_huge,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,2.478328245226832,0.004134717305500612,30.0,wilcoxon,BO_9_1.0_RF_LCB
11,spark_linear_huge,BO_9_1.0_RF_LCB,BO_6_0.01_RF_EI,2.3411861049786435,0.021247953882747517,30.0,t-test,BO_9_1.0_RF_LCB
12,spark_linear_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,5.173811816530563,5.201573152050858e-06,30.0,wilcoxon,BO_9_1.0_RF_LCB
13,spark_linear_huge,BO_9_1.0_RF_LCB,BO_6_0.05_RF_PI,5.11526296597223,1.5571192134132464e-06,30.0,t-test,BO_9_1.0_RF_LCB
