,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1,hadoop_wordcount_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,3.016046195512487,0.00038623261455099746,18.0,wilcoxon,BO_3_0.1_ET_PI
2,hadoop_wordcount_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,3.5608400205448607,0.0005723617371461296,18.0,t-test,BO_3_0.1_ET_PI
3,hadoop_wordcount_huge,BO_3_1.0_ET_LCB,BO_3_0.1_ET_PI,-2.795443959497859,0.005187800373334831,18.0,wilcoxon,BO_3_0.1_ET_PI
4,hadoop_wordcount_huge,BO_3_1.0_ET_LCB,BO_3_0.1_ET_PI,-2.7453477995217805,0.007191759281519331,18.0,t-test,BO_3_0.1_ET_PI
5,hadoop_wordcount_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,3.519295046420856,8.210970262264618e-05,24.0,wilcoxon,BO_3_0.1_ET_PI
6,hadoop_wordcount_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,3.747176526877784,0.0003022815258944981,24.0,t-test,BO_3_0.1_ET_PI
7,hadoop_wordcount_huge,BO_3_1.0_ET_LCB,BO_3_0.1_ET_PI,-2.1026150620144195,0.02166816006096439,24.0,wilcoxon,BO_3_1.0_ET_LCB
8,hadoop_wordcount_huge,BO_3_1.0_ET_LCB,BO_3_0.1_ET_PI,-2.1534695300362223,0.033735058611482564,24.0,t-test,BO_3_1.0_ET_LCB
9,hadoop_wordcount_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,3.395206288662628,0.0004036241568174818,30.0,wilcoxon,BO_3_0.1_ET_PI
10,hadoop_wordcount_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,3.374436482436275,0.0010609076813001069,30.0,t-test,BO_3_0.1_ET_PI
11,hadoop_wordcount_huge,BO_3_1.0_ET_LCB,BO_3_0.01_ET_EI,2.1750001707067192,0.02529919190014205,30.0,wilcoxon,BO_3_1.0_ET_LCB
12,hadoop_wordcount_huge,BO_3_1.0_ET_LCB,BO_3_0.1_ET_PI,-1.2477813974577374,0.03542480957017794,30.0,wilcoxon,BO_3_1.0_ET_LCB
