,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
67,spark1.5_kmeans_huge,BO_3_1.0_ET_LCB,BO_3_0.01_ET_EI,-1.1236926396995093,0.044794445431512606,6.0,wilcoxon,BO_3_0.01_ET_EI
68,spark1.5_kmeans_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,2.929873447069273,0.0003812168469992089,18.0,wilcoxon,BO_3_0.1_ET_PI
69,spark1.5_kmeans_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,2.1690364722789304,0.03249890426487526,18.0,t-test,BO_3_0.1_ET_PI
70,spark1.5_kmeans_huge,BO_3_1.0_ET_LCB,BO_3_0.1_ET_PI,-3.3986531986003565,0.0006184129546436906,18.0,wilcoxon,BO_3_0.1_ET_PI
71,spark1.5_kmeans_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,2.092274332201234,0.0018131989722571535,24.0,wilcoxon,BO_3_0.1_ET_PI
72,spark1.5_kmeans_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,2.142287835356238,0.034647993989303016,24.0,t-test,BO_3_0.1_ET_PI
73,spark1.5_kmeans_huge,BO_3_1.0_ET_LCB,BO_3_0.1_ET_PI,-1.7027735092379068,0.006612268637565772,24.0,wilcoxon,BO_3_1.0_ET_LCB
74,spark1.5_kmeans_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,1.9199288353148058,0.0020065552739101113,30.0,wilcoxon,BO_3_0.1_ET_PI
75,spark1.5_kmeans_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,2.679560192280495,0.008647859391663447,30.0,t-test,BO_3_0.1_ET_PI
76,spark1.5_kmeans_huge,BO_3_1.0_ET_LCB,BO_3_0.1_ET_PI,-0.6962758074211683,0.039359508888249725,30.0,wilcoxon,BO_3_1.0_ET_LCB
