,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
27,spark_join_huge,BO_3_1.0_ET_LCB,BO_3_0.01_ET_EI,1.4752774533478221,0.045489245612892734,6.0,wilcoxon,BO_3_1.0_ET_LCB
28,spark_join_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,1.6407291303587928,0.00979274455200072,18.0,wilcoxon,BO_3_0.1_ET_PI
29,spark_join_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,2.645454350560465,0.009503701951376278,18.0,t-test,BO_3_0.1_ET_PI
30,spark_join_huge,BO_3_1.0_ET_LCB,BO_3_0.01_ET_EI,2.2715136489631185,0.01865711025362791,18.0,wilcoxon,BO_3_1.0_ET_LCB
31,spark_join_huge,BO_3_1.0_ET_LCB,BO_3_0.01_ET_EI,3.020242285104764,0.0032209069352631035,18.0,t-test,BO_3_1.0_ET_LCB
32,spark_join_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,2.533478804230489,0.001374344061141932,24.0,wilcoxon,BO_3_0.1_ET_PI
33,spark_join_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,2.972902839419207,0.003712560706778114,24.0,t-test,BO_3_0.1_ET_PI
34,spark_join_huge,BO_3_1.0_ET_LCB,BO_3_0.01_ET_EI,3.371077919098528,0.00027667012406145536,24.0,wilcoxon,BO_3_1.0_ET_LCB
35,spark_join_huge,BO_3_1.0_ET_LCB,BO_3_0.01_ET_EI,3.7434177038768426,0.00030626310569722775,24.0,t-test,BO_3_1.0_ET_LCB
36,spark_join_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,2.471434425351375,0.0035322139254124387,30.0,wilcoxon,BO_3_0.1_ET_PI
37,spark_join_huge,BO_3_0.1_ET_PI,BO_3_0.01_ET_EI,2.7078875361791948,0.007990867083058715,30.0,t-test,BO_3_0.1_ET_PI
38,spark_join_huge,BO_3_1.0_ET_LCB,BO_3_0.01_ET_EI,3.5020604967322133,0.0004514719872028209,30.0,wilcoxon,BO_3_1.0_ET_LCB
39,spark_join_huge,BO_3_1.0_ET_LCB,BO_3_0.01_ET_EI,3.567313938757577,0.0005600057769300869,30.0,t-test,BO_3_1.0_ET_LCB
