,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
33,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.2_GBRT_EI,2.0151969212181693,0.04662277486519033,6.0,t-test,BO_3_0.05_GBRT_PI
34,spark1.5_naive-bayes_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_PI,-1.6924327794247211,0.021955184199503007,6.0,wilcoxon,BO_3_0.05_GBRT_PI
35,spark1.5_naive-bayes_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_PI,-2.4506062195860405,0.016034052561168417,6.0,t-test,BO_3_0.05_GBRT_PI
36,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.2_GBRT_EI,2.1183949418875465,0.03667079093234309,12.0,t-test,BO_3_0.05_GBRT_PI
37,spark1.5_naive-bayes_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_PI,-2.4059431365345323,0.005482967667050586,12.0,wilcoxon,BO_3_0.05_GBRT_PI
38,spark1.5_naive-bayes_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_PI,-2.5109598557989052,0.013676186624684299,12.0,t-test,BO_3_0.05_GBRT_PI
39,spark1.5_naive-bayes_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_PI,-1.6510698601719784,0.010651577310054767,18.0,wilcoxon,BO_3_1.0_GBRT_LCB
40,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.2_GBRT_EI,1.1305864595749664,0.03813685402886396,24.0,wilcoxon,BO_3_0.05_GBRT_PI
41,spark1.5_naive-bayes_bigdata,BO_3_0.05_GBRT_PI,BO_3_0.2_GBRT_EI,2.143352988403199,0.034560115183669915,24.0,t-test,BO_3_0.05_GBRT_PI
42,spark1.5_naive-bayes_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_PI,-1.8682251862488777,0.0010667791741346957,24.0,wilcoxon,BO_3_1.0_GBRT_LCB
43,spark1.5_naive-bayes_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_PI,-2.7271349883799014,0.007570710763765398,24.0,t-test,BO_3_1.0_GBRT_LCB
44,spark1.5_naive-bayes_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_PI,-1.4752774533478221,0.00835037310259247,30.0,wilcoxon,BO_3_1.0_GBRT_LCB
45,spark1.5_naive-bayes_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_PI,-2.2185430547450484,0.02882584969190255,30.0,t-test,BO_3_1.0_GBRT_LCB
