,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
11,hadoop_pagerank_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-1.986283544131618,0.04979477069118627,12.0,t-test,BO_3_0.2_RF_PI
12,hadoop_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,1.0168384316299242,0.042929990887570844,18.0,wilcoxon,BO_3_0.2_RF_PI
13,hadoop_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.551164297014216,0.012283112336157127,18.0,t-test,BO_3_0.2_RF_PI
14,hadoop_pagerank_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-1.1685024688899806,0.038161514048572806,18.0,wilcoxon,BO_3_1.0_RF_LCB
15,hadoop_pagerank_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.277063558216366,0.02495644733123566,18.0,t-test,BO_3_1.0_RF_LCB
16,hadoop_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,1.2029715682672661,0.022386903017886785,24.0,wilcoxon,BO_3_0.2_RF_PI
17,hadoop_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.657499806940718,0.009193044932971541,24.0,t-test,BO_3_0.2_RF_PI
18,hadoop_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,0.8410460248057677,0.03598155654914874,30.0,wilcoxon,BO_3_0.2_RF_PI
19,hadoop_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.249025843412667,0.026749366643552895,30.0,t-test,BO_3_0.2_RF_PI
20,hadoop_pagerank_bigdata,BO_3_1.0_RF_LCB,BO_3_0.1_RF_EI,1.9986019143671385,0.04842156529093634,30.0,t-test,BO_3_1.0_RF_LCB
