,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
101,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.6782490216150885,0.003596406597527671,18.0,wilcoxon,BO_3_0.2_RF_PI
102,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.8685992355561196,0.005049459264627682,18.0,t-test,BO_3_0.2_RF_PI
103,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.185340900519905,0.0032157233616780063,24.0,wilcoxon,BO_3_0.2_RF_PI
104,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.870654058185579,0.005019322292699457,24.0,t-test,BO_3_0.2_RF_PI
105,spark1.5_naive-bayes_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-1.4270207142196223,0.022467215594712212,24.0,wilcoxon,BO_3_1.0_RF_LCB
106,spark1.5_naive-bayes_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.096479538490073,0.038615192679049726,24.0,t-test,BO_3_1.0_RF_LCB
107,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,1.6338353104833356,0.0053201447764332326,30.0,wilcoxon,BO_3_0.2_RF_PI
108,spark1.5_naive-bayes_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,3.081831658503426,0.002671283221714326,30.0,t-test,BO_3_0.2_RF_PI
109,spark1.5_naive-bayes_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-1.4304676241573508,0.012559339031051555,30.0,wilcoxon,BO_3_1.0_RF_LCB
110,spark1.5_naive-bayes_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.4393453414315784,0.016512156984505047,30.0,t-test,BO_3_1.0_RF_LCB
