,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
42,spark_join_huge,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.550713353919132,0.003211485394702778,12.0,wilcoxon,BO_3_0.2_RF_PI
43,spark_join_huge,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,3.0266155987930095,0.003159521989098879,12.0,t-test,BO_3_0.2_RF_PI
44,spark_join_huge,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.143977981267162,0.014171366802251336,12.0,wilcoxon,BO_3_0.2_RF_PI
45,spark_join_huge,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.49771326721346,0.014165292036348882,12.0,t-test,BO_3_0.2_RF_PI
46,spark_join_huge,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,3.084984394267058,0.0016680277977712244,18.0,wilcoxon,BO_3_0.2_RF_PI
47,spark_join_huge,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.876104919970703,0.00494017565593507,18.0,t-test,BO_3_0.2_RF_PI
48,spark_join_huge,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.3507925775308753,0.004611572852235318,18.0,wilcoxon,BO_3_0.2_RF_PI
49,spark_join_huge,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.8532025715910225,0.005280612259693577,18.0,t-test,BO_3_0.2_RF_PI
50,spark_join_huge,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,3.1297942234575293,0.0003619927190494305,24.0,wilcoxon,BO_3_0.2_RF_PI
51,spark_join_huge,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,3.063485551487353,0.0028251510339272192,24.0,t-test,BO_3_0.2_RF_PI
52,spark_join_huge,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-1.5511094719778504,0.014583138602928638,24.0,wilcoxon,BO_3_1.0_RF_LCB
53,spark_join_huge,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.1078425419210616,0.03759620166800273,24.0,t-test,BO_3_1.0_RF_LCB
54,spark_join_huge,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.7747624998714877,0.0009874622505011907,30.0,wilcoxon,BO_3_0.2_RF_PI
55,spark_join_huge,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.898209541471608,0.0046308239884009575,30.0,t-test,BO_3_0.2_RF_PI
56,spark_join_huge,BO_3_1.0_RF_LCB,BO_3_0.1_RF_EI,1.795840077556578,0.016501318125837623,30.0,wilcoxon,BO_3_1.0_RF_LCB
