,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
75,spark_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.5196911644795748,0.0020057678828763336,18.0,wilcoxon,BO_3_0.2_RF_PI
76,spark_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,3.5471387927902844,0.0005993665955205922,18.0,t-test,BO_3_0.2_RF_PI
77,spark_pagerank_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.7988908694355876,0.0020307486358086416,18.0,wilcoxon,BO_3_1.0_RF_LCB
78,spark_pagerank_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-3.3740440800817404,0.001062262081849567,18.0,t-test,BO_3_1.0_RF_LCB
79,spark_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,1.8716720961866062,0.018828049331294658,24.0,wilcoxon,BO_3_0.2_RF_PI
80,spark_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.467664935944076,0.015333310037967316,24.0,t-test,BO_3_0.2_RF_PI
81,spark_pagerank_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-1.7131142390510925,0.021750710500055944,24.0,wilcoxon,BO_3_1.0_RF_LCB
82,spark_pagerank_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.4389344273750595,0.01652984116321087,24.0,t-test,BO_3_1.0_RF_LCB
83,spark_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,1.3787639750914225,0.006655605482949377,30.0,wilcoxon,BO_3_0.2_RF_PI
84,spark_pagerank_bigdata,BO_3_0.2_RF_PI,BO_3_0.1_RF_EI,2.5757539308914867,0.011495329296024325,30.0,t-test,BO_3_0.2_RF_PI
85,spark_pagerank_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-0.6893819875457112,0.04550026389635839,30.0,wilcoxon,BO_3_1.0_RF_LCB
86,spark_pagerank_bigdata,BO_3_1.0_RF_LCB,BO_3_0.2_RF_PI,-2.0641873861685003,0.04164208712692439,30.0,t-test,BO_3_1.0_RF_LCB
