,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
11,hadoop_pagerank_bigdata,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,1.709667329113364,0.008715972392741602,24.0,wilcoxon,BO_3_0.01_ET_PI
12,hadoop_pagerank_bigdata,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,2.2686117864647666,0.025485450100709097,24.0,t-test,BO_3_0.01_ET_PI
13,hadoop_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,2.757527950182845,0.00039389129806224345,24.0,wilcoxon,BO_9_1.0_ET_LCB
14,hadoop_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,3.033662081430593,0.0030929147188447554,24.0,t-test,BO_9_1.0_ET_LCB
15,hadoop_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_PI,1.2064184782049947,0.014058605323737277,24.0,wilcoxon,BO_9_1.0_ET_LCB
16,hadoop_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_PI,2.041486783161079,0.04389008255876937,24.0,t-test,BO_9_1.0_ET_LCB
17,hadoop_pagerank_bigdata,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,1.0857766303844953,0.03030556926093142,30.0,wilcoxon,BO_3_0.01_ET_PI
18,hadoop_pagerank_bigdata,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,2.141637431573189,0.03470174978826094,30.0,t-test,BO_3_0.01_ET_PI
19,hadoop_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,1.5511094719778504,0.007109552693052261,30.0,wilcoxon,BO_9_1.0_ET_LCB
20,hadoop_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,2.3670033939179618,0.019898168969767635,30.0,t-test,BO_9_1.0_ET_LCB
