,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
0,hadoop_pagerank_huge,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,2.4063048651334964,0.01798915355375501,18.0,t-test,BO_3_0.01_ET_PI
1,hadoop_pagerank_huge,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,2.967789456384287,0.00228767123970517,18.0,wilcoxon,BO_9_1.0_ET_LCB
2,hadoop_pagerank_huge,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,3.397667015862743,0.0009835555578012435,18.0,t-test,BO_9_1.0_ET_LCB
3,hadoop_pagerank_huge,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,2.2853012887140327,0.0013547520109339977,24.0,wilcoxon,BO_3_0.01_ET_PI
4,hadoop_pagerank_huge,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,3.3326137932759528,0.0012147600476272173,24.0,t-test,BO_3_0.01_ET_PI
5,hadoop_pagerank_huge,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,2.378367857032704,0.006855431991099139,24.0,wilcoxon,BO_9_1.0_ET_LCB
6,hadoop_pagerank_huge,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,3.274240523515818,0.001464722377730447,24.0,t-test,BO_9_1.0_ET_LCB
7,hadoop_pagerank_huge,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,1.8820128259997917,0.012377048462334724,30.0,wilcoxon,BO_3_0.01_ET_PI
8,hadoop_pagerank_huge,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,2.826896655688754,0.0056981127070219175,30.0,t-test,BO_3_0.01_ET_PI
9,hadoop_pagerank_huge,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,2.240491459523562,0.0010921017212610692,30.0,wilcoxon,BO_9_1.0_ET_LCB
10,hadoop_pagerank_huge,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,3.7989209979478247,0.000252235651523679,30.0,t-test,BO_9_1.0_ET_LCB
