,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
99,spark1.5_regression_bigdata,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,-1.7441364284906495,0.03907000301562012,18.0,wilcoxon,BO_3_0.01_ET_EI
100,spark1.5_regression_bigdata,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,-2.0383007826756114,0.04421376568372414,18.0,t-test,BO_3_0.01_ET_EI
101,spark1.5_regression_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_PI,2.905745077505173,0.012639330357196419,18.0,wilcoxon,BO_9_1.0_ET_LCB
102,spark1.5_regression_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_PI,2.357269594594983,0.020397880997351674,18.0,t-test,BO_9_1.0_ET_LCB
103,spark1.5_regression_bigdata,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,-2.5851824532964174,0.031053349228234897,24.0,wilcoxon,BO_3_0.01_ET_EI
104,spark1.5_regression_bigdata,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,-2.261177009136804,0.025958916538557284,24.0,t-test,BO_3_0.01_ET_EI
105,spark1.5_regression_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_PI,3.715768912871384,0.009793351431901482,24.0,wilcoxon,BO_9_1.0_ET_LCB
106,spark1.5_regression_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_PI,2.2607566330028694,0.025985916374296248,24.0,t-test,BO_9_1.0_ET_LCB
107,spark1.5_regression_bigdata,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,-3.4779321271681134,0.0015417563613704785,30.0,wilcoxon,BO_3_0.01_ET_EI
108,spark1.5_regression_bigdata,BO_3_0.01_ET_PI,BO_3_0.01_ET_EI,-2.838640884582027,0.005508119361603291,30.0,t-test,BO_3_0.01_ET_EI
109,spark1.5_regression_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_PI,3.291798990530771,0.016132791583557075,30.0,wilcoxon,BO_9_1.0_ET_LCB
